sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
94,aquatic saprotrophs,39,5,1,4,0,1,1,2
95,small algae parasites,40,1,9,4,0,1,2,1
96,aquatic macrophyte parasites,41,1,1,4,0,1,1,1
97,aquatic nematodes,42,1,30,4,1,1,2,2
98,swimming filter feeders,43,2,6,3,0,1,1,1
99,swimming filter feeders,43,2,6,3,0,1,1,2
100,swimming scrapers,44,1,20,3,0,1,20,0
101,arthropod omnivores,45,2,35,3,0,1,7,2
102,arthropod omnivores,45,2,35,3,0,1,13,1
103,benthic predators,46,1,7,0,0,1,6,0
