sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,3,1.0,0.0,0.573170731707317,0.0,1.0,0.573170731707317,0.0
2,2,0,2,1.0,0.0,2.5405405405405403,0.0,1.0,2.5405405405405403,0.0
3,3,0,4,1.0,0.0,1.3428571428571427,0.0,1.0,1.3428571428571427,0.0
4,4,0,5,1.0,0.0,0.7768595041322314,0.0,1.0,0.7768595041322314,0.0
5,5,0,5,1.0,0.0,1.3055555555555556,0.0,1.0,1.3055555555555556,0.0
6,6,0,5,1.0,0.0,1.9183673469387754,0.0,1.0,1.9183673469387754,0.0
7,7,0,5,1.0,0.0,1.9183673469387754,0.0,1.0,1.9183673469387754,0.0
8,8,0,5,1.0,0.0,1.9183673469387754,0.0,1.0,1.9183673469387754,0.0
9,9,0,6,1.0,0.0,1.7735849056603774,0.0,1.0,1.7735849056603774,0.0
10,10,0,3,1.0,0.0,2.35,0.0,1.0,2.35,0.0
11,11,0,3,1.0,0.0,1.119047619047619,0.0,1.0,1.119047619047619,0.0
12,12,0,4,1.0,0.0,1.1325301204819278,0.0,1.0,1.1325301204819278,0.0
13,13,0,4,1.0,0.0,1.1325301204819278,0.0,1.0,1.1325301204819278,0.0
14,14,0,5,1.0,0.0,1.119047619047619,0.0,1.0,1.119047619047619,0.0
15,15,0,5,1.0,0.0,1.119047619047619,0.0,1.0,1.119047619047619,0.0
16,16,0,7,1.0,0.0,1.8431372549019607,0.0,1.0,1.8431372549019607,0.0
17,17,0,8,1.0,0.0,2.0434782608695654,0.0,1.0,2.0434782608695654,0.0
18,18,0,3,1.0,0.0,3.1333333333333333,0.0,1.0,3.1333333333333333,0.0
19,19,0,5,1.0,0.0,5.529411764705882,0.0,1.0,5.529411764705882,0.0
20,20,0,5,1.0,0.0,5.529411764705882,0.0,1.0,5.529411764705882,0.0
21,21,0,1,1.0,0.0,31.333333333333332,0.0,1.0,31.333333333333332,0.0
22,22,0,3,1.0,0.0,6.714285714285714,0.0,1.0,6.714285714285714,0.0
23,23,0,3,1.0,0.0,13.428571428571429,0.0,1.0,13.428571428571429,0.0
24,24,0,1,1.0,0.0,15.666666666666666,0.0,1.0,15.666666666666666,0.0
