sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,2,1.0,0.0,2.0851063829787235,0.0,1.0,2.0851063829787235,0.0
2,2,0,7,1.0,0.0,0.6125,0.0,1.0,0.6125,0.0
3,3,0,8,1.0,0.0,0.6125,0.0,1.0,0.6125,0.0
4,4,0,8,1.0,0.0,0.6125,0.0,1.0,0.6125,0.0
5,5,0,7,1.0,0.0,0.6712328767123288,0.0,1.0,0.6712328767123288,0.0
6,6,0,9,1.0,0.0,0.6950354609929078,0.0,1.0,0.6950354609929078,0.0
7,7,0,5,1.0,0.0,1.0,0.0,1.0,1.0,0.0
8,8,0,6,1.0,0.0,0.7480916030534351,0.0,1.0,0.7480916030534351,0.0
9,9,0,5,1.0,0.0,1.1951219512195121,0.0,1.0,1.1951219512195121,0.0
10,10,0,5,1.0,0.0,0.6012269938650306,0.0,1.0,0.6012269938650306,0.0
11,11,0,3,1.0,0.0,0.98,0.0,1.0,0.98,0.0
12,12,0,7,1.0,0.0,1.4,0.0,1.0,1.4,0.0
13,13,0,9,1.0,0.0,2.5128205128205128,0.0,1.0,2.5128205128205128,0.0
14,14,0,7,1.0,0.0,2.0851063829787235,0.0,1.0,2.0851063829787235,0.0
15,15,0,7,1.0,0.0,1.9215686274509804,0.0,1.0,1.9215686274509804,0.0
16,16,0,2,1.0,0.0,2.8,0.0,1.0,2.8,0.0
17,17,0,2,1.0,0.0,2.9696969696969697,0.0,1.0,2.9696969696969697,0.0
18,18,0,2,1.0,0.0,3.6296296296296298,0.0,1.0,3.6296296296296298,0.0
19,19,0,2,1.0,0.0,3.6296296296296298,0.0,1.0,3.6296296296296298,0.0
20,20,0,6,1.0,0.0,3.769230769230769,0.0,1.0,3.769230769230769,0.0
21,21,0,5,1.0,0.0,6.125,0.0,1.0,6.125,0.0
22,22,3,8,2.0,1.0,0.6853146853146853,32.666666666666664,2.0,0.6853146853146853,32.666666666666664
23,23,1,8,2.0,1.0,0.7424242424242424,98.0,2.0,0.7424242424242424,98.0
24,24,2,5,2.75,2.0,1.0,12.25,2.75,1.0,12.25
25,25,1,5,2.0,1.0,0.7716535433070866,98.0,2.0,0.7716535433070866,98.0
26,26,3,6,2.0,1.0,0.7967479674796748,32.666666666666664,2.0,0.7967479674796748,32.666666666666664
27,27,4,7,3.3,2.0,0.9245283018867925,8.909090909090908,3.3,0.9245283018867925,8.909090909090908
28,28,3,2,2.8,2.0,4.260869565217392,10.88888888888889,2.8,4.260869565217392,10.88888888888889
29,29,1,4,2.0,1.0,0.98,98.0,2.0,0.98,98.0
30,30,7,4,2.4444444444444446,1.0,2.130434782608696,14.0,2.4444444444444446,2.130434782608696,14.0
31,31,1,6,3.8,3.0,1.2727272727272727,5.157894736842105,3.8,1.2727272727272727,5.157894736842105
