sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,2,1.0,0.0,0.5487804878048781,0.0,1.0,0.5487804878048781,0.0
2,2,0,2,1.0,0.0,0.5487804878048781,0.0,1.0,0.5487804878048781,0.0
3,3,0,7,1.0,0.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.0
4,4,0,9,1.0,0.0,1.1111111111111112,0.0,1.0,1.1111111111111112,0.0
5,5,0,6,1.0,0.0,1.2857142857142858,0.0,1.0,1.2857142857142858,0.0
6,6,0,7,1.0,0.0,1.0,0.0,1.0,1.0,0.0
7,7,0,7,1.0,0.0,1.1688311688311688,0.0,1.0,1.1688311688311688,0.0
8,8,0,7,1.0,0.0,1.1688311688311688,0.0,1.0,1.1688311688311688,0.0
9,9,0,5,1.0,0.0,0.75,0.0,1.0,0.75,0.0
10,10,0,5,1.0,0.0,0.7692307692307693,0.0,1.0,0.7692307692307693,0.0
11,11,0,3,1.0,0.0,3.103448275862069,0.0,1.0,3.103448275862069,0.0
12,12,0,5,1.0,0.0,1.875,0.0,1.0,1.875,0.0
13,13,0,6,1.0,0.0,2.0930232558139537,0.0,1.0,2.0930232558139537,0.0
14,14,0,4,1.0,0.0,2.0930232558139537,0.0,1.0,2.0930232558139537,0.0
15,15,0,4,1.0,0.0,1.4754098360655739,0.0,1.0,1.4754098360655739,0.0
16,16,0,3,1.0,0.0,2.0930232558139537,0.0,1.0,2.0930232558139537,0.0
17,17,0,10,1.0,0.0,2.0,0.0,1.0,2.0,0.0
18,18,0,5,1.0,0.0,2.5,0.0,1.0,2.5,0.0
19,19,0,3,1.0,0.0,3.9130434782608696,0.0,1.0,3.9130434782608696,0.0
20,20,0,2,1.0,0.0,3.6,0.0,1.0,3.6,0.0
21,21,0,3,1.0,0.0,9.0,0.0,1.0,9.0,0.0
22,22,0,3,1.0,0.0,9.0,0.0,1.0,9.0,0.0
23,23,0,2,1.0,0.0,15.0,0.0,1.0,15.0,0.0
24,24,2,8,2.0,1.0,0.7627118644067796,45.0,2.0,0.7627118644067796,45.0
25,25,1,6,2.0,1.0,1.0,90.0,2.0,1.0,90.0
26,26,3,5,2.5,2.0,2.903225806451613,12.857142857142858,2.5,2.903225806451613,12.857142857142858
27,27,4,4,2.5,1.0,3.103448275862069,30.0,2.5,3.103448275862069,30.0
28,28,3,3,3.166666666666667,3.0,3.103448275862069,5.294117647058823,3.166666666666667,3.103448275862069,5.294117647058823
29,29,2,4,2.0,1.0,0.9375,45.0,2.0,0.9375,45.0
30,30,2,6,2.6666666666666665,2.0,1.9148936170212767,15.0,2.6666666666666665,1.9148936170212767,15.0
31,31,2,6,3.25,3.0,2.0930232558139537,7.5,3.25,2.0930232558139537,7.5
32,32,5,5,3.7142857142857144,3.0,2.0930232558139537,6.428571428571429,3.7142857142857144,2.0930232558139537,6.428571428571429
33,33,2,4,2.0,1.0,2.0930232558139537,45.0,2.0,2.0930232558139537,45.0
34,34,1,5,3.0,2.0,1.2328767123287672,18.0,3.0,1.2328767123287672,18.0
35,35,3,4,2.75,2.0,1.3636363636363635,10.0,2.75,1.3636363636363635,10.0
36,36,6,2,2.4285714285714284,2.0,5.294117647058823,9.0,2.4285714285714284,5.294117647058823,9.0
37,37,2,9,2.0,1.0,1.875,45.0,2.0,1.875,45.0
38,38,1,8,3.75,3.0,2.0930232558139537,5.625,3.75,2.0930232558139537,5.625
39,39,1,9,4.0,3.0,2.142857142857143,10.0,4.0,2.142857142857143,10.0
40,40,3,8,4.428571428571429,4.0,2.1951219512195124,2.3076923076923075,4.428571428571429,2.1951219512195124,2.3076923076923075
41,41,2,7,2.0,1.0,2.6470588235294117,45.0,2.0,2.6470588235294117,45.0
42,42,6,6,4.5,4.0,2.727272727272727,1.9565217391304348,4.5,2.727272727272727,1.9565217391304348
43,43,1,4,2.0,1.0,2.903225806451613,90.0,2.0,2.903225806451613,90.0
44,44,1,4,2.0,1.0,2.903225806451613,90.0,2.0,2.903225806451613,90.0
45,45,10,6,3.428571428571429,3.0,3.4615384615384617,2.8125,3.428571428571429,3.4615384615384617,2.8125
46,46,2,3,2.6666666666666665,2.0,3.9130434782608696,15.0,2.6666666666666665,3.9130434782608696,15.0
47,47,2,3,3.769230769230769,4.0,3.9130434782608696,1.6981132075471699,3.769230769230769,3.9130434782608696,1.6981132075471699
48,48,5,4,4.6875,4.0,3.4615384615384617,2.1951219512195124,4.6875,3.4615384615384617,2.1951219512195124
49,49,1,4,3.0,2.0,3.4615384615384617,18.0,3.0,3.4615384615384617,18.0
50,50,24,3,3.2127659574468086,2.0,4.285714285714286,3.0,3.2127659574468086,4.285714285714286,3.0
51,51,2,4,2.6666666666666665,2.0,4.5,15.0,2.6666666666666665,4.5,15.0
52,52,10,5,4.419354838709678,4.0,4.7368421052631575,1.7307692307692308,4.419354838709678,4.7368421052631575,1.7307692307692308
53,53,13,4,4.0754716981132075,3.0,6.0,0.9782608695652174,4.0754716981132075,6.0,0.9782608695652174
54,54,2,4,3.8,4.0,5.625,4.5,3.8,5.625,4.5
55,55,9,4,3.9661016949152543,3.0,5.625,1.1111111111111112,3.9661016949152543,5.625,1.1111111111111112
56,56,2,4,2.0,1.0,5.625,45.0,2.0,5.625,45.0
57,57,1,5,4.583333333333334,5.0,7.5,1.1538461538461537,4.583333333333334,7.5,1.1538461538461537
58,58,2,4,4.8,5.0,8.181818181818182,1.5,4.8,8.181818181818182,1.5
59,59,7,3,4.364864864864865,3.0,9.0,0.743801652892562,4.364864864864865,9.0,0.743801652892562
60,60,7,3,3.935897435897436,3.0,9.0,0.9090909090909091,3.935897435897436,9.0,0.9090909090909091
61,61,2,3,2.0,1.0,9.0,45.0,2.0,9.0,45.0
62,62,6,3,4.3589743589743595,4.0,9.0,1.0465116279069768,4.3589743589743595,9.0,1.0465116279069768
63,63,2,2,5.75,6.0,10.0,0.8181818181818182,5.75,10.0,0.8181818181818182
64,64,3,2,3.111111111111111,3.0,10.0,4.285714285714286,3.111111111111111,10.0,4.285714285714286
65,65,3,2,3.0,3.0,10.0,6.0,3.0,10.0,6.0
66,66,1,2,3.916666666666667,4.0,10.0,1.7307692307692308,3.916666666666667,10.0,1.7307692307692308
67,67,4,3,3.3076923076923075,3.0,10.0,4.090909090909091,3.3076923076923075,10.0,4.090909090909091
68,68,6,3,4.730769230769231,4.0,10.0,1.8,4.730769230769231,10.0,1.8
69,69,22,4,3.2666666666666666,2.0,11.25,3.2142857142857144,3.2666666666666666,11.25,3.2142857142857144
70,70,1,4,2.0,1.0,11.25,90.0,2.0,11.25,90.0
71,71,14,3,3.0384615384615383,2.0,12.857142857142858,4.5,3.0384615384615383,12.857142857142858,4.5
72,72,8,2,3.5789473684210527,3.0,15.0,2.8125,3.5789473684210527,15.0,2.8125
