sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,4,1.0,0.0,0.6339869281045751,0.0,1.0,0.6339869281045751,0.0
2,2,0,5,1.0,0.0,0.8584070796460177,0.0,1.0,0.8584070796460177,0.0
3,3,0,4,1.0,0.0,0.8981481481481481,0.0,1.0,0.8981481481481481,0.0
4,4,0,7,1.0,0.0,0.9509803921568627,0.0,1.0,0.9509803921568627,0.0
5,5,0,8,1.0,0.0,1.3857142857142857,0.0,1.0,1.3857142857142857,0.0
6,6,0,9,1.0,0.0,1.0210526315789474,0.0,1.0,1.0210526315789474,0.0
7,7,0,8,1.0,0.0,0.8738738738738738,0.0,1.0,0.8738738738738738,0.0
8,8,0,8,1.0,0.0,1.3287671232876712,0.0,1.0,1.3287671232876712,0.0
9,9,0,8,1.0,0.0,1.3287671232876712,0.0,1.0,1.3287671232876712,0.0
10,10,0,6,1.0,0.0,1.3287671232876712,0.0,1.0,1.3287671232876712,0.0
11,11,0,6,1.0,0.0,2.3095238095238093,0.0,1.0,2.3095238095238093,0.0
12,12,0,5,1.0,0.0,2.9393939393939394,0.0,1.0,2.9393939393939394,0.0
13,13,0,5,1.0,0.0,2.9393939393939394,0.0,1.0,2.9393939393939394,0.0
14,14,0,5,1.0,0.0,2.9393939393939394,0.0,1.0,2.9393939393939394,0.0
15,15,0,6,1.0,0.0,1.1686746987951808,0.0,1.0,1.1686746987951808,0.0
16,16,0,5,1.0,0.0,1.2278481012658229,0.0,1.0,1.2278481012658229,0.0
17,17,0,8,1.0,0.0,2.0638297872340425,0.0,1.0,2.0638297872340425,0.0
18,18,0,4,1.0,0.0,1.9795918367346939,0.0,1.0,1.9795918367346939,0.0
19,19,0,4,1.0,0.0,1.9795918367346939,0.0,1.0,1.9795918367346939,0.0
20,20,0,3,1.0,0.0,4.619047619047619,0.0,1.0,4.619047619047619,0.0
21,21,0,3,1.0,0.0,13.857142857142858,0.0,1.0,13.857142857142858,0.0
22,22,0,3,1.0,0.0,13.857142857142858,0.0,1.0,13.857142857142858,0.0
23,23,0,3,1.0,0.0,13.857142857142858,0.0,1.0,13.857142857142858,0.0
24,24,0,3,1.0,0.0,6.928571428571429,0.0,1.0,6.928571428571429,0.0
25,25,0,1,1.0,0.0,97.0,0.0,1.0,97.0,0.0
26,26,0,1,1.0,0.0,19.4,0.0,1.0,19.4,0.0
27,27,0,1,1.0,0.0,97.0,0.0,1.0,97.0,0.0
28,28,1,5,2.0,1.0,0.9238095238095239,97.0,2.0,0.9238095238095239,97.0
29,29,2,8,2.5,2.0,1.3857142857142857,24.25,2.5,1.3857142857142857,24.25
30,30,2,8,2.0,1.0,1.3857142857142857,48.5,2.0,1.3857142857142857,48.5
31,31,1,8,2.0,1.0,0.8738738738738738,97.0,2.0,0.8738738738738738,97.0
32,32,3,7,2.3333333333333335,2.0,1.2125,19.4,2.3333333333333335,1.2125,19.4
33,33,4,8,3.3,3.0,1.3472222222222223,8.083333333333334,3.3,1.3472222222222223,8.083333333333334
34,34,2,3,2.5,2.0,6.928571428571429,24.25,2.5,6.928571428571429,24.25
