sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,1,1.0,0.0,9.1,0.0,1.0,9.1,0.0
2,2,0,5,1.0,0.0,1.467741935483871,0.0,1.0,1.467741935483871,0.0
3,3,0,9,1.0,0.0,1.2297297297297298,0.0,1.0,1.2297297297297298,0.0
4,4,0,8,1.0,0.0,1.4,0.0,1.0,1.4,0.0
5,5,0,9,1.0,0.0,1.378787878787879,0.0,1.0,1.378787878787879,0.0
6,6,0,9,1.0,0.0,1.378787878787879,0.0,1.0,1.378787878787879,0.0
7,7,0,6,1.0,0.0,1.4444444444444444,0.0,1.0,1.4444444444444444,0.0
8,8,0,8,1.0,0.0,1.2638888888888888,0.0,1.0,1.2638888888888888,0.0
9,9,0,7,1.0,0.0,1.2816901408450705,0.0,1.0,1.2816901408450705,0.0
10,10,0,5,1.0,0.0,2.3947368421052633,0.0,1.0,2.3947368421052633,0.0
11,11,0,6,1.0,0.0,2.935483870967742,0.0,1.0,2.935483870967742,0.0
12,12,0,6,1.0,0.0,2.935483870967742,0.0,1.0,2.935483870967742,0.0
13,13,0,7,1.0,0.0,3.1379310344827585,0.0,1.0,3.1379310344827585,0.0
14,14,0,7,1.0,0.0,3.9565217391304346,0.0,1.0,3.9565217391304346,0.0
15,15,0,4,1.0,0.0,7.0,0.0,1.0,7.0,0.0
16,16,0,4,1.0,0.0,5.352941176470588,0.0,1.0,5.352941176470588,0.0
17,17,0,5,1.0,0.0,2.935483870967742,0.0,1.0,2.935483870967742,0.0
18,18,0,3,1.0,0.0,6.066666666666666,0.0,1.0,6.066666666666666,0.0
19,19,0,3,1.0,0.0,6.066666666666666,0.0,1.0,6.066666666666666,0.0
20,20,0,1,1.0,0.0,15.166666666666666,0.0,1.0,15.166666666666666,0.0
21,21,0,1,1.0,0.0,15.166666666666666,0.0,1.0,15.166666666666666,0.0
22,22,0,1,1.0,0.0,15.166666666666666,0.0,1.0,15.166666666666666,0.0
23,23,0,2,1.0,0.0,13.0,0.0,1.0,13.0,0.0
24,24,0,4,1.0,0.0,11.375,0.0,1.0,11.375,0.0
25,25,0,1,1.0,0.0,18.2,0.0,1.0,18.2,0.0
26,26,0,1,1.0,0.0,30.333333333333332,0.0,1.0,30.333333333333332,0.0
27,27,0,1,1.0,0.0,30.333333333333332,0.0,1.0,30.333333333333332,0.0
28,28,0,1,1.0,0.0,91.0,0.0,1.0,91.0,0.0
29,29,0,1,1.0,0.0,91.0,0.0,1.0,91.0,0.0
30,30,0,3,1.0,0.0,30.333333333333332,0.0,1.0,30.333333333333332,0.0
31,31,0,1,1.0,0.0,91.0,0.0,1.0,91.0,0.0
32,32,0,1,1.0,0.0,91.0,0.0,1.0,91.0,0.0
33,33,0,1,1.0,0.0,91.0,0.0,1.0,91.0,0.0
34,34,0,1,1.0,0.0,91.0,0.0,1.0,91.0,0.0
35,35,1,7,2.0,1.0,1.7843137254901962,91.0,2.0,1.7843137254901962,91.0
36,36,1,6,2.0,1.0,2.6,91.0,2.0,2.6,91.0
37,37,1,6,3.0,2.0,2.6,30.333333333333332,3.0,2.6,30.333333333333332
38,38,1,7,2.0,1.0,1.4918032786885247,91.0,2.0,1.4918032786885247,91.0
39,39,1,7,2.0,1.0,1.2816901408450705,91.0,2.0,1.2816901408450705,91.0
40,40,4,6,2.25,1.0,3.25,22.75,2.25,3.25,22.75
41,41,4,7,2.5,2.0,3.9565217391304346,7.583333333333333,2.5,3.9565217391304346,7.583333333333333
42,42,4,8,2.0,1.0,2.0681818181818183,22.75,2.0,2.0681818181818183,22.75
43,43,9,8,2.2222222222222223,1.0,2.2195121951219514,10.11111111111111,2.2222222222222223,2.2195121951219514,10.11111111111111
44,44,3,9,3.388888888888889,2.0,2.6,4.55,3.388888888888889,2.6,4.55
45,45,4,8,4.352941176470589,3.0,3.7916666666666665,2.4594594594594597,4.352941176470589,3.7916666666666665,2.4594594594594597
