sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,3,1.0,0.0,1.1411764705882352,0.0,1.0,1.1411764705882352,0.0
2,2,0,3,1.0,0.0,1.1411764705882352,0.0,1.0,1.1411764705882352,0.0
3,3,0,4,1.0,0.0,1.8653846153846154,0.0,1.0,1.8653846153846154,0.0
4,4,0,4,1.0,0.0,1.8653846153846154,0.0,1.0,1.8653846153846154,0.0
5,5,0,4,1.0,0.0,1.6440677966101696,0.0,1.0,1.6440677966101696,0.0
6,6,0,4,1.0,0.0,1.1547619047619047,0.0,1.0,1.1547619047619047,0.0
7,7,0,10,1.0,0.0,1.7017543859649122,0.0,1.0,1.7017543859649122,0.0
8,8,0,8,1.0,0.0,1.3661971830985915,0.0,1.0,1.3661971830985915,0.0
9,9,0,5,1.0,0.0,1.4696969696969697,0.0,1.0,1.4696969696969697,0.0
10,10,0,4,1.0,0.0,1.8653846153846154,0.0,1.0,1.8653846153846154,0.0
11,11,0,5,1.0,0.0,1.7636363636363637,0.0,1.0,1.7636363636363637,0.0
12,12,0,8,1.0,0.0,1.1686746987951808,0.0,1.0,1.1686746987951808,0.0
13,13,0,8,1.0,0.0,1.4923076923076923,0.0,1.0,1.4923076923076923,0.0
14,14,0,7,1.0,0.0,1.7017543859649122,0.0,1.0,1.7017543859649122,0.0
15,15,0,6,1.0,0.0,1.6166666666666667,0.0,1.0,1.6166666666666667,0.0
16,16,0,9,1.0,0.0,1.7017543859649122,0.0,1.0,1.7017543859649122,0.0
17,17,0,9,1.0,0.0,1.7017543859649122,0.0,1.0,1.7017543859649122,0.0
18,18,0,10,1.0,0.0,1.6724137931034482,0.0,1.0,1.6724137931034482,0.0
19,19,0,9,1.0,0.0,1.7017543859649122,0.0,1.0,1.7017543859649122,0.0
20,20,0,8,1.0,0.0,2.3095238095238093,0.0,1.0,2.3095238095238093,0.0
21,21,0,6,1.0,0.0,4.041666666666667,0.0,1.0,4.041666666666667,0.0
22,22,0,3,1.0,0.0,1.7962962962962963,0.0,1.0,1.7962962962962963,0.0
23,23,0,4,1.0,0.0,2.255813953488372,0.0,1.0,2.255813953488372,0.0
24,24,0,3,1.0,0.0,3.5925925925925926,0.0,1.0,3.5925925925925926,0.0
25,25,0,5,1.0,0.0,4.217391304347826,0.0,1.0,4.217391304347826,0.0
26,26,0,4,1.0,0.0,6.928571428571429,0.0,1.0,6.928571428571429,0.0
27,27,0,4,1.0,0.0,6.928571428571429,0.0,1.0,6.928571428571429,0.0
28,28,0,4,1.0,0.0,6.928571428571429,0.0,1.0,6.928571428571429,0.0
29,29,0,4,1.0,0.0,6.466666666666667,0.0,1.0,6.466666666666667,0.0
30,30,0,3,1.0,0.0,5.388888888888889,0.0,1.0,5.388888888888889,0.0
31,31,0,1,1.0,0.0,97.0,0.0,1.0,97.0,0.0
32,32,2,6,2.0,1.0,1.6166666666666667,48.5,2.0,1.6166666666666667,48.5
33,33,2,6,2.0,1.0,1.6166666666666667,48.5,2.0,1.6166666666666667,48.5
34,34,1,6,2.0,1.0,1.6166666666666667,97.0,2.0,1.6166666666666667,97.0
35,35,2,6,2.0,1.0,1.6166666666666667,48.5,2.0,1.6166666666666667,48.5
36,36,4,7,3.0,2.0,1.7321428571428572,6.928571428571429,3.0,1.7321428571428572,6.928571428571429
37,37,3,5,2.5,1.0,2.108695652173913,48.5,2.5,2.108695652173913,48.5
38,38,3,5,2.5,1.0,2.255813953488372,32.333333333333336,2.5,2.255813953488372,32.333333333333336
39,39,1,8,2.0,1.0,2.3095238095238093,97.0,2.0,2.3095238095238093,97.0
40,40,11,7,2.9444444444444446,2.0,3.88,5.705882352941177,2.9444444444444446,3.88,5.705882352941177
41,41,1,6,2.0,1.0,4.041666666666667,97.0,2.0,4.041666666666667,97.0
