sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Entomobrya ligata,      1 Entomobrya ligata,1,2,1,2.5,1
      2 E. corticola,      2 E. corticola,1,2,1,2.5,1
      3 Entomobrya sp.,      3 Entomobrya sp.,1,2,1,2.5,1
      4 Isotoma sensibilis,      4 Isotoma sensibilis,1,2,1,2.5,1
      5 Parcoblatta sp.,      5 Parcoblatta sp.,1,1,0,3,2
      6 Tachymenis flavicauda,      6 Tachymenis flavicauda,1,4,0,3,2
      7 Platysoma lecontei,      7 Platysoma lecontei,1,3,0,4,3
      8 Alaus myops larvae,      8 Alaus myops larvae,1,2,0,3,2
      9 Orthostethus infuscatus larvae,      9 Orthostethus infuscatus larvae,1,1,0,2,1
     10 Melanotus sp. larvae,     10 Melanotus sp. larvae,1,1,0,2,1
     11 Elater verticinus,     11 Elater verticinus,1,1,0,2,1
     12 Uloma punctulata,     12 Uloma punctulata,1,1,0,2,1
     13 Xylopinus rufipes larvae,     13 Xylopinus rufipes larvae,1,1,0,2,1
     14 Scotobates calcaratus larvae,     14 Scotobates calcaratus larvae,1,1,0,2,1
     15 Passalus cornutus,     15 Passalus cornutus,1,1,0,2,1
     16 Pseudolucanus capreolus larvae,     16 Pseudolucanus capreolus larvae,1,1,0,2,1
     17 Derobrachus brunneus larvae,     17 Derobrachus brunneus larvae,1,1,1,2,1
     18 Leptura sp. larvae,     18 Leptura sp. larvae,1,1,1,2,1
     19 chironomid larvae,     19 chironomid larvae,1,1,1,3,2
     20 cecidomyid larvae,     20 cecidomyid larvae,1,1,1,3,2
     21 dolicopodid larvae,     21 dolicopodid larvae,1,1,1,3,2
     22 Leptinothorax curvispinosus,     22 Leptinothorax curvispinosus,1,1,0,3,2
     23 Ponera coarctata,     23 Ponera coarctata,1,1,0,3,2
     24 lumbricid (undet.),     24 lumbricid (undet.),1,1,0,2,1
     25 Polygyra thyriodes,     25 Polygyra thyriodes,1,2,0,2.5,1
     26 Zonitoides arboreus,     26 Zonitoides arboreus,1,2,0,2.5,1
     27 Philomycus carolinensis,     27 Philomycus carolinensis,1,2,0,2.5,1
     28 Cambala annulata,     28 Cambala annulata,1,1,0,2,1
     29 Fontaria coriacen,     29 Fontaria coriacen,1,1,0,2,1
     30 Polydesmus serratus,     30 Polydesmus serratus,1,1,0,2,1
     31 Geophilus varians,     31 Geophilus varians,1,1,0,3,2
     32 Linotaenia bidens,     32 Linotaenia bidens,1,1,0,3,2
     33 Uropoda sp.,     33 Uropoda sp.,1,1,0,3,2
     34 various larvae (unspecified),     34 various larvae (unspecified),1,2,4,2.5,1
     35 rotting wood detritus (Pinus spp.),     35 rotting wood detritus (Pinus spp.),0,0,23,1,0
     36 fungi,     36 fungi,0,1,13,2,1
