sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,d_seed
"  1 algae, bacteria, detritus","  1 algae, bacteria, detritus",0,0,4,1,0,NA
  2 small rotifers,  2 small rotifers,1,1,3,2,1,
"  3 Moina, Diaptomus","  3 Moina, Diaptomus",1,1,3,2,1,
  4 herbivorous insects,  4 herbivorous insects,1,2,1,2.5,1,
  5 Cyclops (copepod),  5 Cyclops (copepod),1,3,2,2.666666667,1,
  6 Asplancha,  6 Asplancha,1,4,2,3.25,2,
  7 predaceous insects,  7 predaceous insects,1,4,0,3.25,2,
