"consumer","resource","priority.level"
2,1,2
2,2,1
2,3,1
2,5,1
2,6,1
5,1,2
5,3,1
5,4,1
6,2,1
6,3,1
6,4,1
6,5,1
7,3,1
8,1,1
8,2,2
8,3,2
8,5,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
10,2,1
10,6,1
10,7,1
10,8,1
10,9,1
