trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Desoria violacea,Collembola,Isotomidae,7
2,1,Deuteraphorura inermis,Collembola,Onychiuridae,8
3,3,Entomobrya marginata/lanuginosa;Folsomia quadrioculata;Tomocerus minutus,Collembola,Entomobryidae;Isotomidae;Tomoceridae,11;14;54
5,2,Isotomiella minor;Ceratophysella succinea,Collembola,Isotomidae;Hypogastruridae,22;389
6,1,Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
7,1,Lipothrix (Sphyrotheca) lubbocki,Collembola,Sminthuridae,26
8,1,Megalothorax minimus,Collembola,Neelidae,27
9,3,Mesaphorura sp.;Mesaphorura macrochaeta;Neanura muscorum,Collembola,Tullbergiidae;Neanuridae,28;691;696
10,1,Micranurida pygmaea,Collembola,Neanuridae,32
11,1,Micraphorura absoloni,Collembola,Onychiuridae,33
12,1,Parisotoma notabilis,Collembola,Isotomidae,40
13,1,Protaphorura armata,Collembola,Onychiuridae,42
14,1,Sminthurinus aureus,Collembola,Katiannidae,48
15,1,Tomocerus flavescens,Collembola,Tomoceridae,53
17,1,Notiophilus rufipes (juv),Coleoptera,Carabidae,93
18,1,Agriotes aterrimus (juv),Coleoptera,Elateridae,108
19,1,Agriotes sp. (juv),Coleoptera,Elateridae,109
20,1,Athous sp. (juv),Coleoptera,Elateridae,117
21,1,Dalopius marginatus (juv) {m},Coleoptera,Elateridae,118
22,1,Acrotona sylvicola,Coleoptera,Stapylinidae,132
23,1,Atheta fungi,Coleoptera,Stapylinidae,133
24,1,Atheta sp.,Coleoptera,Stapylinidae,135
25,1,Atheta sp. (juv),Coleoptera,Stapylinidae,136
26,1,Geostiba circellaris,Coleoptera,Stapylinidae,140
27,1,Othius sp. (juv),Coleoptera,Stapylinidae,150
28,1,Staphylinidae sp1 (juv),Coleoptera,Stapylinidae,162
29,1,Linyphiidae (juv),Araneae,Linyphiidae,178
30,1,Tapinocyba insecta (ad),Araneae,Linyphiidae,189
31,1,Lysigamasus cf conus(ad),Mesostigmata,Pergamasinae,217
32,1,Lysigamasus vagabundus (ad),Mesostigmata,Pergamasinae,222
33,1,Trachytes aegrota (ad),Mesostigmata,Trachytidae,242
34,1,Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243
35,1,Uropoda minima (ad),Mesostigmata,Uropodidae,251
36,1,Uropoda minima (juv),Mesostigmata,Uropodidae,252
37,1,Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
38,1,Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
39,1,Zercon cf gurensis sp1 (ad),Mesostigmata,Zerconidae,266
40,1,Zercon sp (juv),Mesostigmata,Zerconidae,268
41,1,Achipteria coleoptrata,Oribatida,Achipteriidae,295
42,1,Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
43,5,Damaeus riparius;Phthiracarus lentulus;Phthiracarus longulus;Phthiracarus affinis;Rhysotritia duplicata,Oribatida,Damaeidae;Phthiracaridae;Euphthiracaroidae,311;350;351;514;517
44,1,Oribatida juv.,Oribatida,,323
45,1,Metabelba pulverosa,Oribatida,Damaeidae,330
46,1,Microppia minus,Oribatida,Oppiidae,331
47,1,Nanhermannia nana,Oribatida,Nanhermanniidae,332
48,1,Nothrus silvestris,Oribatida,Nothridae,335
49,2,Oppiella nova;Suctobelbella spp.,Oribatida,Oppiidae;Suctobelbidae,338;625
52,1,Platynothrus peltifer,Oribatida,Camisiidae,353
53,1,Ballistura cf. hankoi,Collembola,Isotomidae,354
54,1,Pseudosinella alba,Collembola,Entomobryidae,364
55,1,Tectocepheus velatus alatus,Oribatida,Tectocepheidae,372
57,1,plants,Basal,Plants,401
58,1,roots,Basal,Roots,402
59,1,root exudates,Basal,Roots,403
60,1,mykorrhiza,Basal,Fungi,404
61,1,saphrophytes,Basal,Fungi,405
62,1,bacterivor nematodes,Basal,Nematoda,406
63,1,fungivor nematodes,Basal,Nematoda,407
64,1,root feeding nematodes,Basal,Nematoda,408
65,1,predatious nematodes,Basal,Nematoda,409
66,1,omniv. Nematodes,Basal,Nematoda,410
67,1,bacteria,Basal,Bacteria,411
68,3,flagelata;ciliata;amoeba,Basal,Protozoa,412;413;414
71,1,algae,Basal,Algae,415
72,1,enchitraeidae,Enchitraeidae,Enchitraeidae,416
73,1,dead organic matter detritus,Basal detritus,detritus,417
74,1,Lysigamasus sp (ad),Mesostigmata,Pergamasinae,431
75,1,Entomobrya corticalis,Collembola,Entomobryidae,438
76,1,Pergamasus norvegicus (ad),Mesostigmata,Pergamasinae,439
77,1,litter detritus,Basal detritus,detritus,442
78,1,Vulgarogamasus kraepelini (ad),Mesostigmata,Parasitidae,460
79,1,Platybunus sp.,Opiliones,Phalangiidae,471
80,1,Chamobates pusillus,Oribatida,Chamobatidae,500
83,1,Cryptops hortensis,Chilopoda,Cryptopidae,521
84,1,Agriotinae sp1 (juv),Coleoptera,Elateridae,548
85,1,Leptacinus sp. (juv),Coleoptera,Stapylinidae,558
89,1,Athous subfuscus (juv) {l},Coleoptera,Elateridae,720
90,1,Elateridae sp1 (juv) {l},Coleoptera,Elateridae,724
91,1,Pergamasinae (juv) {s},Mesostigmata,Pergamasinae,735
92,1,Pergamasus sp (juv) {m},Mesostigmata,Pergamasinae,736
93,2,Lumbricus rubellus (ad) {xxl};Lumbricus rubellus (juv) {xxl},Lumbricidae,Lumbricidae,743;744
95,1,Campodea sp {l},Diplura,Campodeidae,749
96,1,Linyphiidae cf Erigoniinae (juv) {m},Araneae,Linyphiidae,759
97,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
98,1,Nitidulidae spec,Coleoptera,Nitidulidae,878
99,1,Theridiidae juv spec,Araneae,Theridiidae,942
100,1,Araneidae spec juv,Araneae,Araneidae,959
101,1,Lycosidae spec juv,Araneae,Lycosidae,973
