trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Deuterosminthurus sp.,Collembola,Bourletiellidae,9
2,2,Folsomia quadrioculata;Folsomia spinosa,Collembola,Isotomidae,14;15
4,2,Isotomiella minor;Parisotoma notabilis,Collembola,Isotomidae,22;40
5,1,Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
6,1,Megalothorax minimus,Collembola,Neelidae,27
7,3,Mesaphorura sp.;Paratullbergia callipygos;Paratullbergia sp.,Collembola,Tullbergiidae,28;38;39
11,1,Protaphorura armata,Collembola,Onychiuridae,42
12,3,Sminthurinus aureus;Sminthurinus sp. juv;Sminthurus viridis,Collembola,Katiannidae;Sminthuridae,48;49;50
15,1,Stenaphorura denisi,Collembola,Tullbergiidae,51
16,1,Lithobius crassipes,Chilopoda,Lithobiidae,58
17,1,Lithobius mutabilis,Chilopoda,Lithobiidae,65
18,1,Lithobius sp. juv {m},Chilopoda,Lithobiidae,69
19,1,Lithobius sp4,Chilopoda,Lithobiidae,73
20,1,Geophilus ribauti,Chilopoda,Geophilidae,74
21,1,Schendyla nemorensis,Chilopoda,Schendylidae,77
22,1,Strigamia acuminata,Chilopoda,Dignathodontidae,79
23,1,Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81
24,1,Trechus sp. (juv),Coleoptera,Carabidae,100
25,2,Cryptorhynchinae sp1;Phyllobius spec,Coleoptera,Curculionidae,103;853
26,1,Agriotes acuminatus (juv),Coleoptera,Elateridae,107
27,1,Agriotes sp. (juv),Coleoptera,Elateridae,109
28,1,Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
29,1,Scydmaenidae sp2,Coleoptera,Scydmanidae,129
30,1,Aleocharinae sp1 (juv),Coleoptera,Stapylinidae,130
31,1,Atheta sp.,Coleoptera,Stapylinidae,135
32,1,Geostiba circellaris,Coleoptera,Stapylinidae,140
33,1,Amaurobius sp (juv),Araneae,Amaurobiidae,164
34,1,Diplocephalus picinus (ad),Araneae,Linyphiidae,172
35,1,Hahnia pusilla (juv),Araneae,Hahniidae,174
36,1,Linyphiidae (juv),Araneae,Linyphiidae,178
37,1,Microneta viaria (ad),Araneae,Linyphiidae,180
38,1,Neobisium sp,Pseudoscorpiones,Neobisidae,182
39,1,Phalangiidae (juv),Opiliones,Phalangiidae,185
40,1,Robertus lividus (ad),Araneae,Theridiidae,186
41,1,Saloca diceros (ad),Araneae,Linyphiidae,188
42,1,Walckenaeria dysderoides (ad),Araneae,Linyphiidae,195
43,1,Dinychus perforatus (ad),Mesostigmata,Urodinychidae,203
44,1,Geholaspis aeneus (ad),Mesostigmata,Macrochelidae,209
45,1,Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234
46,1,Pergamasinae (male),Mesostigmata,Pergamasinae,235
47,1,Trachytes pauperior (juv),Mesostigmata,Trachytidae,245
48,1,Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
49,1,Zercon sp (juv),Mesostigmata,Zerconidae,268
50,2,Aporrectodea caliginosa (juv) {xl};Octolasion tyrtaeum (juv) {xxl},Lumbricidae,Lumbricidae,272;748
51,2,Lumbricus terrestris (ad);Lumbricus terrestris (juv) {xxxl},Lumbricidae,Lumbricidae,284;746
52,1,Achipteria coleoptrata,Oribatida,Achipteriidae,295
53,1,Atropacarus striculus,Oribatida,Phthiracaridae,298
54,1,Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
55,1,Ceratozetes gracilis,Oribatida,Ceratozetidae,305
56,2,Chamobates cuspidatus;Pantelozetes paolii,Oribatida,Chamobatidae;Thyrisomidae,307;344
57,2,Dissorhina ornata;Hypochthonius luteus,Oribatida,Oppiidae;Hypochthoniidae,312;321
59,1,Oribatida juv.,Oribatida,,323
60,5,Neotrichoppia confinis;Oppiella nova;Oppiella subpectinata;Oppiella obsoleta;Suctobelbella spp.,Oribatida,Oppiidae;Suctobelbidae,333;338;339;341;625
61,1,Nothrus silvestris,Oribatida,Nothridae,335
66,1,Quadroppia quadricarinata,Oribatida,Quadroppiidae,357
67,1,Steganacarus magnus,Oribatida,Phthiracaridae,365
68,1,Tectocepheus minor,Oribatida,Tectocepheidae,371
69,2,Porcellio spinicornis;Trachelipus ratzeburgii,Isopoda,Porcellionidae;Trachelipidae,376;912
70,1,Oniscidae juv ?,Isopoda,Oniscidae,377
71,1,plants,Basal,Plants,401
72,1,roots,Basal,Roots,402
73,1,root exudates,Basal,Roots,403
74,1,mykorrhiza,Basal,Fungi,404
75,1,saphrophytes,Basal,Fungi,405
