trophospecies_id,n_lumped,sp_name,guild,family,sp_id
108,1,Lithobius aeruginosus juv,Chilopoda,Lithobiidae,593
109,1,Strigamia acuminata juv,Chilopoda,Linotaeniidae,598
110,1,Achipteria nitens,Oribatida,Achipteriidae,606
111,3,Edwarzetes edwardsii;Fuscozetes setosus;Sphaerozetes piriformes,Oribatida,Ceratozetidae,609;611;623
114,1,Quadroppia hammerae,Oribatida,Quadroppiidae,622
117,1,Byrrhidae sp1,Coleoptera,Byrrhidae,628
118,1,Lysigamasus celticus (ad),Mesostigmata,Pergamasinae,651
119,1,Lysigamasus minorleitneriae (ad),Mesostigmata,Pergamasinae,655
120,1,Lysigamasus cf wasmanni (ad),Mesostigmata,Pergamasinae,659
121,1,Pergamasus septentrionalis (ad),Mesostigmata,Pergamasinae,661
122,1,Zercon cf romagniolus (ad),Mesostigmata,Zerconidae,667
123,1,Zercon cf triangularis (ad),Mesostigmata,Zerconidae,668
127,1,Scutigerella immaculata {m},Symphyla,Scutigerellidae,718
128,1,Athous subfuscus (juv) {l},Coleoptera,Elateridae,720
129,1,Dalopius marginatus (juv) {l},Coleoptera,Elateridae,723
131,1,Trachytes aegrota (juv) {s},Mesostigmata,Trachytidae,737
132,1,Trachytes pauperior (ad) {s},Mesostigmata,Trachytidae,738
133,1,Lumbricus terrestris (juv) {xxl},Lumbricidae,Lumbricidae,745
134,1,Trichoniscus pusillus {m},Isopoda,Trichoniscidae,750
135,1,Linyphiidae cf Erigoniinae (juv) {m},Araneae,Linyphiidae,759
136,1,Lithobius aeruginosus {l},Chilopoda,Lithobiidae,764
137,1,Xantholinus sp. (juv),Coleoptera,Stapylinidae,770
138,2,Aegopinella nitens;Aegopinella nitens juv,Gastropoda,Oxychilidae,809;810
140,1,Discus rotundatus juv,Gastropoda,Patulidae,812
141,1,Nesovitrea hammonis,Gastropoda,Oxychilidae,813
142,2,Larve spec;Elateridae spec,Coleoptera,Larve spec;Elateridae,857;861
143,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
145,1,Carabidae spec,Coleoptera,Carabidae,875
146,1,Anthicus floralis,Coleoptera,Anthicidae,883
147,1,Harpalinae spec,Coleoptera,Carabidae,884
148,1,Trichoniscus spec,Isopoda,Trichoniscidae,911
149,1,Agelenidae spec juv,Araneae,Agelenidae,932
150,1,Euophrys frontalis,Araneae,Salticidae,936
151,1,Theridiidae juv spec,Araneae,Theridiidae,942
152,1,Porrhomma microphthalmum,Araneae,Linyphiidae,944
153,1,Ero furcata,Araneae,Mimetidae,945
