trophospecies_id,n_lumped,sp_name,guild,family,sp_id
110,2,Larve spec;Elateridae spec,Coleoptera,Larve spec;Elateridae,857;861
111,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
113,1,Coleoptera spec,Coleoptera,Coleoptera spec,863
114,1,Brachysomus spec,Coleoptera,Curculionidae,864
115,1,Chrysomelidae spec,Coleoptera,Chrysomeldiae,866
116,1,Trechinae spec,Coleoptera,Carabidae,869
117,1,Sitona spec,Coleoptera,Curculionidae,870
118,1,Cylisticus spec,Isopoda,Cylisticidae,910
120,1,Porcellio conspersum,Isopoda,Porcellionidae,917
121,1,Glomeris spec,Diplopoda,Glomeridae,920
122,1,Chilopoda spec,Chilopoda,Chilopoda spec,921
123,1,Harpactea lepida (juv),Araneae,Dysderidae,933
124,1,Theridiidae juv spec,Araneae,Theridiidae,942
125,1,Pelecopsis radicicola,Araneae,Linyphiidae,961
126,1,Saaristoa abnormis,Araneae,Linyphiidae,963
