sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_long_chain,sp_ntp
85,aquatic saprotrophs,21,4,1,1,0,1,1,1,1.0,2.0
86,aquatic saprotrophs,21,4,1,1,0,1,1,0,1.0,2.0
87,aquatic saprotrophs,21,4,1,1,0,1,1,0,1.0,2.0
88,small algae parasites,22,1,10,2,0,1,1,2,1.0,2.0
89,aquatic macrophyte parasites,23,1,8,1,0,1,8,0,1.0,2.0
90,nematodes,24,1,62,8,1,1,1,4,2.0,3.0
91,swimming filter feeders,25,2,9,2,0,1,7,1,2.0,2.769230769230769
92,swimming filter feeders,25,2,9,2,0,1,3,0,2.0,2.3333333333333335
93,swimming scrapers,26,1,18,3,0,1,2,2,2.0,2.5
94,arthropod  omnivores,27,2,21,3,0,1,17,2,3.0,3.96
95,arthropod  omnivores,27,2,21,3,0,1,5,2,5.0,4.090909090909091
96,benthic predators,28,1,5,3,0,1,5,3,4.0,4.385964912280702
