sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_long_chain,sp_ntp
1,terrestrial detritus,1,1,0,39,1,0,0,25,0.0,1.0
2,land plants,2,8,0,19,1,0,0,11,0.0,1.0
3,land plants,2,8,0,19,1,0,0,9,0.0,1.0
4,land plants,2,8,0,19,1,0,0,9,0.0,1.0
5,land plants,2,8,0,19,1,0,0,9,0.0,1.0
6,land plants,2,8,0,19,1,0,0,8,0.0,1.0
7,land plants,2,8,0,19,1,0,0,11,0.0,1.0
8,land plants,2,8,0,19,1,0,0,9,0.0,1.0
9,land plants,2,8,0,19,1,0,0,7,0.0,1.0
10,terrestrial heterotroph microbes,3,2,3,6,1,0,1,3,1.0,2.0
11,terrestrial heterotroph microbes,3,2,3,6,1,0,1,1,1.0,2.0
12,terrestrial saprotrophs,4,17,1,7,1,0,1,6,1.0,2.0
13,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
14,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
15,terrestrial saprotrophs,4,17,1,7,1,0,1,3,1.0,2.0
16,terrestrial saprotrophs,4,17,1,7,1,0,1,3,1.0,2.0
17,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
18,terrestrial saprotrophs,4,17,1,7,1,0,1,4,1.0,2.0
19,terrestrial saprotrophs,4,17,1,7,1,0,1,3,1.0,2.0
20,terrestrial saprotrophs,4,17,1,7,1,0,1,3,1.0,2.0
21,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
22,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
23,terrestrial saprotrophs,4,17,1,7,1,0,1,3,1.0,2.0
24,terrestrial saprotrophs,4,17,1,7,1,0,1,3,1.0,2.0
25,terrestrial saprotrophs,4,17,1,7,1,0,1,4,1.0,2.0
26,terrestrial saprotrophs,4,17,1,7,1,0,1,4,1.0,2.0
27,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
28,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
29,mycorrhizae,5,9,9,7,1,0,3,2,1.0,2.0
30,mycorrhizae,5,9,9,7,1,0,5,0,1.0,2.0
31,mycorrhizae,5,9,9,7,1,0,4,1,1.0,2.0
32,mycorrhizae,5,9,9,7,1,0,1,1,1.0,2.0
33,mycorrhizae,5,9,9,7,1,0,3,2,1.0,2.0
34,mycorrhizae,5,9,9,7,1,0,5,3,1.0,2.0
35,mycorrhizae,5,9,9,7,1,0,4,3,1.0,2.0
36,mycorrhizae,5,9,9,7,1,0,7,2,1.0,2.0
37,mycorrhizae,5,9,9,7,1,0,6,2,1.0,2.0
38,plant parasites,6,7,9,7,1,0,3,2,1.0,2.0
39,plant parasites,6,7,9,7,1,0,1,2,1.0,2.0
40,plant parasites,6,7,9,7,1,0,6,2,1.0,2.0
41,plant parasites,6,7,9,7,1,0,7,1,1.0,2.0
42,plant parasites,6,7,9,7,1,0,1,2,1.0,2.0
43,plant parasites,6,7,9,7,1,0,9,3,1.0,2.0
44,plant parasites,6,7,9,7,1,0,8,4,1.0,2.0
45,fungal parasites,7,3,33,4,1,0,16,1,2.0,3.0
46,fungal parasites,7,3,33,4,1,0,13,0,2.0,3.0
47,fungal parasites,7,3,33,4,1,0,3,2,2.0,3.0
48,terrestrial microbivores,8,1,41,8,1,0,21,5,2.0,3.189655172413793
49,terrestrial detritivores,9,2,4,5,1,0,2,1,1.0,2.0
50,terrestrial detritivores,9,2,4,5,1,0,1,2,1.0,2.0
51,mites,10,2,51,8,1,0,17,1,2.0,2.9310344827586206
52,mites,10,2,51,8,1,0,29,4,2.0,2.9178082191780823
53,terrestrial arthropod predators (1),11,3,7,8,1,0,4,2,3.0,3.861111111111111
54,terrestrial arthropod predators (1),11,3,7,8,1,0,2,3,3.0,3.428571428571429
55,terrestrial arthropod predators (1),11,3,7,8,1,0,3,3,4.0,4.411764705882353
56,terrestrial arthropod predators (2),12,5,13,5,1,0,13,3,3.0,4.387596899224806
57,terrestrial arthropod predators (2),12,5,13,5,1,0,1,1,4.0,4.416666666666666
58,terrestrial arthropod predators (2),12,5,13,5,1,0,1,2,4.0,4.166666666666666
59,terrestrial arthropod predators (2),12,5,13,5,1,0,1,2,3.0,3.9
60,terrestrial arthropod predators (2),12,5,13,5,1,0,9,3,3.0,4.387096774193548
61,aquatic detritus,13,1,0,10,0,1,0,7,0.0,1.0
