trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,2,1.0,0.0,0.5862068965517241,0.0,1.0,0.5862068965517241,0.0
2,2,land plants,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,heterotrophic microbes,1,2,5,2.5,1.0,0.7391304347826086,17.0,2.5,0.7391304347826086,17.0
4,4,terrestrial fungi,1,1,4,2.0,1.0,0.7727272727272727,0.0,2.0,0.7727272727272727,0.0
5,5,terrestrial microbivores,1,3,4,2.5,2.0,4.25,3.4,2.5,4.25,3.4
6,6,terrestrial detritivores,1,4,4,2.3333333333333335,1.0,1.3076923076923077,4.25,2.166666666666667,1.8681318681318682,10.625
7,7,terrestrial detritivores,1,1,3,2.0,1.0,2.4285714285714284,17.0,2.166666666666667,1.8681318681318682,10.625
8,8;9,mites,2,1,2,3.0,2.0,2.8333333333333335,5.666666666666667,3.0,2.8333333333333335,5.666666666666667
10,10,small terrestrial arthropod predators,1,2,5,3.25,2.0,1.8888888888888888,1.7,3.8333333333333335,2.7074074074074073,1.3047619047619048
11,11,small terrestrial arthropod predators,1,1,6,4.0,3.0,2.8333333333333335,1.0,3.8333333333333335,2.7074074074074073,1.3047619047619048
12,12,small terrestrial arthropod predators,1,4,4,4.25,3.0,3.4,1.2142857142857142,3.8333333333333335,2.7074074074074073,1.3047619047619048
13,13,large terrestrial arthropod predators,1,8,3,4.125,2.0,4.25,0.68,4.169848484848485,4.363333333333333,0.7155454545454546
14,14,large terrestrial arthropod predators,1,2,3,4.333333333333334,4.0,3.4,0.7083333333333334,4.169848484848485,4.363333333333333,0.7155454545454546
15,15,large terrestrial arthropod predators,1,11,3,4.05,2.0,4.25,0.7727272727272727,4.169848484848485,4.363333333333333,0.7155454545454546
16,16,large terrestrial arthropod predators,1,6,3,4.25,3.0,4.25,0.6071428571428571,4.169848484848485,4.363333333333333,0.7155454545454546
17,17,large terrestrial arthropod predators,1,12,4,4.090909090909091,2.0,5.666666666666667,0.8095238095238095,4.169848484848485,4.363333333333333,0.7155454545454546
18,18,benthic algae,1,0,4,1.0,0.0,0.8095238095238095,0.0,1.0,0.8095238095238095,0.0
19,19,nematodes,1,3,2,2.5,2.0,1.1333333333333333,3.4,2.5,1.1333333333333333,3.4
