trophospecies_id,n_lumped,sp_name,guild,family,sp_id
110,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
111,1,Elateridae spec,Coleoptera,Elateridae,861
112,1,Coleoptera spec,Coleoptera,Coleoptera spec,863
113,1,Carabidae spec,Coleoptera,Carabidae,875
114,1,Amara aenea,Coleoptera,Carabidae,886
115,1,Pamagaeus bipustulatus,Coleoptera,Carabidae,900
118,1,Chilopoda spec,Chilopoda,Chilopoda spec,921
119,1,Theridiidae juv spec,Araneae,Theridiidae,942
120,1,Salticidae spec juv,Araneae,Salticidae,947
121,1,Thomisidae spec juv,Araneae,Thomisidae,954
122,1,Lycosidae spec juv,Araneae,Lycosidae,973
123,1,Zora spinimana (juv),Araneae,Zoridae,975
124,1,Xysticus erraticus,Araneae,Thomisidae,980
125,1,Zora spinimana,Araneae,Zordae,981
126,1,Corrinidae spec juv,Araneae,Corinnidae,988
127,1,Evarcha arcuata,Araneae,Salticidae,989
