trophospecies_id,n_lumped,sp_name,guild,family,sp_id
110,1,enchitraeidae,Enchitraeidae,Enchitraeidae,416
111,1,dead organic matter detritus,Basal detritus,detritus,417
112,1,litter detritus,Basal detritus,detritus,442
113,1,Macrargus rufus (ad),Araneae,Linyphiidae,473
114,1,Julidae spec,Diplopoda,Julidae,486
115,1,Hahniidae (juv),Araneae,Hahniidae,578
117,1,Lithobius sp2 {l},Chilopoda,Lithobiidae,706
118,1,Lithobius sp3 {m},Chilopoda,Lithobiidae,707
119,1,Scutigerella immaculata {s},Symphyla,Scutigerellidae,717
120,1,Robertus sp (juv) {l},Araneae,Theridiidae,733
121,1,Trachytes aegrota (juv) {s},Mesostigmata,Trachytidae,737
122,1,Campodea sp {l},Diplura,Campodeidae,749
123,1,Trichoniscus pusillus {m},Isopoda,Trichoniscidae,750
124,1,Allaiulus nitidus {xxl},Diplopoda,Julidae,753
126,1,Xantholinus sp. (juv),Coleoptera,Stapylinidae,770
127,1,Helicodonta obvoluta,Gastropoda,Helicodontidae,805
128,1,Discus rotundatus juv,Gastropoda,Patulidae,812
129,1,Cochlodina laminata,Gastropoda,Clausiliidae,823
130,1,Cantharidae spec,Coleoptera,Cantharidae,851
131,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
132,1,Elateridae spec,Coleoptera,Elateridae,861
133,1,Coleoptera spec,Coleoptera,Coleoptera spec,863
134,1,Crychus caraboides,Coleoptera,Carabidae,877
135,2,Cylisticus spec;Philoscia muscorum,Isopoda,Cylisticidae;Philosciidae,910;914
136,1,Trichoniscus spec,Isopoda,Trichoniscidae,911
137,1,Trachelipus ratzeburgii,Isopoda,Trachelipidae,912
139,1,Porcellio conspersum,Isopoda,Porcellionidae,917
140,1,Glomeris spec,Diplopoda,Glomeridae,920
141,1,Chilopoda spec,Chilopoda,Chilopoda spec,921
142,1,Ceratinella brevis,Araneae,Linyphiidae,931
143,1,Agelenidae spec juv,Araneae,Agelenidae,932
144,1,Harpactea lepida (juv),Araneae,Dysderidae,933
145,1,Harpactea lepida (ad),Araneae,Dysderidae,934
146,1,Euophrys frontalis,Araneae,Salticidae,936
147,1,Theridiidae juv spec,Araneae,Theridiidae,942
148,1,Walckenaeria cuspidata,Araneae,Linyphiidae,966
