SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
1,1,62.0,201.0,3.2419354838709675,0.05314648334214701,0.18032786885245902,0.06451612903225806,0.62,0.26,4.02,4.825485066026936,1.2580645161290323,2.250568603853014,4.754385964912281,0.4733668281166856,0.26,0.46544042980033945,1.998236331569665,0.8706017539686981,0.0
10,1,62.0,252.0,4.064516129032258,0.06663141195134849,0.18032786885245902,0.016129032258064516,0.62,0.3,5.04,6.337320620977072,1.2258064516129032,2.256710315249296,4.708333333333334,0.4793013058936557,0.24,0.407360327555377,1.8898426323319026,0.781701438225439,0.0
100,1,62.0,214.0,3.4516129032258065,0.05658381808566896,0.18032786885245902,0.0,0.64,0.28,4.28,6.590159640071905,1.2741935483870968,2.2234163334465618,4.74468085106383,0.4686124110851498,0.22,0.45625007495738124,2.0031948881789137,0.8962085562846556,0.0
1000,1,62.0,175.0,2.8225806451612905,0.04627181385510312,0.18032786885245902,0.14516129032258066,0.64,0.26,3.5,3.3089242348287056,1.3870967741935485,2.2921337537488284,5.444444444444445,0.4210041588518256,0.26,0.4560151890812707,2.204494382022472,1.2451627224930824,0.0
101,1,62.0,192.0,3.096774193548387,0.05076679005817028,0.18032786885245902,0.06451612903225806,0.62,0.26,3.84,5.164083181169801,1.2096774193548387,2.202189466271325,4.466666666666667,0.49302749244880406,0.22,0.4207752196377419,1.8043010752688171,0.7756968472370485,0.0
102,1,62.0,194.0,3.129032258064516,0.05129561078794289,0.18032786885245902,0.016129032258064516,0.62,0.26,3.88,6.18635760429053,1.2741935483870968,2.2112488084612907,5.0,0.44224976169225816,0.24,0.4634949087049911,2.0672097759674135,1.0407827484031538,0.0
103,1,62.0,211.0,3.403225806451613,0.05579058699101005,0.18032786885245902,0.08064516129032258,0.62,0.3,4.22,4.995058782927181,1.2741935483870968,2.2035941226159785,4.5,0.4896875828035508,0.2,0.3962121040029008,1.8817005545286507,0.8169827455109778,0.0
104,1,62.0,216.0,3.4838709677419355,0.05711263881544157,0.18032786885245902,0.016129032258064516,0.62,0.26,4.32,7.16123350451041,1.3387096774193548,2.3186256261541316,4.9523809523809526,0.4681840206657381,0.26,0.5308895764208426,2.0671256454388987,0.99860428446138,0.0
105,1,62.0,185.0,2.9838709677419355,0.04891591750396616,0.18032786885245902,0.08064516129032258,0.62,0.28,3.7,3.5927932399883695,1.2903225806451613,2.2535341763262884,4.911764705882353,0.45880336524008264,0.26,0.423544830680135,2.2619469026548673,1.0925536635854423,0.0
106,1,62.0,217.0,3.5,0.05737704918032787,0.18032786885245902,0.016129032258064516,0.62,0.26,4.34,6.212594186860448,1.2580645161290323,2.3227069428531455,6.0,0.38711782380885756,0.22,0.5728717583412988,1.7121535181236673,0.7653566356938644,0.0
107,1,62.0,159.0,2.564516129032258,0.042041248016922265,0.18032786885245902,0.06451612903225806,0.62,0.32,3.18,3.85814801717728,1.3064516129032258,2.319091053093363,5.592592592592593,0.4146719101557669,0.22,0.4324045956840923,2.381679389312977,1.1908382912162248,0.0
108,1,62.0,230.0,3.7096774193548385,0.060814383923849816,0.18032786885245902,0.0,0.62,0.26,4.6,6.279217421667403,1.2580645161290323,2.262800441554569,4.411764705882353,0.5129014334190356,0.28,0.47897175630976263,1.9490861618798956,0.7383202630749607,0.0
109,1,62.0,246.0,3.967741935483871,0.06504494976203067,0.18032786885245902,0.03225806451612903,0.62,0.24,4.92,6.120690904044832,1.2741935483870968,2.2473646406427754,4.5,0.49941436458728344,0.3,0.46583995437944986,1.9283625730994152,0.8517399004974304,0.0
11,1,62.0,225.0,3.629032258064516,0.059492332099418295,0.18032786885245902,0.08064516129032258,0.64,0.26,4.5,5.330888044870083,1.2258064516129032,2.199986072595409,5.363636363636363,0.4101668948906695,0.24,0.42407105875396295,1.901360544217687,0.9101724115128351,0.0
110,1,62.0,171.0,2.7580645161290325,0.0452141723955579,0.18032786885245902,0.1935483870967742,0.66,0.28,3.42,3.9179857382203367,1.1451612903225807,2.1720038069301117,5.555555555555555,0.3909606852474201,0.16,0.5584882160525093,1.8877005347593583,1.0057254627018204,0.0
111,1,62.0,228.0,3.6774193548387095,0.060285563194077206,0.18032786885245902,0.04838709677419355,0.64,0.26,4.56,9.508664147899589,1.1290322580645162,2.172682828270831,4.633333333333333,0.46892435142535926,0.2,0.45546383152552045,1.896551724137931,0.8788556871390202,0.0
112,1,62.0,164.0,2.6451612903225805,0.04336329984135378,0.18032786885245902,0.03225806451612903,0.62,0.3,3.28,4.936494666444676,1.3870967741935485,2.2705413022373317,5.0,0.4541082604474663,0.18,0.5087289925595585,2.259259259259259,0.9896718739865734,0.0
113,1,62.0,197.0,3.1774193548387095,0.0520888418826018,0.18032786885245902,0.08064516129032258,0.62,0.3,3.94,3.9969886623990996,1.2903225806451613,2.258808884200966,4.6521739130434785,0.4855383582861889,0.24,0.4365290152435041,2.0203735144312396,0.880394467311575,0.0
114,1,62.0,252.0,4.064516129032258,0.06663141195134849,0.18032786885245902,0.0,0.62,0.26,5.04,7.5672764895560505,1.3064516129032258,2.3112417333964355,5.351351351351351,0.4318987077558996,0.22,0.4942573879301133,1.9818417639429313,0.8231597221533523,0.0
115,1,62.0,252.0,4.064516129032258,0.06663141195134849,0.18032786885245902,0.0,0.64,0.24,5.04,9.102500217197562,1.1612903225806452,2.1731178516954417,4.642857142857142,0.46805615267286443,0.22,0.499341794496337,1.912280701754386,0.8776379119359181,0.0
116,1,62.0,204.0,3.2903225806451615,0.053939714436805924,0.18032786885245902,0.03225806451612903,0.64,0.24,4.08,4.448526470091197,1.3387096774193548,2.2982945355365905,5.136363636363637,0.4474555732903096,0.28,0.5749358986082869,2.1173708920187795,0.9634359090973468,0.0
117,1,62.0,171.0,2.7580645161290325,0.0452141723955579,0.18032786885245902,0.11290322580645161,0.62,0.24,3.42,3.67612262458972,1.2903225806451613,2.248432809045394,4.71830985915493,0.4765335207230536,0.32,0.3948973696116325,2.038076152304609,0.9120749030246006,0.0
