trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,2,1.0,0.0,0.6590909090909091,0.0,1.0,0.6590909090909091,0.0
2,2,land plants,1,0,2,1.0,0.0,1.5263157894736843,0.0,1.0,1.5263157894736843,0.0
3,3,heterotrophic microbes,1,1,2,2.0,1.0,1.16,29.0,2.0,1.16,29.0
4,4,terrestrial fungi,1,1,3,2.0,1.0,1.0,29.0,2.0,1.0,29.0
5,5,terrestrial microbivores,1,2,3,2.5,2.0,3.2222222222222223,7.25,2.5,3.2222222222222223,7.25
6,6,terrestrial detritivores,1,2,4,2.5,2.0,2.6363636363636362,7.25,2.75,2.5265151515151514,8.458333333333332
7,7,terrestrial detritivores,1,1,3,3.0,2.0,2.4166666666666665,9.666666666666666,2.75,2.5265151515151514,8.458333333333332
8,8,mites,1,1,5,2.0,1.0,2.4166666666666665,29.0,2.0,3.020833333333333,29.0
9,9,mites,1,1,4,2.0,1.0,3.625,29.0,2.0,3.020833333333333,29.0
10,10,small terrestrial arthropod predators,1,9,5,3.85,3.0,4.833333333333333,1.380952380952381,3.5611111111111113,3.3833333333333333,2.138558201058201
11,11,small terrestrial arthropod predators,1,3,1,3.333333333333333,3.0,2.4166666666666665,1.8125,3.5611111111111113,3.3833333333333333,2.138558201058201
12,12,small terrestrial arthropod predators,1,2,3,3.5,3.0,2.9,3.2222222222222223,3.5611111111111113,3.3833333333333333,2.138558201058201
13,13,large terrestrial arthropod predators,1,10,2,4.37037037037037,3.0,4.833333333333333,0.90625,4.278549777398881,5.661904761904761,0.7841112310919142
14,14,large terrestrial arthropod predators,1,1,2,4.25,4.0,4.142857142857143,0.8055555555555556,4.278549777398881,5.661904761904761,0.7841112310919142
15,15,large terrestrial arthropod predators,1,7,3,4.478260869565217,3.0,7.25,0.8285714285714286,4.278549777398881,5.661904761904761,0.7841112310919142
16,16,large terrestrial arthropod predators,1,3,2,4.0,4.0,7.25,0.6170212765957447,4.278549777398881,5.661904761904761,0.7841112310919142
17,17,large terrestrial arthropod predators,1,6,2,4.294117647058823,3.0,4.833333333333333,0.7631578947368421,4.278549777398881,5.661904761904761,0.7841112310919142
18,18,aquatic detritus,1,0,2,1.0,0.0,4.833333333333333,0.0,1.0,4.833333333333333,0.0
19,19,aquatic heterotroph microbes,1,1,2,2.0,1.0,4.142857142857143,29.0,2.0,4.142857142857143,29.0
20,20,planktonic algae,1,0,4,1.0,0.0,3.625,0.0,1.0,3.625,0.0
21,21,benthic algae,1,0,5,1.0,0.0,1.3181818181818181,0.0,1.0,1.3181818181818181,0.0
22,22,macrophytic algae,1,0,3,1.0,0.0,1.0740740740740742,0.0,1.0,1.0740740740740742,0.0
23,23,aquatic fungi,1,1,2,2.0,1.0,7.25,29.0,2.0,7.25,29.0
24,24,nematodes,1,4,5,2.5,2.0,1.8125,4.833333333333333,2.5,1.8125,4.833333333333333
25,25,swimming filter feeders,1,1,1,2.0,1.0,29.0,29.0,2.25,18.125,21.75
26,26,swimming filter feeders,1,2,2,2.5,1.0,7.25,14.5,2.25,18.125,21.75
27,27,swimming scrapers,1,1,3,2.0,1.0,9.666666666666666,29.0,2.0,9.666666666666666,29.0
28,28,arthropod omnivores,1,6,2,2.875,3.0,14.5,1.5263157894736843,3.1279761904761907,7.25,1.4881578947368421
29,29,arthropod omnivores,1,11,0,3.380952380952381,3.0,0.0,1.45,3.1279761904761907,7.25,1.4881578947368421
30,30,benthic predators,1,3,1,3.5555555555555554,3.0,29.0,1.16,3.5555555555555554,29.0,1.16
