trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,1,1.0,0.0,4.142857142857143,0.0,1.0,4.142857142857143,0.0
2,2,land plants,1,0,3,1.0,0.0,0.9354838709677419,0.0,1.0,0.9354838709677419,0.0
3,3,heterotrophic microbes,1,1,3,2.0,1.0,1.5263157894736843,0.0,2.0,1.5263157894736843,0.0
4,4,terrestrial fungi,1,1,5,2.0,1.0,1.2083333333333333,0.0,2.0,1.2083333333333333,0.0
5,5,terrestrial microbivores,1,2,2,2.0,1.0,7.25,14.5,2.0,7.25,14.5
6,6,terrestrial detritivores,1,2,3,2.0,1.0,9.666666666666666,14.5,2.0,8.458333333333332,21.75
7,7,terrestrial detritivores,1,1,4,2.0,1.0,7.25,29.0,2.0,8.458333333333332,21.75
8,8,mites,1,5,3,2.5,2.0,2.0714285714285716,4.142857142857143,2.5,2.0714285714285716,4.488095238095238
9,9,mites,1,4,3,2.5,2.0,2.0714285714285716,4.833333333333333,2.5,2.0714285714285716,4.488095238095238
10,10,small terrestrial arthropod predators,1,9,3,3.5789473684210527,2.0,14.5,1.45,3.2763157894736845,8.216666666666667,3.16025641025641
11,11,small terrestrial arthropod predators,1,3,3,3.25,2.0,2.9,2.230769230769231,3.2763157894736845,8.216666666666667,3.16025641025641
12,12,small terrestrial arthropod predators,1,1,4,3.0,2.0,7.25,5.8,3.2763157894736845,8.216666666666667,3.16025641025641
13,13,large terrestrial arthropod predators,1,1,3,5.0,4.0,9.666666666666666,0.90625,4.652254901960784,17.593333333333334,0.9965698653198654
14,14,large terrestrial arthropod predators,1,1,3,4.0,3.0,5.8,1.3181818181818181,4.652254901960784,17.593333333333334,0.9965698653198654
15,15,large terrestrial arthropod predators,1,9,2,4.708333333333334,3.0,29.0,0.8787878787878788,4.652254901960784,17.593333333333334,0.9965698653198654
16,16,large terrestrial arthropod predators,1,13,2,4.352941176470589,3.0,29.0,1.0740740740740742,4.652254901960784,17.593333333333334,0.9965698653198654
17,17,large terrestrial arthropod predators,1,3,2,5.2,5.0,14.5,0.8055555555555556,4.652254901960784,17.593333333333334,0.9965698653198654
18,18,aquatic detritus,1,0,3,1.0,0.0,9.666666666666666,0.0,1.0,9.666666666666666,0.0
19,19,aquatic heterotroph microbes,1,2,2,2.5,1.0,29.0,29.0,2.5,29.0,29.0
20,20,planktonic algae,1,0,4,1.0,0.0,3.2222222222222223,0.0,1.0,3.2222222222222223,0.0
21,21,benthic algae,1,0,6,1.0,0.0,0.90625,0.0,1.0,0.90625,0.0
22,22,macrophytic algae,1,0,3,1.0,0.0,0.8529411764705882,0.0,1.0,0.8529411764705882,0.0
23,23,aquatic fungi,1,5,2,2.5,1.0,29.0,7.25,2.5,29.0,7.25
24,24,nematodes,1,2,7,2.0,1.0,1.45,14.5,2.0,1.45,14.5
25,25,swimming filter feeders,1,1,2,2.0,1.0,7.25,29.0,2.0,18.125,29.0
26,26,swimming filter feeders,1,1,1,2.0,1.0,29.0,29.0,2.0,18.125,29.0
27,27,swimming scrapers,1,1,2,2.0,1.0,7.25,29.0,2.0,7.25,29.0
28,28,arthropod omnivores,1,3,2,4.0,3.0,14.5,1.9333333333333333,3.6666666666666665,7.25,2.0023809523809524
29,29,arthropod omnivores,1,13,1,3.333333333333333,2.0,0.0,2.0714285714285716,3.6666666666666665,7.25,2.0023809523809524
30,30,benthic predators,1,2,2,4.0,3.0,14.5,1.8125,4.0,14.5,1.8125
