trophospecies_id,n_lumped,sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,original_sp_id
62,1,Zygoptera (Coenagrionidae indet. and DT 54),insectivore insectivore,insectivore,insectivore,62,Odonata,2,3,255
63,1,Zygoptera (fam. indet. and DT100),insectivore insectivore,insectivore,insectivore,63,Odonata,2,3,256
64,1,Fam. indet.,detritivore detritivore,detritivore,detritivore,64,Plecoptera,3,3,257
65,1,Gerridae (Gerris sp.),insectivore insectivore,insectivore,insectivore,65,Hemiptera,3,2,295
66,1,Gerridae (Cylindrobates messelensis),insectivore insectivore,insectivore,insectivore,66,Hemiptera,3,2,296
67,1,Notonectidae (gen. et sp. indet.),insectivore herbivore (P&S),insectivore,herbivore (P&S),67,Hemiptera,3,2,297
68,1,Hydrophilidae (Eubrianax),detritivore omnivore,detritivore,omnivore,68,Coleoptera,3,2,304
69,1,Dytiscidae (gen. et sp. indet.),insectivore predator,insectivore,predator,69,Coleoptera,3,2,305
70,1,Tipulidae (gen. et sp. indet.),detritivore herbivore (SFF),detritivore,herbivore (SFF),70,Diptera,3,3,437
71,1,Limoniidae (gen. et sp. indet.),detritivore nonfeeding,detritivore,nonfeeding,71,Diptera,3,3,438
72,1,Chaoboridae (gen. indet. and larva),detritivore parasite,detritivore,parasite,72,Diptera,2,3,439
73,1,Chironomidae (gen. et sp. indet.),detritivore parasite,detritivore,parasite,73,Diptera,2,3,440
74,1,Culicidae (gen. et sp. indet.),detritivore parasite,detritivore,parasite,74,Diptera,3,3,441
75,1,Syrphidae (gen. et sp. indet.),fungivore herbivore (PO),fungivore,herbivore (PO),75,Diptera,3,3,464
76,1,Limnephilidae (gen. et sp. indet.),detritivore herbivore (SFF),detritivore,herbivore (SFF),76,Trichoptera,2,3,500
77,1,Fam. indet. (larval cases),detritivore herbivore (SFF),detritivore,herbivore (SFF),77,Trichoptera,2,3,501
78,1,Lepisosteidae (Atractosteus kinkelini),piscivore ,piscivore,,78,Lepisosteiformes,3,2,558
79,1,Lepisosteidae (Masillosteus kelleri),predator ,predator,,79,Lepisosteiformes,3,2,559
80,1,Amiidae (Cyclurus kehreri),piscivore predator,piscivore,predator,80,Amiiformes,3,2,560
81,1,Thaumaturidae (Thaumaturus intermedius),omnivore predator,omnivore,predator,81,Clupeocephala,3,2,561
82,1,Anguillidae (Anguilla ignota),insectivore ,insectivore,,82,Angulliformes,3,2,562
83,1,Moronidae (Palaeoperca proxima),insectivore ,insectivore,,83,Perciformes,3,2,563
84,1,Moronidae (Rhenanoperca minuta),insectivore ,insectivore,,84,Perciformes,3,2,564
85,1,Percichthyidae (Amphiperca multiformis),piscivore ,piscivore,,85,Perciformes,3,2,565
86,1,Pelobatidae (Eopelobates wagneri),predator ,predator,,86,Anura,3,3,566
87,1,Palaeobatrachidae (Messelobatrachus tobieni),insectivore ,insectivore,,87,Anura,3,3,567
88,1,Fam. indet. (Lutetiobatrachus gracilis),insectivore ,insectivore,,88,Anura,3,3,568
89,1,Xenopidae (gen. et sp. indet.),predator ,predator,,89,Anura,3,2,569
90,1,Salamandridae (Chelotriton robustus),insectivore ,insectivore,,90,Urodela,3,3,570
91,1,Fam. indet. (?Juvemys sp.),piscivore ,piscivore,,91,Testudines,2,2,588
92,1,Fam. indet. (Francellia messeliana),predator ,predator,,92,Testudines,3,2,589
93,1,Fam. indet. (Euroemys kehreri),predator ,predator,,93,Testudines,3,2,590
94,1,Emydidae (Allaeochelys gracilis),omnivore ,omnivore,,94,Testudines,3,2,591
95,1,Carettochelyidae (Allaeochelys crassesculptata),omnivore ,omnivore,,95,Testudines,3,2,592
96,1,Trionychidae ('Trionyx' messelianus),predator ,predator,,96,Testudines,3,2,593
97,1,Leidyosuchidae (Diplocynodon darwini),piscivore ,piscivore,,97,Crocodylia,3,3,594
98,1,Leidyosuchidae (Diplocynodon ebertsi),piscivore ,piscivore,,98,Crocodylia,3,3,595
99,1,Leidyosuchidae (Baryphracta deponiae),predator ,predator,,99,Crocodylia,3,3,596
100,1,Crocodylidae (Asiatosuchus germanicus),predator ,predator,,100,Crocodylia,3,3,597
101,1,Alligatoridae (Allognathosuchus haupti),predator molluscivore,predator,molluscivore,101,Crocodylia,3,3,598
102,1,Pristichampsidae (Pristichampsus rollinati),piscivore ,piscivore,,102,Crocodylia,3,3,599
103,1,Tomastomidae (gen. et sp. indet),piscivore ,piscivore,,103,Crocodylia,3,3,601
104,1,Sulidae (Masillastega rectirostris),piscivore ,piscivore,,104,Pelecaniformes,3,3,606
105,1,Idiornithidae (Idiornis cf. itardiensis),predator ,predator,,105,Gruiformes',3,3,610
106,1,Fam. Indet. (Quasisyndactylus longibrachis),piscivore ,piscivore,,106,Alcediiformes,3,3,641
