SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv_true,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,max_chain_len,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,diameter,mean_path_len,std_path_len,loop,Modularity
1,1,67.0,250.0,3.7313432835820897,0.056535504296698326,0.16666666666666666,0.04477611940298507,0.3090909090909091,0.6363636363636364,0.2545454545454545,4.545454545454546,6.468780243996378,1.3432835820895523,5.0,2.2360880666302636,4.329787234042554,0.5164429441357364,0.23636363636363636,0.45909704798152867,5.0,1.8367052023121386,0.7594533869680467,0.04477611940298507,0.0
10,1,67.0,259.0,3.8656716417910446,0.05857078245137946,0.15151515151515152,0.07462686567164178,0.23214285714285715,0.625,0.19642857142857142,4.625,5.674704637888454,1.328358208955224,5.0,2.299932020303748,4.636363636363637,0.4960637690851221,0.30357142857142855,0.4407119622549739,5.0,1.8284789644012944,0.834641753161682,0.05970149253731343,0.0
100,1,69.0,202.0,2.927536231884058,0.04305200341005968,0.16176470588235295,0.08695652173913043,0.2982456140350877,0.6140350877192983,0.2807017543859649,3.543859649122807,4.1750542145265115,1.3478260869565217,5.0,2.27445633742576,4.777777777777778,0.47604900085655444,0.21052631578947367,0.4338329258129244,5.0,1.8529411764705883,0.87744351427487,0.057971014492753624,0.0
1000,1,67.0,221.0,3.298507462686567,0.04997738579828132,0.15151515151515152,0.04477611940298507,0.30357142857142855,0.6071428571428571,0.32142857142857145,3.9464285714285716,6.895109315125647,1.3880597014925373,5.0,2.3505707437453367,5.454545454545455,0.43093796968664505,0.25,0.46853243352848595,5.0,2.242424242424242,1.0139260214687738,0.07462686567164178,0.0
101,1,68.0,268.0,3.9411764705882355,0.058823529411764705,0.16417910447761194,0.07352941176470588,0.25,0.6071428571428571,0.21428571428571427,4.785714285714286,5.968749787516145,1.3676470588235294,7.0,2.3302018427458995,6.277777777777778,0.3711825944197008,0.30357142857142855,0.5404585398245901,7.0,2.2,1.4176172100453872,0.08823529411764706,0.0
102,1,68.0,193.0,2.838235294117647,0.04236172080772607,0.16417910447761194,0.10294117647058823,0.30357142857142855,0.6428571428571429,0.30357142857142855,3.4464285714285716,3.0979150927806147,1.3088235294117647,6.0,2.268736839610918,5.266666666666667,0.4307728176476427,0.16071428571428573,0.44717569727629003,6.0,2.0043010752688173,1.076784202848069,0.0,0.0
103,1,67.0,208.0,3.1044776119402986,0.04703753957485301,0.16666666666666666,0.19402985074626866,0.21818181818181817,0.6181818181818182,0.2909090909090909,3.7818181818181817,3.8282135331272804,1.2388059701492538,5.0,2.2424024905164375,4.785714285714286,0.46856171443627054,0.18181818181818182,0.30092495099774386,5.0,1.724056603773585,0.8542960862224587,0.029850746268656716,0.0
104,1,65.0,237.0,3.646153846153846,0.056971153846153845,0.15625,0.03076923076923077,0.2962962962962963,0.6111111111111112,0.2777777777777778,4.388888888888889,7.225261415043976,1.476923076923077,6.0,2.319709270962054,4.909090909090909,0.4725333700107888,0.2777777777777778,0.4764817475798737,6.0,2.33837689133425,1.343671671293476,0.06153846153846154,0.0
105,1,67.0,276.0,4.119402985074627,0.06241519674355495,0.16666666666666666,0.08955223880597014,0.23636363636363636,0.6,0.2727272727272727,5.0181818181818185,7.064493662469428,1.164179104477612,4.0,2.145035112538495,4.1,0.5231792957410963,0.21818181818181817,0.3842292559793179,4.0,1.573055028462998,0.6626042946878136,0.029850746268656716,0.0
106,1,67.0,238.0,3.5522388059701493,0.053821800090456805,0.15151515151515152,0.04477611940298507,0.25,0.625,0.26785714285714285,4.25,4.613222104106649,1.3582089552238805,5.0,2.282905585466792,4.457943925233645,0.5120983179139345,0.25,0.4704597909750902,5.0,1.9444444444444444,0.8790890324921095,0.04477611940298507,0.0
107,1,67.0,267.0,3.985074626865672,0.060379918588873815,0.16666666666666666,0.1044776119402985,0.2727272727272727,0.6181818181818182,0.23636363636363636,4.8545454545454545,6.2787654537254065,1.2835820895522387,5.0,2.234888845168477,4.545454545454545,0.49167554593706503,0.2545454545454545,0.3996031204368729,5.0,1.88013698630137,1.0175219528829795,0.04477611940298507,0.0
108,1,64.0,171.0,2.671875,0.04241071428571429,0.15873015873015872,0.203125,0.2641509433962264,0.6226415094339622,0.32075471698113206,3.2264150943396226,2.825988659090167,1.328125,4.0,2.288403358466155,5.020833333333334,0.4557815817691927,0.18867924528301888,0.37486279501444003,4.0,1.8333333333333333,0.8696048014536405,0.0625,0.0
109,1,62.0,183.0,2.9516129032258065,0.04838709677419355,0.14754098360655737,0.14516129032258066,0.3076923076923077,0.6153846153846154,0.3076923076923077,3.519230769230769,4.85269435818254,1.2419354838709677,3.0,2.2448926249869188,4.129032258064516,0.5436849326140194,0.17307692307692307,0.34035191269713466,3.0,1.514792899408284,0.5977853179519614,0.03225806451612903,0.0
