trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,22,1.0,0.0,1.1228070175438596,0.0,1.0,1.1228070175438596,0.0
2,2,Aglaophyton,1,0,10,1.0,0.0,1.5609756097560976,0.0,1.0,1.5609756097560976,0.0
3,3,Rhynia,1,0,8,1.0,0.0,1.6,0.0,1.0,1.6,0.0
4,4,Asteroxylon,1,0,10,1.0,0.0,1.3617021276595744,0.0,1.0,1.3617021276595744,0.0
5,5,Horneophyton,1,0,11,1.0,0.0,1.6842105263157894,0.0,1.0,1.6842105263157894,0.0
6,6,Nothia,1,0,7,1.0,0.0,1.6,0.0,1.0,1.6,0.0
7,7,other land plants,1,0,5,1.0,0.0,2.1333333333333333,0.0,1.0,2.170114942528736,0.0
8,8,other land plants,1,0,6,1.0,0.0,2.206896551724138,0.0,1.0,2.170114942528736,0.0
9,9,lichen,1,0,3,1.0,0.0,2.0,0.0,1.0,2.0,0.0
10,10,terrestrial heterotroph bacteria,1,1,4,2.0,1.0,4.0,64.0,2.0,4.0,64.0
11,11,terrestrial protozoa,1,7,0,3.0,2.0,0.0,3.0476190476190474,3.0,0.0,3.0476190476190474
12,12;13;20;24,terrestrial saprotrophs,4,1,3,2.0,1.0,3.2,64.0,2.0,3.2554647903930203,64.0
14,14,terrestrial saprotrophs,1,1,4,2.0,1.0,3.0476190476190474,64.0,2.0,3.2554647903930203,64.0
15,15,terrestrial saprotrophs,1,1,4,2.0,1.0,3.0476190476190474,64.0,2.0,3.2554647903930203,64.0
16,16,terrestrial saprotrophs,1,1,1,2.0,1.0,4.923076923076923,64.0,2.0,3.2554647903930203,64.0
17,17,terrestrial saprotrophs,1,1,2,2.0,1.0,3.3684210526315788,64.0,2.0,3.2554647903930203,64.0
18,18,terrestrial saprotrophs,1,1,8,2.0,1.0,3.2,64.0,2.0,3.2554647903930203,64.0
19,19,terrestrial saprotrophs,1,1,3,2.0,1.0,3.2,64.0,2.0,3.2554647903930203,64.0
21,21,terrestrial saprotrophs,1,1,3,2.0,1.0,2.909090909090909,64.0,2.0,3.2554647903930203,64.0
22,22,terrestrial saprotrophs,1,1,3,2.0,1.0,2.6666666666666665,64.0,2.0,3.2554647903930203,64.0
23,23,terrestrial saprotrophs,1,1,5,2.0,1.0,3.2,64.0,2.0,3.2554647903930203,64.0
25,25,terrestrial saprotrophs,1,1,2,2.0,1.0,3.0476190476190474,64.0,2.0,3.2554647903930203,64.0
26,26,mycorrhizae: Aglaophyton,1,7,2,2.0,1.0,3.3684210526315788,9.142857142857142,2.0,2.992013366750209,45.714285714285715
27,27,mycorrhizae: Aglaophyton,1,1,2,2.0,1.0,2.56,64.0,2.0,2.992013366750209,45.714285714285715
28,28,mycorrhizae: Aglaophyton,1,1,4,2.0,1.0,3.0476190476190474,64.0,2.0,2.992013366750209,45.714285714285715
29,29,mycorrhizae: Rhynia,1,2,4,2.0,1.0,3.0476190476190474,32.0,2.0,3.123809523809524,26.666666666666664
30,30,mycorrhizae: Rhynia,1,3,3,2.0,1.0,3.2,21.333333333333332,2.0,3.123809523809524,26.666666666666664
31,31,mycorrhizae: Asteroxylon,1,6,3,2.0,1.0,2.6666666666666665,10.666666666666666,2.0,3.0016103059581316,27.936507936507937
32,32,mycorrhizae: Asteroxylon,1,7,2,2.0,1.0,2.782608695652174,9.142857142857142,2.0,3.0016103059581316,27.936507936507937
33,33,mycorrhizae: Asteroxylon,1,1,4,2.0,1.0,3.5555555555555554,64.0,2.0,3.0016103059581316,27.936507936507937
34,34,mycorrhizae: Horneophyton,1,1,3,2.0,1.0,3.2,64.0,2.0,3.635228539576366,45.714285714285715
35,35,mycorrhizae: Horneophyton,1,1,2,2.0,1.0,2.782608695652174,64.0,2.0,3.635228539576366,45.714285714285715
36,36,mycorrhizae: Horneophyton,1,7,1,2.0,1.0,4.923076923076923,9.142857142857142,2.0,3.635228539576366,45.714285714285715
37,37,possible mycorrhizae,1,2,3,2.0,1.0,3.2,32.0,2.0,3.2,32.0
38,38,parasites: Aglaophyton,1,3,4,2.0,1.0,3.5555555555555554,21.333333333333332,2.0,3.5555555555555554,21.333333333333332
39,39,parasites: Asteroxylon,1,8,2,2.0,1.0,7.111111111111111,8.0,2.0,4.325925925925925,29.333333333333332
40,40,parasites: Asteroxylon,1,1,4,2.0,1.0,3.2,64.0,2.0,4.325925925925925,29.333333333333332
