trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,Entomobrya marginata/lanuginosa,Collembola,1,1,9,2.0,1.0
2,Folsomia quadrioculata,Collembola,1,1,10,2.0,1.0
3,Isotomiella minor,Collembola,1,4,9,3.2857142857142856,2.0
4,Lepidocyrtus cyaneus;Lepidocyrtus lanuginosus,Collembola,2,1,9,2.0,1.0
6,Lipothrix (Sphyrotheca) lubbocki,Collembola,1,4,9,2.0,1.0
7,Megalothorax minimus,Collembola,1,5,9,3.125,2.0
8,Mesaphorura sp.;Paratullbergia callipygos;Mesaphorura macrochaeta;Mesaphorura sylvatica,Collembola,4,5,9,3.5882352941176467,2.0
9,Micranurida pygmaea;Trachytes aegrota (juv) {xs},Collembola,2,5,9,3.5882352941176467,2.0
11,Parisotoma notabilis,Collembola,1,4,8,3.2857142857142856,2.0
12,Schendyla nemorensis,Chilopoda,1,24,5,3.9655172413793105,3.0
13,Scolopendrella sp./subnuda {s},Symphyla,1,8,9,2.5,1.0
14,Notiophilus rufipes (juv),Coleoptera,1,14,8,3.96,3.0
15,Athous sp. (juv),Coleoptera,1,1,12,2.0,1.0
16,Atheta sp. (juv),Coleoptera,1,25,17,3.7941176470588234,2.0
17,Linyphiidae (juv),Araneae,1,17,13,3.8375,2.0
18,Phalangiidae (juv),Opiliones,1,17,5,4.0,3.0
19,Lysigamasus vagabundus (ad),Mesostigmata,1,25,13,3.782178217821782,2.0
20,Pergamasinae (juv) {xs},Mesostigmata,1,11,10,3.75,2.0
22,Uropoda minima (ad),Mesostigmata,1,5,6,3.5882352941176467,2.0
23,Veigaia nemorensis (juv),Mesostigmata,1,21,10,3.8,3.0
24,Zercon cf gurensis sp1 (ad),Mesostigmata,1,18,9,3.753846153846154,2.0
25,Zercon sp (juv),Mesostigmata,1,13,9,3.7674418604651163,2.0
26,Lumbricus rubellus (juv) {xl},Lumbricidae,1,3,1,3.25,3.0
27,Campodea sp {m},Diplura,1,24,13,3.6938775510204085,2.0
28,Brachychthoniidae spp.;Micreremus gracilior,Oribatida,2,4,0,2.6,2.0
29,Carabodes labyrinthicus,Oribatida,1,6,0,2.4285714285714284,2.0
30,Chamobates voigtsi;Microtritia minima,Oribatida,2,2,0,3.0,2.0
31,Eniochthonius minutissimus,Oribatida,1,3,0,3.0,2.0
32,Eupelops hirtus;Cepheus cepheiformes;Eupelops torulosus,Oribatida,3,2,2,3.0,2.0
