trophospecies_id,sp_name,guild,n_lumped
1,Ceratophysella denticulata,Collembola,1
2,Folsomia quadrioculata;Folsomia spinosa,Collembola,2
4,Isotomiella minor;Parisotoma notabilis,Collembola,2
5,Lepidocyrtus cyaneus;Lepidocyrtus lanuginosus,Collembola,2
7,Megalothorax minimus,Collembola,1
8,Mesaphorura sp.;Mesaphorura italica,Collembola,2
10,Sminthurinus aureus,Collembola,1
11,Lithobius melanops,Chilopoda,1
12,Lithobius mutabilis,Chilopoda,1
13,Lithobius sp1 {s},Chilopoda,1
14,Lithobius sp2 {s},Chilopoda,1
15,Lithobius sp4,Chilopoda,1
16,Strigamia acuminata,Chilopoda,1
17,Molops elatus,Coleoptera,1
18,Athous haemorrhoidalis (juv);Elateridae sp1 (juv) {l},Coleoptera,2
19,Athous subfuscus (juv) {m},Coleoptera,1
20,Athous sp. (juv),Coleoptera,1
21,Aleocharinae sp1 (juv),Coleoptera,1
22,Eusphalerum sp.,Coleoptera,1
23,Xantholinus sp. (juv),Coleoptera,1
24,Xantholininae sp1 (juv),Coleoptera,1
25,Amaurobius sp (juv),Araneae,1
26,Diplocephalus picinus (ad),Araneae,1
27,Linyphiidae (juv),Araneae,1
28,Microneta viaria (ad),Araneae,1
29,Neobisium sp,Pseudoscorpiones,1
30,Phalangiidae (juv),Opiliones,1
31,Robertus sp (juv) {m},Araneae,1
32,Saloca diceros (ad),Araneae,1
33,Lysigamasus lapponicus (ad),Mesostigmata,1
34,Trachytes aegrota (ad),Mesostigmata,1
35,Trachytes pauperior (juv),Mesostigmata,1
36,Uropoda cassidea (ad),Mesostigmata,1
37,Uropoda cassidea (juv),Mesostigmata,1
38,Uropoda cf splendida (juv),Mesostigmata,1
39,Veigaia exigua (ad),Mesostigmata,1
40,Veigaia nemorensis (juv),Mesostigmata,1
41,Aporrectodea rosea (ad),Lumbricidae,1
42,Aporrectodea rosea (juv),Lumbricidae,1
43,Lumbricus terrestris (ad),Lumbricidae,1
44,Atropacarus striculus,Oribatida,1
45,Brachychthoniidae spp.,Oribatida,1
46,Ceratozetes gracilis,Oribatida,1
47,Eulohmannia ribagai,Oribatida,1
48,Hypochthonius rufulus,Oribatida,1
49,Oribatida juv.,Oribatida,1
50,Tomocerus minor,Collembola,1
51,Nothrus palustris,Oribatida,1
52,Oppiella falcata,Oribatida,1
53,Oppiella subpectinata;Suctobelbella spp.,Oribatida,2
54,Protaphorura sp.;Protaphorura quadriocellata,Collembola,2
56,Steganacarus magnus,Oribatida,1
57,Tectocepheus velatus sarekensis,Oribatida,1
58,Allaiulus nitidus {xl};Polydesmus denticulatus;Porcellio conspersum,Diplopoda,3
59,plants,Basal,1
60,roots,Basal,1
61,root exudates,Basal,1
62,mykorrhiza,Basal,1
63,saphrophytes,Basal,1
64,bacterivor nematodes,Basal,1
65,fungivor nematodes,Basal,1
66,root feeding nematodes,Basal,1
67,predatious nematodes,Basal,1
68,omniv. Nematodes,Basal,1
69,bacteria,Basal,1
70,flagelata;ciliata;amoeba,Basal,3
73,algae,Basal,1
74,enchitraeidae,Basal,1
75,dead organic matter detritus,Basal detritus,1
76,litter detritus,Basal detritus,1
77,Julidae spec,Diplopoda,1
78,Steganacarus herculeanus;Phthiracarus italicus,Oribatida,2
79,Lithobius calcaratus,Chilopoda,1
80,Lithobius calcaratus juv,Chilopoda,1
82,Quadroppia hammerae,Oribatida,1
85,Lysigamasus truncellus (ad),Mesostigmata,1
87,Scutigerella immaculata {m};Scolopendrella sp./subnuda {m},Symphyla,2
90,Pergamasinae (juv) {s},Mesostigmata,1
91,Trachytes aegrota (juv) {s},Mesostigmata,1
92,Campodea sp {l},Diplura,1
93,Trichoniscus pusillus {m},Isopoda,1
94,Linyphiidae cf Erigoniinae (juv) {m},Araneae,1
95,Lithobius aeruginosus {m},Chilopoda,1
96,Monachoides incarnatus,Gastropoda,1
97,Aegopinella nitens;Aegopinella nitens juv,Gastropoda,2
99,Discus rotundatus juv,Gastropoda,1
100,Trichia striolata,Gastropoda,1
101,Limax cinereoniger,Gastropoda,1
102,Staphylinidae spec,Coleoptera,1
103,Elateridae spec;Otioryhnchinae spec,Coleoptera,2
104,Coleoptera spec,Coleoptera,1
106,Nitidulidae spec,Coleoptera,1
107,Abax spec,Coleoptera,1
108,Molops piceus,Coleoptera,1
109,Trichoniscus spec,Isopoda,1
111,Glomeris spec,Diplopoda,1
112,Chilopoda spec,Chilopoda,1
113,Agelenidae spec juv,Araneae,1
114,Harpactea lepida (juv),Araneae,1
115,Harpactea lepida (ad),Araneae,1
116,Euophrys frontalis,Araneae,1
117,Tenuiphantes mengei,Araneae,1
118,Theridiidae juv spec,Araneae,1
119,Salticidae spec juv,Araneae,1
120,Eurocoelotes inermis,Araneae,1
