trophospecies_id,sp_name,guild,n_lumped
1,Ceratophysella denticulata,Collembola,1
2,Deuteraphorura inermis,Collembola,1
3,Folsomia quadrioculata,Collembola,1
4,Isotomiella minor,Collembola,1
5,Lipothrix (Sphyrotheca) lubbocki,Collembola,1
6,Megalothorax minimus,Collembola,1
7,Mesaphorura sp.;Mesaphorura macrochaeta,Collembola,2
8,Micraphorura absoloni;Protaphorura armata,Collembola,2
9,Parisotoma notabilis;Ceratophysella succinea,Collembola,2
11,Schendyla nemorensis,Chilopoda,1
12,Tropiphorus sp.;Brachyderinae spec,Coleoptera,2
13,Curculionidae (juv),Coleoptera,1
14,Agriotes aterrimus (juv),Coleoptera,1
15,Athous subfuscus (juv) {m},Coleoptera,1
16,Athous sp. (juv),Coleoptera,1
17,Atheta sp.,Coleoptera,1
18,Atheta sp. (juv),Coleoptera,1
19,Geostiba circellaris,Coleoptera,1
20,Othius sp. (juv),Coleoptera,1
21,Oxypoda annularis,Coleoptera,1
22,Xantholininae sp1 (juv),Coleoptera,1
23,Gnaphosidae (juv),Araneae,1
24,Linyphiidae (juv),Araneae,1
25,Microneta viaria (ad),Araneae,1
26,Neobisium carcinoides (ad),Pseudoscorpiones,1
27,Neobisium sp,Pseudoscorpiones,1
28,Tapinocyba insecta (ad),Araneae,1
29,Lysigamasus cf conus(ad),Mesostigmata,1
30,Macrocheles dentatus (ad),Mesostigmata,1
31,Trachytes aegrota (ad),Mesostigmata,1
32,Trachytes aegrota (juv) {xs},Mesostigmata,1
33,Uropoda minima (ad),Mesostigmata,1
34,Uropoda minima (juv),Mesostigmata,1
35,Veigaia nemorensis (juv),Mesostigmata,1
36,Achipteria coleoptrata,Oribatida,1
37,Berniniella bicarinata;Oppiella nova;Suctobelbella spp.,Oribatida,3
38,Brachychthoniidae spp.,Oribatida,1
39,Chamobates voigtsi,Oribatida,1
40,Oribatida juv.,Oribatida,1
41,Microppia minus,Oribatida,1
42,Nanhermannia nana,Oribatida,1
43,Nothrus silvestris,Oribatida,1
45,Phthiracarus longulus;Rhysotritia duplicata,Oribatida,2
46,Steganacarus magnus;Chamobates subglobulus,Oribatida,2
47,Tectocepheus velatus alatus,Oribatida,1
49,Tachypodoiulus niger,Diplopoda,1
50,plants,Basal,1
51,roots,Basal,1
52,root exudates,Basal,1
53,mykorrhiza,Basal,1
54,saphrophytes,Basal,1
55,bacterivor nematodes,Basal,1
56,fungivor nematodes,Basal,1
57,root feeding nematodes,Basal,1
58,predatious nematodes,Basal,1
59,omniv. Nematodes,Basal,1
60,bacteria,Basal,1
61,flagelata;ciliata;amoeba,Basal,3
64,algae,Basal,1
65,enchitraeidae,Basal,1
66,dead organic matter detritus,Basal detritus,1
67,Lasioseius lawrencei (ad),Mesostigmata,1
68,Leioseius elongatus (ad),Mesostigmata,1
69,Lysigamasus runcatellus (ad),Mesostigmata,1
70,litter detritus,Basal detritus,1
71,Urodiaspis shcherbakae (ad),Mesostigmata,1
72,Maro minutus (ad),Araneae,1
73,Julidae spec,Diplopoda,1
75,Mesaphorura jarmiliae,Collembola,1
77,Agonum sexpunctatum (juv),Coleoptera,1
78,Agonum spec. (juv),Coleoptera,1
79,Liodidae,Coleoptera,1
80,Leucoparyphus sp. (juv),Coleoptera,1
83,Scolopendrella sp./subnuda {m},Symphyla,1
84,Elateridae sp1 (juv) {l},Coleoptera,1
85,Pergamasinae (juv) {s},Mesostigmata,1
86,Lumbricus rubellus (ad) {xxl};Lumbricus rubellus (juv) {xxl},Lumbricidae,2
88,Linyphiidae cf Erigoniinae (juv) {m},Araneae,1
89,Xantholinus sp. (juv),Coleoptera,1
90,Nesovitrea hammonis,Gastropoda,1
91,Nesovitrea hammonis juv,Gastropoda,1
92,Staphylinidae spec,Coleoptera,1
94,Molops piceus,Coleoptera,1
95,Chrysomelidae spec juv,Coleoptera,1
96,Chilopoda spec,Chilopoda,1
97,Apostenus fuscus,Araneae,1
98,Lycosidae spec juv,Araneae,1
99,Dictynidae spec juv,Araneae,1
100,Xysticus erraticus,Araneae,1
101,Zora spinimana,Araneae,1
