"consumer","resource","priority.level"
3,1,2
3,3,1
3,4,1
3,5,1
3,11,1
4,1,2
4,2,1
4,11,1
5,1,1
5,2,2
6,3,2
6,4,2
6,11,1
7,1,2
7,3,1
7,4,1
7,11,1
8,2,1
8,3,1
8,4,1
8,5,1
8,11,1
9,5,1
9,6,1
9,8,1
9,9,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
