SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
1,1,64.0,161.0,2.515625,0.03993055555555555,0.1746031746031746,0.25,0.6730769230769231,0.23076923076923078,3.0961538461538463,3.3446452104386815,1.15625,2.1771346681561035,4.8,0.4535697225325216,0.21153846153846154,0.5830410271140392,1.7275641025641026,0.8330838937422188,0.0
10,1,64.0,216.0,3.375,0.05357142857142857,0.1746031746031746,0.0,0.6923076923076923,0.23076923076923078,4.153846153846154,7.33614370939439,1.109375,2.175694187378543,4.25,0.5119280440890689,0.23076923076923078,0.5057455239608432,1.736842105263158,0.6046153308155314,0.0
100,1,64.0,209.0,3.265625,0.051835317460317464,0.1746031746031746,0.0625,0.6923076923076923,0.2692307692307692,4.019230769230769,5.592328024178757,1.1875,2.2130287002399776,4.517857142857142,0.4898403447171492,0.21153846153846154,0.5391713695097747,1.6282973621103118,0.6782792338377496,0.0
1000,1,64.0,218.0,3.40625,0.05406746031746032,0.1746031746031746,0.078125,0.6730769230769231,0.28846153846153844,4.1923076923076925,4.946927989259604,1.25,2.2893849057846647,5.75,0.39815389665820256,0.17307692307692307,0.40424667134030506,1.9659735349716445,1.0144668733758946,0.0
101,1,64.0,212.0,3.3125,0.05257936507936508,0.1746031746031746,0.125,0.6730769230769231,0.25,4.076923076923077,5.083021156005373,1.1875,2.2141583584581466,4.833333333333334,0.4581017293361682,0.23076923076923078,0.48112479558667404,1.8564356435643565,0.7391193117544882,0.0
102,1,64.0,232.0,3.625,0.057539682539682536,0.1746031746031746,0.015625,0.7115384615384616,0.23076923076923078,4.461538461538462,6.625741655746003,1.296875,2.240991807968601,4.909090909090909,0.45649833125286315,0.21153846153846154,0.47707404898196654,2.1384217335058215,0.9191323308422911,0.0
103,1,64.0,200.0,3.125,0.0496031746031746,0.1746031746031746,0.03125,0.6730769230769231,0.23076923076923078,3.8461538461538463,5.795145417264335,1.1875,2.184161811942143,4.75,0.4598235393562406,0.23076923076923078,0.4449826943419301,1.8606701940035273,0.7589198029837645,0.0
104,1,64.0,240.0,3.75,0.05952380952380952,0.1746031746031746,0.046875,0.6730769230769231,0.25,4.615384615384615,6.666138742294777,1.171875,2.1653270210124784,4.166666666666666,0.5196784850429949,0.19230769230769232,0.4810256226922129,1.759170653907496,0.6743056643523668,0.0
105,1,64.0,262.0,4.09375,0.06498015873015874,0.1746031746031746,0.03125,0.6730769230769231,0.21153846153846154,5.038461538461538,9.449476670770338,1.265625,2.256807973215116,5.181818181818182,0.43552434570818027,0.2692307692307692,0.5051811551503504,2.149441340782123,1.112553779032545,0.0
106,1,64.0,189.0,2.953125,0.046875,0.1746031746031746,0.09375,0.6730769230769231,0.28846153846153844,3.6346153846153846,5.102974319746668,1.25,2.1898792220376526,4.75,0.4610272046395058,0.15384615384615385,0.34550261659354986,1.7040229885057472,0.8829384523901984,0.0
107,1,64.0,146.0,2.28125,0.036210317460317464,0.1746031746031746,0.203125,0.6923076923076923,0.2692307692307692,2.8076923076923075,2.856286232282049,1.203125,2.195630469067969,5.0,0.4391260938135938,0.09615384615384616,0.5818358898544587,1.7889273356401385,0.9684691662368797,0.0
108,1,64.0,213.0,3.328125,0.05282738095238095,0.1746031746031746,0.125,0.6730769230769231,0.25,4.096153846153846,5.130682847893757,1.21875,2.2143993377265434,4.944444444444445,0.4478560458323346,0.19230769230769232,0.4973323342989894,1.8490990990990992,0.9417452215923177,0.0
