"consumer","resource","priority.level"
3,1,2
3,3,1
3,4,1
3,5,1
3,13,1
4,1,2
4,2,1
4,13,1
5,2,2
5,3,1
5,4,1
5,13,1
6,3,2
6,4,2
6,13,1
7,1,2
7,3,1
7,4,1
7,13,1
8,2,1
8,3,1
8,4,1
8,5,1
8,13,1
9,5,1
9,6,1
9,8,1
9,9,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
12,11,2
12,12,1
12,13,1
12,15,1
12,16,1
15,11,2
15,13,1
15,14,1
16,12,1
16,13,1
16,14,1
16,15,1
17,13,1
18,11,1
18,12,2
18,13,2
18,15,1
19,11,1
19,12,1
19,13,1
19,14,1
19,15,1
19,16,1
19,17,1
19,18,1
19,19,1
20,12,1
20,16,1
20,17,1
20,18,1
20,19,1
