number,group,family,species,animal
111,Coleoptera,Elateridae,Athous haemorrhoidalis (juv),1
112,Coleoptera,Elateridae,Athous mollis (juv),1
113,Coleoptera,Elateridae,Athous subfuscus (juv) {m},1
114,Coleoptera,Elateridae,Athous subfuscus,1
115,Coleoptera,Elateridae,Athous vittatus (juv),1
116,Coleoptera,Elateridae,Athous zebei (juv) {s},1
117,Coleoptera,Elateridae,Athous sp. (juv),1
118,Coleoptera,Elateridae,Dalopius marginatus (juv) {m},1
119,Coleoptera,Elateridae,Elateridae sp1 (juv) {m},1
120,Coleoptera,Histeridae,Histeridae sp1,1
121,Coleoptera,Lampyridae,Lamprohiza splendidula (juv),1
122,Coleoptera,Liodidae,Liodidae sp1,1
123,Coleoptera,Pselaphidae,Bythinus acutangulus,1
124,Coleoptera,Pselaphidae,Plectophoreus fischeri,1
125,Coleoptera,Pselaphidae,Trimium brevicorne,1
126,Coleoptera,Ptilidae,Acrotrichis sp.,1
127,NA,NA,NA,0
128,Coleoptera,Scydmanidae,Scydmaenidae sp0 {m},1
129,Coleoptera,Scydmanidae,Scydmaenidae sp2,1
130,Coleoptera,Stapylinidae,Aleocharinae sp1 (juv),1
131,Coleoptera,Stapylinidae,Aleocharinae sp2,1
132,Coleoptera,Stapylinidae,Acrotona sylvicola,1
133,Coleoptera,Stapylinidae,Atheta fungi,1
134,Coleoptera,Stapylinidae,Atheta myrmecobia,1
135,Coleoptera,Stapylinidae,Atheta sp.,1
136,Coleoptera,Stapylinidae,Atheta sp. (juv),1
137,Coleoptera,Stapylinidae,Domene scabricollis,1
138,NA,NA,NA,0
139,Coleoptera,Stapylinidae,Eusphalerum sp.,1
140,Coleoptera,Stapylinidae,Geostiba circellaris,1
141,Coleoptera,Stapylinidae,Gyrohypnus sp. (juv),1
142,Coleoptera,Stapylinidae,Habrocerus capillaricornis,1
143,Coleoptera,Stapylinidae,Heterothops sp. (juv),1
144,NA,NA,NA,0
145,NA,NA,NA,0
146,Coleoptera,Stapylinidae,Liogluta longiuscula,1
147,Coleoptera,Stapylinidae,Neobisius villosulus,1
148,Coleoptera,Stapylinidae,Othius punctulatus,1
149,Coleoptera,Stapylinidae,Othius subuliformis,1
150,Coleoptera,Stapylinidae,Othius sp. (juv),1
151,Coleoptera,Stapylinidae,Oxypoda annularis,1
152,Coleoptera,Stapylinidae,Oxytelus sp. (juv),1
153,Coleoptera,Stapylinidae,Philonthus sp.,1
154,Coleoptera,Stapylinidae,Quedius sp. (juv),1
155,Coleoptera,Stapylinidae,Stenus fuscicornis,1
156,Coleoptera,Stapylinidae,Stilicus sp. (juv),1
