sp_name,guild,family,sp_id
Pergamasus septentrionalis (ad),Mesostigmata,Pergamasinae,661
Zercon cf romagniolus (ad),Mesostigmata,Zerconidae,667
Zercon cf triangularis (ad),Mesostigmata,Zerconidae,668
Lepidocyrtus lignorum,Collembola,Entomobryidae,688
Mesaphorura macrochaeta,Collembola,Tullbergiidae,691
Neanura muscorum,Collembola,Neanuridae,696
Scutigerella immaculata {m},Symphyla,Scutigerellidae,718
Athous subfuscus (juv) {l},Coleoptera,Elateridae,720
Dalopius marginatus (juv) {l},Coleoptera,Elateridae,723
Elateridae sp1 (juv) {l},Coleoptera,Elateridae,724
Trachytes aegrota (juv) {s},Mesostigmata,Trachytidae,737
Trachytes pauperior (ad) {s},Mesostigmata,Trachytidae,738
Lumbricus terrestris (juv) {xxl},Lumbricidae,Lumbricidae,745
Trichoniscus pusillus {m},Isopoda,Trichoniscidae,750
Linyphiidae cf Erigoniinae (juv) {m},Araneae,Linyphiidae,759
Lithobius aeruginosus {l},Chilopoda,Lithobiidae,764
Xantholinus sp. (juv),Coleoptera,Stapylinidae,770
Aegopinella nitens,Gastropoda,Oxychilidae,809
Aegopinella nitens juv,Gastropoda,Oxychilidae,810
Discus rotundatus juv,Gastropoda,Patulidae,812
Nesovitrea hammonis,Gastropoda,Oxychilidae,813
Larve spec,Coleoptera,Larve spec,857
Staphylinidae spec,Coleoptera,Stapylinidae,858
Elateridae spec,Coleoptera,Elateridae,861
Carabidae spec,Coleoptera,Carabidae,875
Anthicus floralis,Coleoptera,Anthicidae,883
Harpalinae spec,Coleoptera,Carabidae,884
Trichoniscus spec,Isopoda,Trichoniscidae,911
Agelenidae spec juv,Araneae,Agelenidae,932
Euophrys frontalis,Araneae,Salticidae,936
Theridiidae juv spec,Araneae,Theridiidae,942
Porrhomma microphthalmum,Araneae,Linyphiidae,944
Ero furcata,Araneae,Mimetidae,945
