sp_name,guild,family,sp_id,web_id,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
Allacma fusca,Collembola,Sminthuridae,1,AEW1,3,17,2.0,1.0,1.9047619047619047,40.0,2.9783589572192515,1.895024180316621,33.465811965811966
Ceratophysella denticulata,Collembola,Hypogastruridae,4,AEW1,5,14,3.666666666666667,2.0,1.7647058823529411,13.333333333333334,2.9783589572192515,1.895024180316621,33.465811965811966
Folsomia quadrioculata,Collembola,Isotomidae,14,AEW1,1,14,2.0,1.0,1.7142857142857142,120.0,2.9783589572192515,1.895024180316621,33.465811965811966
Folsomia spinosa,Collembola,Isotomidae,15,AEW1,1,14,2.0,1.0,1.7142857142857142,120.0,2.9783589572192515,1.895024180316621,33.465811965811966
Isotomiella minor,Collembola,Isotomidae,22,AEW1,6,12,3.5454545454545454,2.0,1.6666666666666667,10.0,2.9783589572192515,1.895024180316621,33.465811965811966
Megalothorax minimus,Collembola,Neelidae,27,AEW1,7,21,3.416666666666667,2.0,2.0338983050847457,9.23076923076923,2.9783589572192515,1.895024180316621,33.465811965811966
Mesaphorura sp.,Collembola,Tullbergiidae,28,AEW1,5,21,3.5882352941176467,2.0,2.0338983050847457,4.444444444444445,2.9783589572192515,1.895024180316621,33.465811965811966
Parisotoma notabilis,Collembola,Isotomidae,40,AEW1,6,12,3.5454545454545454,2.0,1.6666666666666667,10.0,2.9783589572192515,1.895024180316621,33.465811965811966
Proisotoma minima,Collembola,Isotomidae,41,AEW1,6,22,3.5454545454545454,2.0,2.142857142857143,10.0,2.9783589572192515,1.895024180316621,33.465811965811966
Protaphorura armata,Collembola,Onychiuridae,42,AEW1,4,8,2.8333333333333335,2.0,1.6666666666666667,12.0,2.9783589572192515,1.895024180316621,33.465811965811966
Lithobius sp4,Chilopoda,Lithobiidae,73,AEW1,63,10,3.892361111111111,3.0,1.935483870967742,0.6936416184971098,3.8900634635259896,2.316532381216983,0.6959462101591222
Geophilus ribauti,Chilopoda,Geophilidae,74,AEW1,60,6,3.8864468864468864,3.0,1.7647058823529411,0.6818181818181818,3.8900634635259896,2.316532381216983,0.6959462101591222
Schendyla nemorensis,Chilopoda,Schendylidae,77,AEW1,56,4,3.8984375,3.0,1.1214953271028036,0.6629834254143646,3.8900634635259896,2.316532381216983,0.6959462101591222
Malthodes sp. (juv),Coleoptera,Cantharidae,82,AEW1,38,11,3.9230769230769234,3.0,2.727272727272727,0.6,3.2742934674819764,3.2208456473695004,36.74570642146817
Pterostichus strenuus,Coleoptera,Carabidae,98,AEW1,39,4,3.912621359223301,3.0,1.3953488372093024,0.6060606060606061,3.2742934674819764,3.2208456473695004,36.74570642146817
Nargus anisotomoides,Coleoptera,Catopidae,101,AEW1,3,21,2.75,2.0,3.4285714285714284,17.142857142857142,3.2742934674819764,3.2208456473695004,36.74570642146817
Athous zebei (juv) {s},Coleoptera,Elateridae,116,AEW1,1,29,2.0,1.0,4.137931034482759,120.0,3.2742934674819764,3.2208456473695004,36.74570642146817
Dalopius marginatus (juv) {m},Coleoptera,Elateridae,118,AEW1,1,30,2.0,1.0,3.75,120.0,3.2742934674819764,3.2208456473695004,36.74570642146817
Elateridae sp1 (juv) {m},Coleoptera,Elateridae,119,AEW1,1,30,2.0,1.0,4.0,120.0,3.2742934674819764,3.2208456473695004,36.74570642146817
Atheta fungi,Coleoptera,Stapylinidae,133,AEW1,34,27,3.8867924528301887,5.0,4.285714285714286,0.5504587155963303,3.2742934674819764,3.2208456473695004,36.74570642146817
Atheta sp.,Coleoptera,Stapylinidae,135,AEW1,36,25,3.871345029239766,5.0,4.0,0.5555555555555556,3.2742934674819764,3.2208456473695004,36.74570642146817
Gyrohypnus sp. (juv),Coleoptera,Stapylinidae,141,AEW1,42,16,3.901477832512315,5.0,3.076923076923077,0.5714285714285714,3.2742934674819764,3.2208456473695004,36.74570642146817
Othius sp. (juv),Coleoptera,Stapylinidae,150,AEW1,42,12,3.909090909090909,5.0,2.7906976744186047,0.5714285714285714,3.2742934674819764,3.2208456473695004,36.74570642146817
Xantholinus sp. (juv),Coleoptera,Stapylinidae,160,AEW1,40,20,3.8936170212765955,5.0,3.4285714285714284,0.5660377358490566,3.2742934674819764,3.2208456473695004,36.74570642146817
Xantholininae sp1 (juv),Coleoptera,Stapylinidae,161,AEW1,46,21,3.868544600938967,5.0,3.5294117647058822,0.5825242718446602,3.2742934674819764,3.2208456473695004,36.74570642146817
Amaurobius sp (juv),Araneae,Amaurobiidae,164,AEW1,37,5,3.9109947643979055,3.0,1.411764705882353,0.6,3.91156616627732,3.305295920765781,0.824412569560107
Linyphiidae (juv),Araneae,Linyphiidae,178,AEW1,33,28,3.880281690140845,2.0,4.285714285714286,1.4457831325301205,3.91156616627732,3.305295920765781,0.824412569560107
Micrargus herbigradus (ad),Araneae,Linyphiidae,179,AEW1,36,14,3.928176795580111,5.0,3.0,0.5504587155963303,3.91156616627732,3.305295920765781,0.824412569560107
