sp_name,guild,family,sp_id,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
Arrhopalites pygmaeus,Collembola,Arrhopalitidae,2,3,13,2.0,1.0
Ceratophysella denticulata,Collembola,Hypogastruridae,4,5,14,3.666666666666667,2.0
Desoria violacea,Collembola,Isotomidae,7,3,12,2.0,1.0
Deuteraphorura inermis,Collembola,Onychiuridae,8,3,9,2.75,2.0
Deuterosminthurus pallipes,Collembola,Bourletiellidae,10,4,13,2.0,1.0
Folsomia quadrioculata,Collembola,Isotomidae,14,1,14,2.0,1.0
Isotomiella minor,Collembola,Isotomidae,22,6,15,3.5454545454545454,2.0
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25,1,12,2.0,1.0
Megalothorax minimus,Collembola,Neelidae,27,7,15,3.416666666666667,2.0
Mesaphorura sp.,Collembola,Tullbergiidae,28,5,15,3.5882352941176467,2.0
Paratullbergia callipygos,Collembola,Tullbergiidae,38,5,15,3.5882352941176467,2.0
Parisotoma notabilis,Collembola,Isotomidae,40,6,15,3.5454545454545454,2.0
Protaphorura armata,Collembola,Onychiuridae,42,4,9,2.8333333333333335,2.0
Lithobius crassipes,Chilopoda,Lithobiidae,58,56,17,4.02536231884058,3.0
Lithobius cf. crassipes juv,Chilopoda,Lithobiidae,59,66,25,4.027692307692307,5.0
Lithobius dentatus,Chilopoda,Lithobiidae,67,48,8,4.036290322580645,3.0
Lithobius sp1 {s},Chilopoda,Lithobiidae,70,58,16,3.8634538152610443,2.0
Lithobius sp4,Chilopoda,Lithobiidae,73,57,16,4.024561403508772,3.0
Geophilus ribauti,Chilopoda,Geophilidae,74,54,13,4.025830258302583,3.0
Geophilus insculptus,Chilopoda,Geophilidae,75,46,9,4.038135593220339,3.0
Strigamia acuminata,Chilopoda,Dignathodontidae,79,58,5,3.975352112676056,3.0
Scutigerella immaculata {xs},Symphyla,Scutigerellidae,80,8,14,2.5,1.0
Nargus anisotomoides,Coleoptera,Catopidae,101,3,25,2.75,2.0
Geostiba circellaris,Coleoptera,Stapylinidae,140,33,27,3.9829545454545454,6.0
Staphylinidae sp1 (juv),Coleoptera,Stapylinidae,162,48,12,4.0,3.0
Amaurobius sp (juv),Araneae,Amaurobiidae,164,31,11,4.121546961325967,3.0
Diplocephalus picinus (ad),Araneae,Linyphiidae,172,23,23,4.032786885245901,7.0
