sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,animal,original_sp_id
Ephedraceae (Ephedripites eocenipites),autotroph ,autotroph,,67,Gnetales,3,1,0,68
Nympheaceae (Monocolpopollenites crassiexinus),autotroph ,autotroph,,68,Nympheales,3,2,0,69
Araceae (sp. indet. 1),autotroph ,autotroph,,69,Alismatales,3,1,0,70
Hydrocharitaceae (Punctilongisulcites microechinatus),autotroph ,autotroph,,70,Alismatales,3,2,0,71
Araceae (sp. indet. 2),autotroph ,autotroph,,71,Alismatales,3,1,0,72
Araceae (sp. indet. 3),autotroph ,autotroph,,72,Alismatales,3,1,0,73
Smilacaceae (cf. Smilax sp.),autotroph ,autotroph,,73,Liliales,3,1,0,74
Pandanaceae (gen. et sp. indet.),autotroph ,autotroph,,74,Pandanales,3,1,0,75
Arecaceae (Monocolpopollenites tranquillus),autotroph ,autotroph,,75,Arecales,3,1,0,76
Arecaceae (Phoenicites sp.),autotroph ,autotroph,,76,Arecales,3,1,0,77
Arecaceae (cf. Arecoideae: flower type A),autotroph ,autotroph,,77,Arecales,3,1,0,78
Arecaceae (cf. Lepidocaryoideae: pinnate leaf),autotroph ,autotroph,,78,Arecales,3,1,0,79
Arecaceae (flower type B),autotroph ,autotroph,,79,Arecales,3,1,0,80
Arecaceae (Sabalitides sp.),autotroph ,autotroph,,80,Arecales,3,1,0,81
Cyclanthaceae (gen. et sp. indet.),autotroph ,autotroph,,81,Arecales,3,1,0,82
Typhaceae (gen. et sp. indet.),autotroph ,autotroph,,82,Typhales,3,3,0,83
Sparaganiaceae (Sparganiaceaepollenites sp. 1),autotroph ,autotroph,,83,Typhales,3,3,0,84
Sparaganiaceae (Sparganiaceaepollenites sp. 2),autotroph ,autotroph,,84,Typhales,3,3,0,85
Cyperaceae (Caricoidea sp.),autotroph ,autotroph,,85,Juncales,3,1,0,86
Cyperaceae (gen. et sp. indet.),autotroph ,autotroph,,86,Juncales,2,1,0,87
Restoniaceae (Milfordia hungarica),autotroph ,autotroph,,87,Poales,3,1,0,88
Restoniaceae (Milfordia incerta),autotroph ,autotroph,,88,Poales,3,1,0,89
Zingiberaceae (gen. et sp. indet.),autotroph ,autotroph,,89,Zingiberales,3,3,0,90
Magnoliaceae (sp. indet. 1),autotroph ,autotroph,,90,Magnoliales,3,1,0,91
Magnoliaceae (sp. indet. 2),autotroph ,autotroph,,91,Magnoliales,3,1,0,92
Annonaceae (gen. et sp. indet.),autotroph ,autotroph,,92,Magnoliales,3,1,0,93
Chloranthaceae (Emmapollis pseudoemmaensis),autotroph ,autotroph,,93,Laurales,3,1,0,94
Lauraceae (cf. Laurophyllum lanigeroides†),autotroph ,autotroph,,94,Laurales,3,1,0,95
Lauraceae (cf. Daphnogene†),autotroph ,autotroph,,95,Laurales,3,1,0,96
Lauraceae (gen. et sp. indet),autotroph ,autotroph,,96,Laurales,3,1,0,97
Illiciaceae (gen. et sp. indet.),autotroph ,autotroph,,97,Illiciales,3,1,0,98
Menispermaceae (Tinospora sp.),autotroph ,autotroph,,98,Ranunculales,3,1,0,99
Menispermaceae (gen. et sp. indet.),autotroph ,autotroph,,99,Ranunculales,3,1,0,100
Berberidaceae (gen et sp. indet.),autotroph ,autotroph,,100,Ranunculales,3,1,0,101
Sargentodoxaceae (cf. Sargentodoxa sp.),autotroph ,autotroph,,101,Ranunculales,3,1,0,102
Eucommiaceae ( Eucommia and Tricolpopollenites parmularius ),autotroph ,autotroph,,102,Eucommiales,3,1,0,103
Buxaceae (gen et sp. indet).,autotroph ,autotroph,,103,Proteales',3,1,0,104
Platanaceae (cf. Platanus),autotroph ,autotroph,,104,Proteales,3,1,0,105
Vitaceae† gen. et sp. indet.,autotroph ,autotroph,,105,Vitales,3,1,0,106
Vitaceae (Vitis sp. and ?Tricolporopollenites marcodurensis),autotroph ,autotroph,,106,Vitales,3,1,0,107
Vitaceae Tetrastigma sp.),autotroph ,autotroph,,107,Vitales,3,1,0,108
Vitaceae (Cissus sp.),autotroph ,autotroph,,108,Vitales,3,1,0,109
Vitaceae (Ampelopsis sp.),autotroph ,autotroph,,109,Vitales,3,1,0,110
Rhamnaceae (Tricolporopollenites sp.),autotroph ,autotroph,,110,Vitales,3,1,0,111
Nyctaginaceae (gen. et sp. indet.),autotroph ,autotroph,,111,Caryophyllales,3,1,0,112
Cercidiphyllaceae (Cercidiphyllum sp.),autotroph ,autotroph,,112,Saxifragales,3,1,0,113
Hamamelidaceae (Compositioipollenites rhizophorus),autotroph ,autotroph,,113,Saxifragales,3,1,0,114
?Hamamelidaceae (Labrapollis labraferus),autotroph ,autotroph,,114,Saxifragales,3,1,0,115
Olacaceae (Olaxipollis matthesii ),autotroph ,autotroph,,115,Santalales,3,1,0,116
Loranthaceae (Gothanipollis gothanii),epiphyte ,epiphyte,,116,Santalales,3,1,0,117
Staphyleaceae (Tapiscia sp.),autotroph ,autotroph,,117,Geraniales,3,1,0,118
Icacinaceae (Stemonurus sp.),autotroph ,autotroph,,118,Celastrales,3,1,0,119
Icacinaceae (Compositoipollenites rhizophorus),autotroph ,autotroph,,119,Celastrales,3,1,0,120
Icacinaceae (Compositopollenites minimus),autotroph ,autotroph,,120,Celastrales,3,1,0,121
Malpighiaceae (Tetrapteris sp.),autotroph ,autotroph,,121,Malpighiales,3,1,0,122
Salicaceae (Salix and Tricolpopollenties retiformis),autotroph ,autotroph,,122,Malpighiales,3,1,0,123
Euphorbiaceae (Spinaepollis spinosus),autotroph ,autotroph,,123,Malpighiales,3,1,0,124
Fabaceae (sp. indet. 1),myxotroph ,myxotroph,,124,Fabales,3,1,0,125
Fabaceae (sp. indet. 2),myxotroph ,myxotroph,,125,Fabales,3,1,0,126
Rosaceae (sp. indet. 1),autotroph ,autotroph,,126,Rosales,3,1,0,127
Rosaceae (sp. indet. 2),autotroph ,autotroph,,127,Rosales,3,1,0,128
Rosaceae (cf. Rosa or Rubus),autotroph ,autotroph,,128,Rosales,3,1,0,129
Moraceae (Ficus sp.),autotroph ,autotroph,,129,Rosales,3,1,0,130
Celtidiaceae (Celtipollenites intrastructurus),autotroph ,autotroph,,130,Rosales,3,1,0,131
Celtidiaceae (Celtipollenites laevigatus),autotroph ,autotroph,,131,Rosales,3,1,0,132
Ulmaceae (Polyporopollenites undulosus),autotroph ,autotroph,,132,Rosales,3,1,0,133
Ulmaceae (Polyporopollenites verrucatus),autotroph ,autotroph,,133,Rosales,3,1,0,134
Ulmaceae (Ulmus sp. and ?Polyporopollenites eoulmoides),autotroph ,autotroph,,134,Rosales,3,1,0,135
Ulmaceae (Zelkova sp.),autotroph ,autotroph,,135,Rosales,3,1,0,136
Myricaceae (Comptonia sp. and Triatriopollenites excelsus),myxotroph ,myxotroph,,136,Fagales,3,1,0,137
Myricaceae (Triatriopollenites rurensis),myxotroph ,myxotroph,,137,Fagales,3,1,0,138
Myricaceae (Triatriopollenites bituitus),myxotroph ,myxotroph,,138,Fagales,3,1,0,139
Betulaceae (Alnipollenites verus ),myxotroph ,myxotroph,,139,Fagales,3,1,0,140
Betulaceae (Trivestibulopollenites betuloides ),autotroph ,autotroph,,140,Fagales,3,1,0,141
Betulaceae (Carpinus sp.),autotroph ,autotroph,,141,Fagales,3,1,0,142
Betulaceae (Ostrya sp.),autotroph ,autotroph,,142,Fagales,3,1,0,143
Juglandaceae (Carya sp. 1 and Caryapollenites triangularus),autotroph ,autotroph,,143,Fagales,3,1,0,144
Juglandaceae (Carya sp. 2 and Caryapollenites circulus),autotroph ,autotroph,,144,Fagales,3,1,0,145
Juglandaceae (Engelhardia sp. and Momipites punctatus),autotroph ,autotroph,,145,Fagales,3,1,0,146
Juglandaceae cf. Juglans and ?Subtriporopollenites anulatus),autotroph ,autotroph,,146,Fagales,3,1,0,147
Juglandaceae (Platycarya sp. 1 and Platycaryapollenites platycaryoides),autotroph ,autotroph,,147,Fagales,3,1,0,148
