sp_name,guild,family,sp_id,animal
Coleoptera spec,Coleoptera,Coleoptera spec,863,1
Carabidae spec,Coleoptera,Carabidae,875,1
Amara aenea,Coleoptera,Carabidae,886,1
Pamagaeus bipustulatus,Coleoptera,Carabidae,900,1
Trachelipus ratzeburgii,Isopoda,Trachelipidae,912,1
Trachelipus spec,Isopoda,Trachelipidae,916,1
Chilopoda spec,Chilopoda,Chilopoda spec,921,1
Theridiidae juv spec,Araneae,Theridiidae,942,1
Salticidae spec juv,Araneae,Salticidae,947,1
Thomisidae spec juv,Araneae,Thomisidae,954,1
Lycosidae spec juv,Araneae,Lycosidae,973,1
Zora spinimana (juv),Araneae,Zoridae,975,1
Xysticus erraticus,Araneae,Thomisidae,980,1
Zora spinimana,Araneae,Zordae,981,1
Corrinidae spec juv,Araneae,Corinnidae,988,1
Evarcha arcuata,Araneae,Salticidae,989,1
