sp_name,guild,family,sp_id,animal
Elateridae sp1 (juv) {l},Coleoptera,Elateridae,724,1
Trachytes aegrota (juv) {s},Mesostigmata,Trachytidae,737,1
Trachytes pauperior (ad) {s},Mesostigmata,Trachytidae,738,1
Aporrectodea caliginosa (juv) {xxxl},Lumbricidae,Lumbricidae,741,1
Octolasion tyrtaeum (juv) {xxl},Lumbricidae,Lumbricidae,748,1
Trichoniscus pusillus {m},Isopoda,Trichoniscidae,750,1
Chordeumatidae juv {m},Diplopoda,Chordeumatidae,754,1
Discus rotundatus,Gastropoda,Patulidae,811,1
Discus rotundatus juv,Gastropoda,Patulidae,812,1
Nesovitrea hammonis,Gastropoda,Oxychilidae,813,1
Arion silvaticus,Gastropoda,Arionidae,815,1
Trichia striolata juv,Gastropoda,Helicidae,817,1
Monachoides incarnatus,Gastropoda,Hygromiidae,818,1
Euconulus fulvus,Gastropoda,Euconulidae,821,1
Limax cinereoniger,Gastropoda,Limacidae,829,1
Gastropoda spec juv,Gastropoda,Gastopoda spec,835,1
Vitrea diaphana,Gastropoda,Pristilomatidae,836,1
Vitrea diaphana juv,Gastropoda,Pristilomatidae,837,1
Arionidae spec,Gastropoda,Arionidae,842,1
Azeca goodalli,Gastropoda,Azecidae,843,1
Curculionidae spec,Coleoptera,Curculionidae,855,1
Staphylinidae spec,Coleoptera,Stapylinidae,858,1
Elateridae spec,Coleoptera,Elateridae,861,1
Coleoptera spec,Coleoptera,Coleoptera spec,863,1
Brachyderinae spec,Coleoptera,Curculionidae,871,1
Otioryhnchinae spec,Coleoptera,Curculionidae,872,1
Ptilidae spec,Coleoptera,Ptilidae,873,1
Trichoniscus spec,Isopoda,Trichoniscidae,911,1
Trachelipus spec,Isopoda,Trachelipidae,916,1
Glomeris spec,Diplopoda,Glomeridae,920,1
Chilopoda spec,Chilopoda,Chilopoda spec,921,1
Harpactea lepida (juv),Araneae,Dysderidae,933,1
Harpactea lepida (ad),Araneae,Dysderidae,934,1
Euophrys frontalis,Araneae,Salticidae,936,1
Walckenaeria nudipalpis,Araneae,Linyphiidae,943,1
Eurocoelotes inermis,Araneae,Amaurobiidae,949,1
