sp_name,guild,family,sp_id,animal
Deuteraphorura inermis,Collembola,Onychiuridae,8,1
Folsomia quadrioculata,Collembola,Isotomidae,14,1
Isotomiella minor,Collembola,Isotomidae,22,1
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25,1
Megalothorax minimus,Collembola,Neelidae,27,1
Mesaphorura sp.,Collembola,Tullbergiidae,28,1
Parisotoma notabilis,Collembola,Isotomidae,40,1
Lithobius cf. mutabilis juv,Chilopoda,Lithobiidae,66,1
Lithobius sp4,Chilopoda,Lithobiidae,73,1
Schendyla nemorensis,Chilopoda,Schendylidae,77,1
Tropiphorus sp.,Coleoptera,Curculionidae,105,1
Agriotes aterrimus (juv),Coleoptera,Elateridae,108,1
Agriotes sp. (juv),Coleoptera,Elateridae,109,1
Athous haemorrhoidalis (juv),Coleoptera,Elateridae,111,1
Athous subfuscus (juv) {m},Coleoptera,Elateridae,113,1
Athous sp. (juv),Coleoptera,Elateridae,117,1
Dalopius marginatus (juv) {m},Coleoptera,Elateridae,118,1
Acrotona sylvicola,Coleoptera,Stapylinidae,132,1
Geostiba circellaris,Coleoptera,Stapylinidae,140,1
Habrocerus capillaricornis,Coleoptera,Stapylinidae,142,1
Heterothops sp. (juv),Coleoptera,Stapylinidae,143,1
Othius sp. (juv),Coleoptera,Stapylinidae,150,1
Oxypoda annularis,Coleoptera,Stapylinidae,151,1
Tachyusa sp. (juv),Coleoptera,Stapylinidae,158,1
Staphylinidae sp1 (juv),Coleoptera,Stapylinidae,162,1
Diplocephalus picinus (ad),Araneae,Linyphiidae,172,1
Gnaphosidae (juv),Araneae,Gnaphosidae,173,1
Linyphiidae (juv),Araneae,Linyphiidae,178,1
Microneta viaria (ad),Araneae,Linyphiidae,180,1
Neobisium sp,Pseudoscorpiones,Neobisidae,182,1
Robertus lividus (ad),Araneae,Theridiidae,186,1
Tapinocyba insecta (ad),Araneae,Linyphiidae,189,1
Gamasina (juv),Mesostigmata,Gamasina,208,1
Lysigamasus puerilis (ad),Mesostigmata,Pergamasinae,220,1
