sp_name,guild,family,sp_id,animal
Trachytes aegrota (juv) {s},Mesostigmata,Trachytidae,737,1
Trichoniscus pusillus {m},Isopoda,Trichoniscidae,750,1
Allaiulus nitidus {xxl},Diplopoda,Julidae,753,1
Lithobius aeruginosus {m},Chilopoda,Lithobiidae,763,1
Staphylinidae spec,Coleoptera,Stapylinidae,858,1
Anthicidae spec,Coleoptera,Anthicidae,879,1
Scolytidae spec,Coleoptera,Scolytidae,880,1
Asthenargus paganus,Araneae,Linyphiidae,930,1
Ceratinella brevis,Araneae,Linyphiidae,931,1
Tenuiphantes tenuis,Araneae,Linyphiidae,940,1
