sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,original_sp_id
Typhaceae (gen. et sp. indet.),autotroph ,autotroph,,36,Typhales,3,3,0,2,1.0,0.0,0.7835820895522388,0.0,1.0909090909090908,0.6292249252730961,9.545454545454545,83
Sparaganiaceae (Sparganiaceaepollenites sp. 1),autotroph ,autotroph,,37,Typhales,3,3,0,1,1.0,0.0,0.7553956834532374,0.0,1.0909090909090908,0.6292249252730961,9.545454545454545,84
Sparaganiaceae (Sparganiaceaepollenites sp. 2),autotroph ,autotroph,,38,Typhales,3,3,0,0,1.0,0.0,0.0,0.0,1.0909090909090908,0.6292249252730961,9.545454545454545,85
Zingiberaceae (gen. et sp. indet.),autotroph ,autotroph,,39,Zingiberales,3,3,0,0,1.0,0.0,0.0,0.0,1.0909090909090908,0.6292249252730961,9.545454545454545,90
tubiform structures,saprobe ,saprobe,,40,Fungi,2,2,1,1,2.0,1.0,0.8677685950413223,105.0,2.0,0.8677685950413223,105.0,231
Hydrobiidae (gen. et sp. indet.),detritivore ,detritivore,,41,Sorbeoconcha,3,2,4,0,2.0,1.0,0.0,26.25,2.0,0.0,26.25,232
Spongillidae (Lutetiospongilla heili),omnivore (FF) ,omnivore (FF),,42,Haplosclerida,3,2,6,0,3.125,3.0,0.0,4.375,2.716432178932179,2.116362991961078,13.727029914529915,233
Spongillidae (Ephydatia gutenbergiana),omnivore (FF) ,omnivore (FF),,43,Haplosclerida,3,2,8,1,2.9333333333333336,2.0,0.8677685950413223,5.833333333333333,2.716432178932179,2.116362991961078,13.727029914529915,234
Order incertae sedis,omnivore (FF) ,omnivore (FF),,44,Entoprocta,3,2,3,0,3.2857142857142856,3.0,0.0,3.5,2.716432178932179,2.116362991961078,13.727029914529915,235
Unionidae (gen. et sp. indet.),omnivore (FF) ,omnivore (FF),,45,Unionoida,3,2,9,1,2.4545454545454546,2.0,5.526315789473684,8.076923076923077,2.716432178932179,2.116362991961078,13.727029914529915,236
Bivalvia (Mytilidae and cf. Anodonta),omnivore (FF) ,omnivore (FF),,46,Mytiloidea,3,2,7,1,2.5,2.0,5.526315789473684,8.076923076923077,2.716432178932179,2.116362991961078,13.727029914529915,237
Gastropoda: Fam. Indet. (Toxocoprulus weitzeli),omnivore (FF) ,omnivore (FF),,47,?Sorbeoconcha,3,2,2,1,2.0,1.0,0.7777777777777778,52.5,2.716432178932179,2.116362991961078,13.727029914529915,240
Gastropoda: Pleuroceridae (gen. et sp. indet.),herbivore (EFF) ,herbivore (EFF),,48,Sorbeoconcha,3,2,4,1,2.25,2.0,0.7777777777777778,17.5,2.25,0.7777777777777778,17.5,241
Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),49,Branchiopoda,3,2,5,8,2.0,1.0,1.25,21.0,2.408333333333333,1.0433195670950721,11.673193473193473,242
Moinidae (Moina macrocopa),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),50,Cladocera,3,2,7,13,2.6666666666666665,2.0,1.05,8.076923076923077,2.408333333333333,1.0433195670950721,11.673193473193473,243
Cf. Bosminidae,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),51,Cladocera,3,2,7,15,2.6666666666666665,2.0,1.0294117647058822,8.076923076923077,2.408333333333333,1.0433195670950721,11.673193473193473,244
Daphniidae (Ctenodaphnia magna),detritivore detritivore,detritivore,detritivore,52,Cladocera,3,2,9,9,2.7857142857142856,2.0,1.0606060606060606,5.526315789473684,2.95734126984127,1.0643600958033945,4.875438596491228,245
Daphniidae (Daphnia pulex),detritivore detritivore,detritivore,detritivore,53,Cladocera,3,2,5,10,2.857142857142857,2.0,1.0824742268041236,7.0,2.95734126984127,1.0643600958033945,4.875438596491228,246
Fam. indet.,omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),54,Ostracoda,3,2,7,9,2.375,2.0,1.0194174757281553,9.545454545454545,2.408333333333333,1.0433195670950721,11.673193473193473,247
Cf. Ovjurium or Monoleiolophus),omnivore (FF) omnivore (FF),omnivore (FF),omnivore (FF),55,Conchostraca,3,2,5,1,2.3333333333333335,2.0,0.8677685950413223,11.666666666666666,2.408333333333333,1.0433195670950721,11.673193473193473,248
Atyidae (gen. et sp. indet.),predator predator,predator,predator,56,Decapoda,3,2,4,1,2.6666666666666665,2.0,105.0,8.75,2.6666666666666665,105.0,8.75,249
Baetidae or Siphlonuridae,detritivore nonfeeding,detritivore,nonfeeding,57,Ephemeroptera,3,3,8,8,2.8666666666666667,2.0,1.206896551724138,5.25,2.8564102564102565,1.1446853892641307,4.725,250
