sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat
Smilacaceae (cf. Smilax sp.),autotroph ,autotroph,,74,Liliales,3,1
Pandanaceae (gen. et sp. indet.),autotroph ,autotroph,,75,Pandanales,3,1
Arecaceae (Monocolpopollenites tranquillus),autotroph ,autotroph,,76,Arecales,3,1
Arecaceae (Phoenicites sp.),autotroph ,autotroph,,77,Arecales,3,1
Arecaceae (cf. Arecoideae: flower type A),autotroph ,autotroph,,78,Arecales,3,1
Arecaceae (cf. Lepidocaryoideae: pinnate leaf),autotroph ,autotroph,,79,Arecales,3,1
Arecaceae (flower type B),autotroph ,autotroph,,80,Arecales,3,1
Arecaceae (Sabalitides sp.),autotroph ,autotroph,,81,Arecales,3,1
Cyclanthaceae (gen. et sp. indet.),autotroph ,autotroph,,82,Arecales,3,1
Typhaceae (gen. et sp. indet.),autotroph ,autotroph,,83,Typhales,3,3
Sparaganiaceae (Sparganiaceaepollenites sp. 1),autotroph ,autotroph,,84,Typhales,3,3
Sparaganiaceae (Sparganiaceaepollenites sp. 2),autotroph ,autotroph,,85,Typhales,3,3
Cyperaceae (Caricoidea sp.),autotroph ,autotroph,,86,Juncales,3,1
Cyperaceae (gen. et sp. indet.),autotroph ,autotroph,,87,Juncales,2,1
Restoniaceae (Milfordia hungarica),autotroph ,autotroph,,88,Poales,3,1
Restoniaceae (Milfordia incerta),autotroph ,autotroph,,89,Poales,3,1
Zingiberaceae (gen. et sp. indet.),autotroph ,autotroph,,90,Zingiberales,3,3
Magnoliaceae (sp. indet. 1),autotroph ,autotroph,,91,Magnoliales,3,1
Magnoliaceae (sp. indet. 2),autotroph ,autotroph,,92,Magnoliales,3,1
Annonaceae (gen. et sp. indet.),autotroph ,autotroph,,93,Magnoliales,3,1
Chloranthaceae (Emmapollis pseudoemmaensis),autotroph ,autotroph,,94,Laurales,3,1
Lauraceae (cf. Laurophyllum lanigeroides†),autotroph ,autotroph,,95,Laurales,3,1
Lauraceae (cf. Daphnogene†),autotroph ,autotroph,,96,Laurales,3,1
Lauraceae (gen. et sp. indet),autotroph ,autotroph,,97,Laurales,3,1
Illiciaceae (gen. et sp. indet.),autotroph ,autotroph,,98,Illiciales,3,1
Menispermaceae (Tinospora sp.),autotroph ,autotroph,,99,Ranunculales,3,1
Menispermaceae (gen. et sp. indet.),autotroph ,autotroph,,100,Ranunculales,3,1
Berberidaceae (gen et sp. indet.),autotroph ,autotroph,,101,Ranunculales,3,1
Sargentodoxaceae (cf. Sargentodoxa sp.),autotroph ,autotroph,,102,Ranunculales,3,1
"Eucommiaceae ( Eucommia, Tricolpopollenites parmularius )",autotroph ,autotroph,,103,Eucommiales,3,1
Buxaceae (gen et sp. indet).,autotroph ,autotroph,,104,"""Proteales""",3,1
Platanaceae (cf. Platanus),autotroph ,autotroph,,105,Proteales,3,1
Vitaceae† gen. et sp. indet.,autotroph ,autotroph,,106,Vitales,3,1
"Vitaceae (Vitis sp., ?Tricolporopollenites marcodurensis)",autotroph ,autotroph,,107,Vitales,3,1
Vitaceae Tetrastigma sp.),autotroph ,autotroph,,108,Vitales,3,1
Vitaceae (Cissus sp.),autotroph ,autotroph,,109,Vitales,3,1
Vitaceae (Ampelopsis sp.),autotroph ,autotroph,,110,Vitales,3,1
Rhamnaceae (Tricolporopollenites sp.),autotroph ,autotroph,,111,Vitales,3,1
Nyctaginaceae (gen. et sp. indet.),autotroph ,autotroph,,112,Caryophyllales,3,1
Cercidiphyllaceae (Cercidiphyllum sp.),autotroph ,autotroph,,113,Saxifragales,3,1
Hamamelidaceae (Compositioipollenites rhizophorus),autotroph ,autotroph,,114,Saxifragales,3,1
?Hamamelidaceae (Labrapollis labraferus),autotroph ,autotroph,,115,Saxifragales,3,1
Olacaceae (Olaxipollis matthesii ),autotroph ,autotroph,,116,Santalales,3,1
Loranthaceae (Gothanipollis gothanii),epiphyte ,epiphyte,,117,Santalales,3,1
Staphyleaceae (Tapiscia sp.),autotroph ,autotroph,,118,Geraniales,3,1
Icacinaceae (Stemonurus sp.),autotroph ,autotroph,,119,Celastrales,3,1
Icacinaceae (Compositoipollenites rhizophorus),autotroph ,autotroph,,120,Celastrales,3,1
Icacinaceae (Compositopollenites minimus),autotroph ,autotroph,,121,Celastrales,3,1
Malpighiaceae (Tetrapteris sp.),autotroph ,autotroph,,122,Malpighiales,3,1
"Salicaceae (Salix, Tricolpopollenties retiformis)",autotroph ,autotroph,,123,Malpighiales,3,1
Euphorbiaceae (Spinaepollis spinosus),autotroph ,autotroph,,124,Malpighiales,3,1
Fabaceae (sp. indet. 1),myxotroph ,myxotroph,,125,Fabales,3,1
Fabaceae (sp. indet. 2),myxotroph ,myxotroph,,126,Fabales,3,1
Rosaceae (sp. indet. 1),autotroph ,autotroph,,127,Rosales,3,1
Rosaceae (sp. indet. 2),autotroph ,autotroph,,128,Rosales,3,1
Rosaceae (cf. Rosa or Rubus),autotroph ,autotroph,,129,Rosales,3,1
Moraceae (Ficus sp.),autotroph ,autotroph,,130,Rosales,3,1
Celtidiaceae (Celtipollenites intrastructurus),autotroph ,autotroph,,131,Rosales,3,1
Celtidiaceae (Celtipollenites laevigatus),autotroph ,autotroph,,132,Rosales,3,1
Ulmaceae (Polyporopollenites undulosus),autotroph ,autotroph,,133,Rosales,3,1
Ulmaceae (Polyporopollenites verrucatus),autotroph ,autotroph,,134,Rosales,3,1
"Ulmaceae (Ulmus sp., ?Polyporopollenites eoulmoides)",autotroph ,autotroph,,135,Rosales,3,1
Ulmaceae (Zelkova sp.),autotroph ,autotroph,,136,Rosales,3,1
"Myricaceae (Comptonia sp., Triatriopollenites excelsus)",myxotroph ,myxotroph,,137,Fagales,3,1
Myricaceae (Triatriopollenites rurensis),myxotroph ,myxotroph,,138,Fagales,3,1
Myricaceae (Triatriopollenites bituitus),myxotroph ,myxotroph,,139,Fagales,3,1
Betulaceae (Alnipollenites verus ),myxotroph ,myxotroph,,140,Fagales,3,1
Betulaceae (Trivestibulopollenites betuloides ),autotroph ,autotroph,,141,Fagales,3,1
Betulaceae (Carpinus sp.),autotroph ,autotroph,,142,Fagales,3,1
Betulaceae (Ostrya sp.),autotroph ,autotroph,,143,Fagales,3,1
"Juglandaceae (Carya sp. 1, Caryapollenites triangularus)",autotroph ,autotroph,,144,Fagales,3,1
"Juglandaceae (Carya sp. 2, Caryapollenites circulus)",autotroph ,autotroph,,145,Fagales,3,1
"Juglandaceae (Engelhardia sp., Momipites punctatus)",autotroph ,autotroph,,146,Fagales,3,1
"Juglandaceae cf. Juglans, ?Subtriporopollenites anulatus)",autotroph ,autotroph,,147,Fagales,3,1
"Juglandaceae (Platycarya sp. 1, Platycaryapollenites platycaryoides)",autotroph ,autotroph,,148,Fagales,3,1
"Juglandaceae (Platycarya sp. 2, Platycaryapollenites miocaenicus)",autotroph ,autotroph,,149,Fagales,3,1
Juglandaceae (Plicatopollis hungaricus),autotroph ,autotroph,,150,Fagales,3,1
Juglandaceae (Plicatopollis lunatus),autotroph ,autotroph,,151,Fagales,3,1
Juglandaceae (Plicatopollis plicatus),autotroph ,autotroph,,152,Fagales,3,1
Juglandaceae (Plicatopollis potoniei),autotroph ,autotroph,,153,Fagales,3,1
"Juglandaceae (Pterocarya sp., Pterocaryapollenites stellatus)",autotroph ,autotroph,,154,Fagales,3,1
"Fagaceae (Quercus sp., Tricolpopollenites asper)",autotroph ,autotroph,,155,Fagales,3,1
Fagaceae (Tricolpopollenites liblarensis),autotroph ,autotroph,,156,Fagales,3,1
Fagaceae (Tricolporopollenites cingulum),autotroph ,autotroph,,157,Fagales,3,1
Myrtaceae (Rhodomyrtophyllum rossmassleri),autotroph ,autotroph,,158,Myrtales,3,1
Myrtaceae (Rhodomyrtus sinuata ),autotroph ,autotroph,,159,Myrtales,3,1
Myrtaceae (Duplopollis myrtoides),autotroph ,autotroph,,160,Myrtales,3,1
Lythraceae (gen. et sp. indet.),autotroph ,autotroph,,161,Myrtales,3,1
Thymelaeaceae (gen. et sp. indet.),autotroph ,autotroph,,162,Malvales,3,1
Tiliaceae (Dombeya sp.),autotroph ,autotroph,,163,Malvales,3,1
Tiliaceae (Intratiporopollenites ceciliensis),autotroph ,autotroph,,164,Malvales,3,1
Tiliaceae (Intratiporopollenites minimus),autotroph ,autotroph,,165,Malvales,3,1
Bombacaceae (Bombacacidites kettigensis ),autotroph ,autotroph,,166,Malvales,3,1
Bombacaceae (Bombacacidites tilioides ),autotroph ,autotroph,,167,Malvales,3,1
Bombacaceae (Bombacacidites sp. ),autotroph ,autotroph,,168,Malvales,3,1
Sterculiaceae (Reevesiapollis triangulus or eucaenicus),autotroph ,autotroph,,169,Malvales,3,1
Anacardiaceae (cf. Pentoperculum†),autotroph ,autotroph,,170,Sapindales,3,1
Anacardiaceae (gen. et sp. indet.),autotroph ,autotroph,,171,Sapindales,3,1
Rutaceae (Toddalia ovata),autotroph ,autotroph,,172,Sapindales,3,1
Rutaceae (Rutaspermum sp.),autotroph ,autotroph,,173,Sapindales,3,1
Rutaceae (Rutaspermum chandlerae),autotroph ,autotroph,,174,Sapindales,3,1
Rutaceae (Rutaspermum messelense),autotroph ,autotroph,,175,Sapindales,3,1
Simaroubaceae (Ailanthus sp.),autotroph ,autotroph,,176,Sapindales,3,1
"Sapindaceae (Acer, Aceripollis striatus )",autotroph ,autotroph,,177,Sapindales,3,1
Burseraceae (Canarium sp.),autotroph ,autotroph,,178,Sapindales,3,1
Cornaceae (gen. et sp. indet.),autotroph ,autotroph,,179,Cornales,3,1
Mastixiaceae (Tricolporopollenites satzveyensis),autotroph ,autotroph,,180,Cornales,3,1
"Nyssaceae (Nyssa, Nyssapollenites kruschii )",autotroph ,autotroph,,181,Cornales,3,1
?Clethraceae (Tricolporopollenites megaexactus),autotroph ,autotroph,,182,Ericales,2,1
Cyrillaceae (sp. indet. 2),autotroph ,autotroph,,183,Ericales,3,1
Cyrillaceae (cf. Cyrilla sp.),autotroph ,autotroph,,184,Ericales,3,1
Lecythidaceae (gen. et sp. indet.),autotroph ,autotroph,,185,Ericales,3,1
Ericaceae (Ericipites ericius),autotroph ,autotroph,,186,Ericales,3,1
Ericaceae (Ericipites callidus),autotroph ,autotroph,,187,Ericales,3,1
Theaceae (cf. Polyspora saxonica),autotroph ,autotroph,,188,Ericales,3,1
"Theaceae (cf. Ternstroemites ""dentatus"")",autotroph ,autotroph,,189,Ericales,3,1
Theaceae (gen. et sp. indet.),autotroph ,autotroph,,190,Ericales,3,1
Symplocaceae (Porocolpopollenites calauensis),autotroph ,autotroph,,191,Ericales,3,1
Symplocaceae (Porocolpopollenites rarobaculatus),autotroph ,autotroph,,192,Ericales,3,1
Sapotaceae (Tetracolporopollenites sapotoides),autotroph ,autotroph,,193,Ericales,3,1
Sapotaceae (Tetracolporopollenites manifestus),autotroph ,autotroph,,194,Ericales,3,1
Rubiaceae (gen. et sp. indet.),autotroph ,autotroph,,195,Gentianales,3,1
