Column1,sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
83,Typhaceae (gen. et sp. indet.),autotroph ,autotroph,,83,Typhales,3,3,0,4,1.0,0.0,1.0824742268041236,0.0,1.0909090909090908,0.9857209407034976,9.545454545454545
84,Sparaganiaceae (Sparganiaceaepollenites sp. 1),autotroph ,autotroph,,84,Typhales,3,3,0,5,1.0,0.0,1.141304347826087,0.0,1.0909090909090908,0.9857209407034976,9.545454545454545
85,Sparaganiaceae (Sparganiaceaepollenites sp. 2),autotroph ,autotroph,,85,Typhales,3,3,0,4,1.0,0.0,1.0194174757281553,0.0,1.0909090909090908,0.9857209407034976,9.545454545454545
90,Zingiberaceae (gen. et sp. indet.),autotroph ,autotroph,,90,Zingiberales,3,3,0,1,1.0,0.0,0.860655737704918,0.0,1.0909090909090908,0.9857209407034976,9.545454545454545
231,tubiform structures,saprobe ,saprobe,,231,Fungi,2,2,1,2,2.0,1.0,0.9051724137931034,105.0,2.0,0.9051724137931034,105.0
232,Hydrobiidae (gen. et sp. indet.),detritivore ,detritivore,,232,Sorbeoconcha,3,2,4,3,2.0,1.0,0.9292035398230089,26.25,2.0,0.9292035398230089,26.25
233,Spongillidae (Lutetiospongilla heili),omnivore (FF) ,omnivore (FF),,233,Haplosclerida,3,2,7,2,3.1818181818181817,3.0,0.9130434782608695,3.3870967741935485,2.723190235690236,2.483022668532877,13.089121153637285
234,Spongillidae (Ephydatia gutenbergiana),omnivore (FF) ,omnivore (FF),,234,Haplosclerida,3,2,13,3,2.9583333333333335,2.0,1.0194174757281553,3.888888888888889,2.723190235690236,2.483022668532877,13.089121153637285
235,Order incertae sedis,omnivore (FF) ,omnivore (FF),,235,Entoprocta,3,2,4,2,3.3,3.0,0.9130434782608695,3.1818181818181817,2.723190235690236,2.483022668532877,13.089121153637285
236,Unionidae (gen. et sp. indet.),omnivore (FF) ,omnivore (FF),,236,Unionoida,3,2,9,1,2.4545454545454546,2.0,5.526315789473684,8.076923076923077,2.723190235690236,2.483022668532877,13.089121153637285
