SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv_true,Herbiv,Carniv,meanInDegree,stdInDegree,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,diameter,max_chain_len,mean_path_len,std_path_len,loop,Modularity
messel,2,700,6444,9.205714286,0.013169834,0.293696275,0.042857143,0.480730223,0.507099391,0.22515213,13.07099391,19.56916622,2.35127883,5.472473868,0.429655561,0.45841785,0.948850307,10,50,3.012831962,1.220623431,0.121428571,0
messel_aqu,2,106,726,6.849056604,0.065229111,0.259615385,0.047169811,0.116883117,0.194805195,0.207792208,9.428571429,7.392080705,2.777875939,5.247706422,0.529350485,0.805194805,0.903445862,6,24,2.249052518,0.857087127,0.188679245,0
messel_terr,2,651,5758,8.844854071,0.013607468,0.309707242,0.050691244,0.517857143,0.537946429,0.21875,12.85267857,20.16355256,2.239937908,6.040712468,0.370806907,0.419642857,0.861913267,9,46,2.849700735,1.174102259,0.105990783,0
messel_hi_cert,2,698,5001,7.164756447,0.010279421,0.390804598,0.051575931,0.41745283,0.448113208,0.20754717,11.79481132,16.78674112,2.298866485,6.043382353,0.380394016,0.495283019,1.183617057,10,45,3.247875991,1.327450885,0.106017192,0
messel_terr_hi_cert,2,649,4405,6.787365177,0.010474329,0.417310665,0.055469954,0.453580902,0.477453581,0.190981432,11.68435013,17.1502619,2.186734401,8.132575758,0.268885832,0.461538462,1.102629695,11,42,3.254077039,1.509861124,0.086286595,0
messel_aqu_hi_cert,2,106,560,5.283018868,0.050314465,0.259615385,0.122641509,0.116883117,0.194805195,0.246753247,7.272727273,4.816737167,2.84558406,5.268817204,0.54008024,0.805194805,0.980289664,6,23,2.408514493,0.940109283,0.188679245,0
