SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
1,1,19.0,48.0,2.526315789473684,0.14035087719298245,0.1111111111111111,0.0,0.1875,0.625,3.0,2.6583202716502514,1.5263157894736843,2.5751461988304096,4.666666666666666,0.5518170426065164,0.5,0.7825386119886548,1.8155339805825244,0.8013172099068027,0.0
10,1,19.0,59.0,3.1052631578947367,0.17251461988304093,0.1111111111111111,0.0,0.125,0.75,3.6875,4.222459788638213,1.5263157894736843,2.664230019493177,4.5,0.5920511154429282,0.4375,0.7619565099797403,1.717557251908397,0.6936504235986192,0.0
100,1,19.0,44.0,2.3157894736842106,0.1286549707602339,0.1111111111111111,0.15789473684210525,0.0,0.75,2.75,2.23606797749979,2.1052631578947367,3.1522556390977443,4.75,0.6636327661258409,0.6875,0.6695825475934872,1.8181818181818181,0.8000463808447502,0.0
1000,1,19.0,44.0,2.3157894736842106,0.1286549707602339,0.1111111111111111,0.05263157894736842,0.125,0.5625,2.75,1.6532795690182993,1.631578947368421,2.6525271512113617,4.444444444444445,0.5968186090225563,0.625,0.5922242848269698,1.7676767676767677,0.7260219093265013,0.0
101,1,19.0,61.0,3.210526315789474,0.1783625730994152,0.1111111111111111,0.05263157894736842,0.125,0.625,3.8125,3.655475345286848,1.6842105263157894,2.7575757575757573,4.4,0.6267217630853994,0.5625,0.6982433375973229,1.6,0.6933497998515097,0.0
102,1,19.0,40.0,2.1052631578947367,0.11695906432748537,0.1111111111111111,0.05263157894736842,0.125,0.625,2.5,2.0976176963403033,1.7894736842105263,2.8035923141186303,4.444444444444445,0.6308082706766918,0.5,0.5742227562637507,1.7222222222222223,0.7035668000959493,0.0
103,1,19.0,54.0,2.8421052631578947,0.15789473684210525,0.1111111111111111,0.0,0.0625,0.625,3.375,2.1252450839060106,1.736842105263158,2.79611908559277,4.583333333333334,0.6100623459475133,0.625,0.7713559010610809,1.8306451612903225,0.8036681573959298,0.0
104,1,19.0,68.0,3.5789473684210527,0.19883040935672514,0.1111111111111111,0.0,0.125,0.625,4.25,4.024922359499621,1.6842105263157894,2.920271224037104,4.333333333333334,0.6739087440085624,0.5625,0.6513927912298502,1.6428571428571428,0.6467564737051712,0.0
105,1,19.0,73.0,3.8421052631578947,0.2134502923976608,0.1111111111111111,0.0,0.125,0.5625,4.5625,3.5207716957129347,1.631578947368421,2.742312302495369,4.066666666666666,0.6743390907775497,0.6875,0.6271795419456941,1.5827338129496402,0.6243754047224416,0.0
106,1,19.0,55.0,2.8947368421052633,0.1608187134502924,0.1111111111111111,0.0,0.0625,0.5,3.4375,2.064582282206258,1.7894736842105263,2.8121259029927757,4.333333333333334,0.6489521314598712,0.875,0.6612307011740292,1.7983870967741935,0.7648777861852394,0.0
107,1,19.0,61.0,3.210526315789474,0.1783625730994152,0.1111111111111111,0.05263157894736842,0.25,0.625,3.8125,3.8508657035355918,1.894736842105263,2.891460524701522,5.0,0.5782921049403045,0.5,0.7742854863177501,1.6754385964912282,0.758382232940943,0.0
108,1,19.0,55.0,2.8947368421052633,0.1608187134502924,0.1111111111111111,0.0,0.0625,0.5625,3.4375,2.874456470360962,2.1052631578947367,3.0088558717367575,4.666666666666666,0.6447548296578767,0.875,0.7067316730713944,1.75,0.7503386769194966,0.0
109,1,19.0,55.0,2.8947368421052633,0.1608187134502924,0.1111111111111111,0.0,0.125,0.75,3.4375,3.4247870980057527,1.7894736842105263,2.7866805170821785,4.666666666666666,0.5971458250890384,0.5,0.8100456114311799,1.7232142857142858,0.7618117502750551,0.0
11,1,19.0,39.0,2.0526315789473686,0.11403508771929824,0.1111111111111111,0.05263157894736842,0.125,0.75,2.4375,2.0320351046836436,2.0,3.0476190476190474,5.0,0.6095238095238095,0.375,0.659941625919061,1.9454545454545455,0.8108933077973484,0.0
110,1,19.0,55.0,2.8947368421052633,0.1608187134502924,0.1111111111111111,0.0,0.125,0.625,3.4375,3.305929017185134,1.6842105263157894,2.8042334096109838,4.15,0.6757188938821647,0.375,0.691126484651831,1.736,0.708747190925764,0.0
111,1,19.0,54.0,2.8421052631578947,0.15789473684210525,0.1111111111111111,0.0,0.25,0.5,3.375,3.0304015135511886,1.7894736842105263,2.846761133603239,4.5,0.6326135852451642,0.375,0.8496807406877037,1.6262626262626263,0.7365925213905872,0.0
112,1,19.0,52.0,2.736842105263158,0.15204678362573099,0.1111111111111111,0.0,0.125,0.6875,3.25,3.1091263510296048,2.0526315789473686,3.0767891952102477,4.666666666666666,0.659311970402196,0.5625,0.794006229248113,1.9027777777777777,0.8048753927313208,0.0
113,1,19.0,39.0,2.0526315789473686,0.11403508771929824,0.1111111111111111,0.10526315789473684,0.125,0.6875,2.4375,1.7114808402861736,1.894736842105263,2.8846491228070175,4.4,0.6556020733652312,0.4375,0.6060427577832347,1.7659574468085106,0.7097710052475977,0.0
114,1,19.0,55.0,2.8947368421052633,0.1608187134502924,0.1111111111111111,0.0,0.1875,0.625,3.4375,2.731757675929547,1.8421052631578947,2.8190260868890493,4.625,0.6095191539219567,0.5625,0.6378926366716778,1.7033898305084745,0.7078234609431292,0.0
115,1,19.0,56.0,2.9473684210526314,0.16374269005847952,0.1111111111111111,0.0,0.1875,0.5625,3.5,3.141125063837266,1.631578947368421,2.766883116883117,4.5,0.6148629148629149,0.625,0.6722959369979543,1.6296296296296295,0.6779930883858087,0.0
