trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,18,1.0,0.0,1.0,0.0,0.0,1.7906976744186047,0.0,1.7906976744186047,0.0
2,2,land plants,1,0,10,1.0,0.0,1.0,0.0,0.0,2.4838709677419355,0.0,2.2772883727797426,0.0
3,3,land plants,1,0,10,1.0,0.0,1.0,0.0,0.0,2.081081081081081,0.0,2.2772883727797426,0.0
4,4,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,1.8780487804878048,0.0,2.2772883727797426,0.0
5,5,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,2.40625,0.0,2.2772883727797426,0.0
6,6,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,2.4838709677419355,0.0,2.2772883727797426,0.0
7,7,land plants,1,0,6,1.0,0.0,1.0,0.0,0.0,2.8518518518518516,0.0,2.2772883727797426,0.0
8,8,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.8333333333333333,0.0,2.2772883727797426,0.0
9,9,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,2.2,0.0,2.2772883727797426,0.0
10,10,terrestrial heterotroph microbes,1,1,3,2.0,1.0,2.25,0.0,19.25,4.529411764705882,0.0,7.077205882352941,19.25
11,11,terrestrial heterotroph microbes,1,3,3,2.5,1.0,2.25,38.5,19.25,9.625,38.5,7.077205882352941,19.25
12,12,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,77.0,77.0,8.555555555555555,77.0,12.984832202111615,77.0
13,13;18,terrestrial saprotrophs,2,1,4,2.0,1.0,2.0,77.0,77.0,7.7,77.0,12.984832202111615,77.0
14,14,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,77.0,77.0,5.5,77.0,12.984832202111615,77.0
15,15,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,77.0,77.0,5.133333333333334,77.0,12.984832202111615,77.0
16,16;17;19;21;25,terrestrial saprotrophs,5,1,3,2.0,1.0,2.0,77.0,77.0,6.416666666666667,77.0,12.984832202111615,77.0
20,20,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,77.0,77.0,4.277777777777778,77.0,12.984832202111615,77.0
22,22,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,77.0,77.0,4.529411764705882,77.0,12.984832202111615,77.0
23,23,terrestrial saprotrophs,1,1,6,2.0,1.0,2.0,77.0,77.0,4.8125,77.0,12.984832202111615,77.0
24,24,terrestrial saprotrophs,1,1,1,2.0,1.0,2.0,77.0,77.0,77.0,77.0,12.984832202111615,77.0
26,26,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,77.0,77.0,5.923076923076923,77.0,12.984832202111615,77.0
27,27,mycorrhizae,1,1,4,2.0,1.0,2.0,77.0,31.46543209876543,5.5,77.0,5.780092592592593,31.46543209876543
28,28,mycorrhizae,1,4,3,2.0,1.0,2.0,19.25,31.46543209876543,4.8125,19.25,5.780092592592593,31.46543209876543
29,29,mycorrhizae,1,1,3,2.0,1.0,2.0,77.0,31.46543209876543,5.133333333333334,77.0,5.780092592592593,31.46543209876543
30,30,mycorrhizae,1,5,3,2.0,1.0,2.0,15.4,31.46543209876543,4.8125,15.4,5.780092592592593,31.46543209876543
31,31,mycorrhizae,1,9,3,2.0,1.0,2.0,8.555555555555555,31.46543209876543,4.8125,8.555555555555555,5.780092592592593,31.46543209876543
32,32,mycorrhizae,1,3,3,2.0,1.0,2.0,25.666666666666668,31.46543209876543,7.7,25.666666666666668,5.780092592592593,31.46543209876543
33,33,mycorrhizae,1,4,3,2.0,1.0,2.0,19.25,31.46543209876543,6.416666666666667,19.25,5.780092592592593,31.46543209876543
34,34,mycorrhizae,1,5,3,2.0,1.0,2.0,15.4,31.46543209876543,7.7,15.4,5.780092592592593,31.46543209876543
35,35,mycorrhizae,1,3,3,2.0,1.0,2.0,25.666666666666668,31.46543209876543,5.133333333333334,25.666666666666668,5.780092592592593,31.46543209876543
36,36,plant parasites,1,9,2,2.0,1.0,2.0,8.555555555555555,27.87685185185185,38.5,8.555555555555555,23.28333333333333,27.87685185185185
37,37,plant parasites,1,2,2,2.0,1.0,2.0,38.5,27.87685185185185,5.5,38.5,23.28333333333333,27.87685185185185
38,38;40,plant parasites,2,1,2,2.0,1.0,2.0,77.0,27.87685185185185,5.5,77.0,23.28333333333333,27.87685185185185
39,39,plant parasites,1,5,1,2.0,1.0,2.0,15.4,27.87685185185185,77.0,15.4,23.28333333333333,27.87685185185185
41,41,plant parasites,1,4,3,2.0,1.0,2.0,19.25,27.87685185185185,7.7,19.25,23.28333333333333,27.87685185185185
42,42,plant parasites,1,9,2,2.0,1.0,2.0,8.555555555555555,27.87685185185185,5.5,8.555555555555555,23.28333333333333,27.87685185185185
43,43,fungal parasites,1,5,0,3.0,2.0,3.0,3.347826086956522,2.3882798502829368,0.0,3.347826086956522,3.2083333333333335,2.3882798502829368
44,44,fungal parasites,1,20,1,3.0,2.0,3.0,2.026315789473684,2.3882798502829368,9.625,2.026315789473684,3.2083333333333335,2.3882798502829368
45,45,fungal parasites,1,25,0,3.0,2.0,3.0,1.7906976744186047,2.3882798502829368,0.0,1.7906976744186047,3.2083333333333335,2.3882798502829368
46,46,terrestrial microbivores,1,8,4,3.0,2.0,3.0,2.9615384615384617,2.9615384615384617,12.833333333333334,2.9615384615384617,12.833333333333334,2.9615384615384617
47,47,terrestrial detritivores,1,6,2,2.6666666666666665,1.0,2.708333333333333,12.833333333333334,10.266666666666667,19.25,12.833333333333334,19.25,10.266666666666667
48,48,terrestrial detritivores,1,8,2,2.75,2.0,2.708333333333333,7.7,10.266666666666667,19.25,7.7,19.25,10.266666666666667
49,49,mites,1,13,2,3.263157894736842,3.0,3.1315789473684212,0.9390243902439024,3.6778455284552845,19.25,0.9390243902439024,19.25,3.6778455284552845
50,50,mites,1,2,2,3.0,2.0,3.1315789473684212,6.416666666666667,3.6778455284552845,19.25,6.416666666666667,19.25,3.6778455284552845
51,51,terrestrial arthropod predators (1),1,1,2,2.0,1.0,2.685185185185185,77.0,26.400000000000002,12.833333333333334,77.0,14.361111111111112,26.400000000000002
52,52,terrestrial arthropod predators (1),1,1,4,2.0,1.0,2.685185185185185,0.0,26.400000000000002,11.0,0.0,14.361111111111112,26.400000000000002
53,53,terrestrial arthropod predators (1),1,3,3,4.055555555555555,3.0,2.685185185185185,2.2,26.400000000000002,19.25,2.2,14.361111111111112,26.400000000000002
54,54,terrestrial arthropod predators (2),1,10,2,4.614285714285714,4.0,4.36750830564784,0.5273972602739726,1.0241328736883486,38.5,0.5273972602739726,24.383333333333333,1.0241328736883486
55,55,terrestrial arthropod predators (2),1,1,0,4.0,3.0,4.36750830564784,1.75,1.0241328736883486,0.0,1.75,24.383333333333333,1.0241328736883486
56,56,terrestrial arthropod predators (2),1,1,2,4.0,3.0,4.36750830564784,1.75,1.0241328736883486,19.25,1.75,24.383333333333333,1.0241328736883486
57,57,terrestrial arthropod predators (2),1,3,1,4.7,4.0,4.36750830564784,0.5099337748344371,1.0241328736883486,25.666666666666668,0.5099337748344371,24.383333333333333,1.0241328736883486
58,58,terrestrial arthropod predators (2),1,10,3,4.523255813953488,4.0,4.36750830564784,0.5833333333333334,1.0241328736883486,38.5,0.5833333333333334,24.383333333333333,1.0241328736883486
59,59,aquatic detritus,1,0,4,1.0,0.0,1.0,0.0,0.0,2.2,0.0,2.2,0.0
60,60,aquatic heterotroph microbes,1,2,3,3.5,3.0,3.448484848484848,5.133333333333334,7.711111111111111,2.3333333333333335,5.133333333333334,2.5304783950617282,7.711111111111111
61,61,aquatic heterotroph microbes,1,3,3,3.5454545454545454,2.0,3.448484848484848,7.0,7.711111111111111,2.40625,7.0,2.5304783950617282,7.711111111111111
62,62,aquatic heterotroph microbes,1,8,4,3.3,1.0,3.448484848484848,11.0,7.711111111111111,2.8518518518518516,11.0,2.5304783950617282,7.711111111111111
63,63,aquatic unicellular/small algae,1,0,4,1.0,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.1094244758237055,0.0
64,64,aquatic unicellular/small algae,1,0,3,1.0,0.0,1.0,0.0,0.0,2.2,0.0,2.1094244758237055,0.0
65,65;67,aquatic unicellular/small algae,2,0,2,1.0,0.0,1.0,0.0,0.0,2.026315789473684,0.0,2.1094244758237055,0.0
66,66,aquatic unicellular/small algae,1,0,1,1.0,0.0,1.0,0.0,0.0,1.8780487804878048,0.0,2.1094244758237055,0.0
68,68;73;78,planktic large colonial algae,3,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69;70;71;72;75,benthic filamentous algae,5,0,1,1.0,0.0,1.0,0.0,0.0,25.666666666666668,0.0,25.666666666666668,0.0
74,74,other benthic/epiphytic algae,1,0,1,1.0,0.0,1.0,0.0,0.0,7.7,0.0,8.1953216374269,0.0
76,76,other benthic/epiphytic algae,1,0,2,1.0,0.0,1.0,0.0,0.0,4.052631578947368,0.0,8.1953216374269,0.0
77,77,other benthic/epiphytic algae,1,0,1,1.0,0.0,1.0,0.0,0.0,12.833333333333334,0.0,8.1953216374269,0.0
79,79,partially terrestrial epilithic/epiphytic algae,1,0,2,1.0,0.0,1.0,0.0,0.0,3.85,0.0,7.283333333333334,0.0
