trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
49,49,mites,1,10,2,3.225806451612903,2.0,3.1298523783488243,1.3666666666666667,1.5944444444444446,8.2,1.3666666666666667,9.225,1.5944444444444446
50,50,mites,1,21,4,3.0338983050847457,2.0,3.1298523783488243,1.8222222222222222,1.5944444444444446,10.25,1.8222222222222222,9.225,1.5944444444444446
51,51,terrestrial arthropod predators (1),1,2,3,3.611111111111111,3.0,3.822751322751323,1.0379746835443038,1.6301869634802852,10.25,1.0379746835443038,12.527777777777777,1.6301869634802852
52,52,terrestrial arthropod predators (1),1,1,2,4.0,3.0,3.822751322751323,2.8275862068965516,1.6301869634802852,13.666666666666666,2.8275862068965516,12.527777777777777,1.6301869634802852
53,53,terrestrial arthropod predators (1),1,3,2,3.857142857142857,3.0,3.822751322751323,1.025,1.6301869634802852,13.666666666666666,1.025,12.527777777777777,1.6301869634802852
54,54,terrestrial arthropod predators (2),1,8,3,4.302631578947368,4.0,4.13371679197995,0.6356589147286822,0.6789178607356311,20.5,0.6356589147286822,17.40222222222222,0.6789178607356311
55,55,terrestrial arthropod predators (2),1,1,1,3.7,3.0,4.13371679197995,0.8541666666666666,0.6789178607356311,9.11111111111111,0.8541666666666666,17.40222222222222,0.6789178607356311
56,56,terrestrial arthropod predators (2),1,11,2,4.16,3.0,4.13371679197995,0.7321428571428571,0.6789178607356311,16.4,0.7321428571428571,17.40222222222222,0.6789178607356311
57,57,terrestrial arthropod predators (2),1,3,4,4.214285714285714,4.0,4.13371679197995,0.5466666666666666,0.6789178607356311,27.333333333333332,0.5466666666666666,17.40222222222222,0.6789178607356311
58,58,terrestrial arthropod predators (2),1,8,2,4.291666666666666,4.0,4.13371679197995,0.6259541984732825,0.6789178607356311,13.666666666666666,0.6259541984732825,17.40222222222222,0.6789178607356311
59,59,aquatic detritus,1,0,5,1.0,0.0,1.0,0.0,0.0,8.2,0.0,8.2,0.0
