trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,21,1.0,0.0,1.0,0.0,0.0,1.3064516129032258,0.0,1.3064516129032258,0.0
2,2,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.8,0.0,1.9193616352174834,0.0
3,3,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,1.8409090909090908,0.0,1.9193616352174834,0.0
4,4,land plants,1,0,6,1.0,0.0,1.0,0.0,0.0,2.3823529411764706,0.0,1.9193616352174834,0.0
5,5,land plants,1,0,6,1.0,0.0,1.0,0.0,0.0,1.6875,0.0,1.9193616352174834,0.0
6,6,land plants,1,0,6,1.0,0.0,1.0,0.0,0.0,1.8837209302325582,0.0,1.9193616352174834,0.0
7,7,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.6875,0.0,1.9193616352174834,0.0
8,8,land plants,1,0,11,1.0,0.0,1.0,0.0,0.0,1.8837209302325582,0.0,1.9193616352174834,0.0
9,9,land plants,1,0,5,1.0,0.0,1.0,0.0,0.0,2.189189189189189,0.0,1.9193616352174834,0.0
10,10,terrestrial heterotroph microbes,1,2,3,2.5,1.0,2.25,40.5,60.75,2.7,40.5,2.7,60.75
11,11,terrestrial heterotroph microbes,1,1,4,2.0,1.0,2.25,81.0,60.75,2.7,81.0,2.7,60.75
12,12,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,81.0,81.0,2.892857142857143,81.0,3.1365699614786835,81.0
13,13,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,81.0,81.0,2.892857142857143,81.0,3.1365699614786835,81.0
14,14;24,terrestrial saprotrophs,2,1,4,2.0,1.0,2.0,81.0,81.0,3.0,81.0,3.1365699614786835,81.0
15,15,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,81.0,81.0,2.793103448275862,81.0,3.1365699614786835,81.0
16,16,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,81.0,81.0,2.892857142857143,81.0,3.1365699614786835,81.0
17,17,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,81.0,81.0,3.0,81.0,3.1365699614786835,81.0
