trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,18,1.0,0.0,1.0,0.0,0.0,1.7777777777777777,0.0,1.7777777777777777,0.0
2,2,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,2.962962962962963,0.0,2.8375661375661374,0.0
3,3,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,2.962962962962963,0.0,2.8375661375661374,0.0
4,4,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,2.2857142857142856,0.0,2.8375661375661374,0.0
5,5,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,3.2,0.0,2.8375661375661374,0.0
6,6,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,2.8375661375661374,0.0
7,7,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,2.2222222222222223,0.0,2.8375661375661374,0.0
8,8,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,3.2,0.0,2.8375661375661374,0.0
9,9,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,3.2,0.0,2.8375661375661374,0.0
10,10;11,terrestrial heterotroph microbes,2,2,2,2.5,1.0,2.5,80.0,80.0,10.0,80.0,10.0,80.0
12,12;24,terrestrial saprotrophs,2,1,2,2.0,1.0,2.0,80.0,80.0,8.88888888888889,80.0,16.0703247369914,80.0
13,13,terrestrial saprotrophs,1,1,1,2.0,1.0,2.0,80.0,80.0,80.0,80.0,16.0703247369914,80.0
14,14;16;20;21,terrestrial saprotrophs,4,1,1,2.0,1.0,2.0,80.0,80.0,10.0,80.0,16.0703247369914,80.0
15,15;19,terrestrial saprotrophs,2,1,4,2.0,1.0,2.0,80.0,80.0,5.333333333333333,80.0,16.0703247369914,80.0
17,17;18,terrestrial saprotrophs,2,1,2,2.0,1.0,2.0,80.0,80.0,7.2727272727272725,80.0,16.0703247369914,80.0
22,22,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,80.0,80.0,6.153846153846154,80.0,16.0703247369914,80.0
23,23,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,80.0,80.0,8.88888888888889,80.0,16.0703247369914,80.0
25,25,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,80.0,80.0,11.428571428571429,80.0,16.0703247369914,80.0
26,26,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,80.0,80.0,6.666666666666667,80.0,16.0703247369914,80.0
27,27,mycorrhizae,1,9,2,2.0,1.0,2.0,8.88888888888889,39.75308641975309,8.88888888888889,8.88888888888889,25.74635241301908,39.75308641975309
28,28,mycorrhizae,1,1,0,2.0,1.0,2.0,80.0,39.75308641975309,0.0,80.0,25.74635241301908,39.75308641975309
29,29,mycorrhizae,1,4,1,2.0,1.0,2.0,20.0,39.75308641975309,80.0,20.0,25.74635241301908,39.75308641975309
30,30,mycorrhizae,1,4,2,2.0,1.0,2.0,20.0,39.75308641975309,20.0,20.0,25.74635241301908,39.75308641975309
31,31,mycorrhizae,1,2,0,2.0,1.0,2.0,40.0,39.75308641975309,0.0,40.0,25.74635241301908,39.75308641975309
32,32,mycorrhizae,1,1,1,2.0,1.0,2.0,80.0,39.75308641975309,80.0,80.0,25.74635241301908,39.75308641975309
33,33,mycorrhizae,1,1,1,2.0,1.0,2.0,80.0,39.75308641975309,26.666666666666668,80.0,25.74635241301908,39.75308641975309
34,34,mycorrhizae,1,4,3,2.0,1.0,2.0,20.0,39.75308641975309,7.2727272727272725,20.0,25.74635241301908,39.75308641975309
35,35,mycorrhizae,1,9,2,2.0,1.0,2.0,8.88888888888889,39.75308641975309,8.88888888888889,8.88888888888889,25.74635241301908,39.75308641975309
36,36,plant parasites,1,7,0,2.0,1.0,2.0,11.428571428571429,41.10657596371882,0.0,11.428571428571429,25.555555555555554,41.10657596371882
37,37,plant parasites,1,1,1,2.0,1.0,2.0,80.0,41.10657596371882,80.0,80.0,25.555555555555554,41.10657596371882
38,38,plant parasites,1,5,2,2.0,1.0,2.0,16.0,41.10657596371882,8.88888888888889,16.0,25.555555555555554,41.10657596371882
39,39,plant parasites,1,7,1,2.0,1.0,2.0,11.428571428571429,41.10657596371882,80.0,11.428571428571429,25.555555555555554,41.10657596371882
40,40,plant parasites,1,9,0,2.0,1.0,2.0,8.88888888888889,41.10657596371882,0.0,8.88888888888889,25.555555555555554,41.10657596371882
41,41,plant parasites,1,1,0,2.0,1.0,2.0,80.0,41.10657596371882,0.0,80.0,25.555555555555554,41.10657596371882
42,42,plant parasites,1,1,1,2.0,1.0,2.0,80.0,41.10657596371882,10.0,80.0,25.555555555555554,41.10657596371882
43,43,fungal parasites,1,11,0,3.0,2.0,3.0,2.7586206896551726,3.7983281086729366,0.0,2.7586206896551726,0.0,3.7983281086729366
44,44,fungal parasites,1,2,0,3.0,2.0,3.0,5.0,3.7983281086729366,0.0,5.0,0.0,3.7983281086729366
45,45,fungal parasites,1,4,0,3.0,2.0,3.0,3.6363636363636362,3.7983281086729366,0.0,3.6363636363636362,0.0,3.7983281086729366
46,46,terrestrial microbivores,1,8,2,3.0,2.0,3.0,3.076923076923077,3.076923076923077,20.0,3.076923076923077,20.0,3.076923076923077
47,47,terrestrial detritivores,1,12,2,2.6666666666666665,1.0,2.833333333333333,6.666666666666667,16.666666666666668,20.0,6.666666666666667,23.333333333333336,16.666666666666668
48,48,terrestrial detritivores,1,1,3,3.0,2.0,2.833333333333333,26.666666666666668,16.666666666666668,26.666666666666668,26.666666666666668,23.333333333333336,16.666666666666668
49,49,mites,1,1,3,3.0,2.0,3.0,8.88888888888889,17.77777777777778,26.666666666666668,8.88888888888889,26.666666666666668,17.77777777777778
50,50,mites,1,1,1,3.0,2.0,3.0,26.666666666666668,17.77777777777778,26.666666666666668,26.666666666666668,26.666666666666668,17.77777777777778
51,51,terrestrial arthropod predators (1),1,1,1,2.0,1.0,2.6666666666666665,80.0,28.333333333333332,26.666666666666668,80.0,23.111111111111114,28.333333333333332
52,52,terrestrial arthropod predators (1),1,2,1,4.0,3.0,2.6666666666666665,5.0,28.333333333333332,26.666666666666668,5.0,23.111111111111114,28.333333333333332
53,53,terrestrial arthropod predators (1),1,1,4,2.0,1.0,2.6666666666666665,0.0,28.333333333333332,16.0,0.0,23.111111111111114,28.333333333333332
54,54,terrestrial arthropod predators (2),1,2,2,4.5,3.0,3.744117647058823,1.8181818181818181,1.3596590428273596,26.666666666666668,1.8181818181818181,48.0,1.3596590428273596
55,55,terrestrial arthropod predators (2),1,1,2,2.0,1.0,3.744117647058823,0.0,1.3596590428273596,26.666666666666668,0.0,48.0,1.3596590428273596
56,56,terrestrial arthropod predators (2),1,3,1,4.470588235294118,4.0,3.744117647058823,0.7920792079207921,1.3596590428273596,80.0,0.7920792079207921,48.0,1.3596590428273596
57,57,terrestrial arthropod predators (2),1,13,2,4.55,3.0,3.744117647058823,1.1111111111111112,1.3596590428273596,80.0,1.1111111111111112,48.0,1.3596590428273596
