trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,23,1.0,0.0,1.0,0.0,0.0,1.3448275862068966,0.0,1.3448275862068966,0.0
2,2,land plants,1,0,4,1.0,0.0,1.0,0.0,0.0,2.1666666666666665,0.0,2.2167667521329077,0.0
3,3,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,2.3636363636363638,0.0,2.2167667521329077,0.0
4,4,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,2.1666666666666665,0.0,2.2167667521329077,0.0
5,5,land plants,1,0,5,1.0,0.0,1.0,0.0,0.0,2.3636363636363638,0.0,2.2167667521329077,0.0
6,6,land plants,1,0,4,1.0,0.0,1.0,0.0,0.0,2.6,0.0,2.2167667521329077,0.0
7,7,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,1.813953488372093,0.0,2.2167667521329077,0.0
8,8,land plants,1,0,6,1.0,0.0,1.0,0.0,0.0,2.6,0.0,2.2167667521329077,0.0
9,9,land plants,1,0,11,1.0,0.0,1.0,0.0,0.0,1.6595744680851063,0.0,2.2167667521329077,0.0
10,10,terrestrial heterotroph microbes,1,1,4,2.0,1.0,2.0,0.0,19.5,5.571428571428571,0.0,15.785714285714285,19.5
11,11,terrestrial heterotroph microbes,1,2,1,2.0,1.0,2.0,39.0,19.5,26.0,39.0,15.785714285714285,19.5
12,12,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,78.0,78.0,4.875,78.0,5.345641711229947,78.0
13,13;22,terrestrial saprotrophs,2,1,2,2.0,1.0,2.0,78.0,78.0,7.090909090909091,78.0,5.345641711229947,78.0
14,14;24,terrestrial saprotrophs,2,1,0,2.0,1.0,2.0,78.0,78.0,0.0,78.0,5.345641711229947,78.0
15,15,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,78.0,78.0,7.090909090909091,78.0,5.345641711229947,78.0
16,16;17;18,terrestrial saprotrophs,3,1,1,2.0,1.0,2.0,78.0,78.0,7.8,78.0,5.345641711229947,78.0
19,19;23,terrestrial saprotrophs,2,1,2,2.0,1.0,2.0,78.0,78.0,7.090909090909091,78.0,5.345641711229947,78.0
20,20,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,78.0,78.0,3.5454545454545454,78.0,5.345641711229947,78.0
21,21,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,78.0,78.0,4.588235294117647,78.0,5.345641711229947,78.0
25,25,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,78.0,78.0,6.5,78.0,5.345641711229947,78.0
26,26,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,78.0,78.0,4.875,78.0,5.345641711229947,78.0
27,27,mycorrhizae,1,8,1,2.0,1.0,2.0,9.75,33.34259259259259,4.875,9.75,3.884803921568628,33.34259259259259
28,28,mycorrhizae,1,9,0,2.0,1.0,2.0,8.666666666666666,33.34259259259259,0.0,8.666666666666666,3.884803921568628,33.34259259259259
29,29,mycorrhizae,1,1,1,2.0,1.0,2.0,78.0,33.34259259259259,7.8,78.0,3.884803921568628,33.34259259259259
30,30,mycorrhizae,1,9,3,2.0,1.0,2.0,8.666666666666666,33.34259259259259,4.588235294117647,8.666666666666666,3.884803921568628,33.34259259259259
31,31,mycorrhizae,1,2,3,2.0,1.0,2.0,39.0,33.34259259259259,6.5,39.0,3.884803921568628,33.34259259259259
32,32,mycorrhizae,1,3,2,2.0,1.0,2.0,26.0,33.34259259259259,6.0,26.0,3.884803921568628,33.34259259259259
33,33,mycorrhizae,1,6,0,2.0,1.0,2.0,13.0,33.34259259259259,0.0,13.0,3.884803921568628,33.34259259259259
34,34,mycorrhizae,1,1,0,2.0,1.0,2.0,78.0,33.34259259259259,0.0,78.0,3.884803921568628,33.34259259259259
35,35,mycorrhizae,1,2,2,2.0,1.0,2.0,39.0,33.34259259259259,5.2,39.0,3.884803921568628,33.34259259259259
36,36,plant parasites,1,3,2,2.0,1.0,2.0,26.0,38.17755102040816,7.090909090909091,26.0,6.1325700615174314,38.17755102040816
37,37,plant parasites,1,1,4,2.0,1.0,2.0,78.0,38.17755102040816,4.105263157894737,78.0,6.1325700615174314,38.17755102040816
38,38,plant parasites,1,2,2,2.0,1.0,2.0,39.0,38.17755102040816,7.090909090909091,39.0,6.1325700615174314,38.17755102040816
39,39,plant parasites,1,5,1,2.0,1.0,2.0,15.6,38.17755102040816,7.8,15.6,6.1325700615174314,38.17755102040816
40,40,plant parasites,1,4,1,2.0,1.0,2.0,19.5,38.17755102040816,4.875,19.5,6.1325700615174314,38.17755102040816
41,41,plant parasites,1,7,1,2.0,1.0,2.0,11.142857142857142,38.17755102040816,4.875,11.142857142857142,6.1325700615174314,38.17755102040816
42,42,plant parasites,1,1,2,2.0,1.0,2.0,78.0,38.17755102040816,7.090909090909091,78.0,6.1325700615174314,38.17755102040816
43,43,fungal parasites,1,2,0,3.0,2.0,3.0,9.75,5.742374727668845,0.0,9.75,5.2,5.742374727668845
44,44,fungal parasites,1,1,1,3.0,2.0,3.0,4.588235294117647,5.742374727668845,7.8,4.588235294117647,5.2,5.742374727668845
45,45,fungal parasites,1,9,1,3.0,2.0,3.0,2.888888888888889,5.742374727668845,7.8,2.888888888888889,5.2,5.742374727668845
46,46,terrestrial microbivores,1,21,3,3.3076923076923075,2.0,3.3076923076923075,1.7333333333333334,1.7333333333333334,15.6,1.7333333333333334,15.6,1.7333333333333334
47,47,terrestrial detritivores,1,7,1,2.571428571428571,2.0,2.6190476190476186,8.666666666666666,10.833333333333332,78.0,8.666666666666666,78.0,10.833333333333332
48,48,terrestrial detritivores,1,4,1,2.6666666666666665,2.0,2.6190476190476186,13.0,10.833333333333332,78.0,13.0,78.0,10.833333333333332
49,49,mites,1,2,1,2.6666666666666665,2.0,2.7222222222222223,19.5,12.535714285714285,78.0,19.5,45.5,12.535714285714285
50,50,mites,1,6,4,2.7777777777777777,2.0,2.7222222222222223,5.571428571428571,12.535714285714285,13.0,5.571428571428571,45.5,12.535714285714285
51,51,terrestrial arthropod predators (1),1,1,3,3.7272727272727275,3.0,3.209090909090909,1.813953488372093,0.9337650868413306,15.6,1.813953488372093,57.199999999999996,0.9337650868413306
52,52,terrestrial arthropod predators (1),1,1,2,2.0,1.0,3.209090909090909,0.0,0.9337650868413306,78.0,0.0,57.199999999999996,0.9337650868413306
53,53,terrestrial arthropod predators (1),1,1,1,3.9,3.0,3.209090909090909,0.9873417721518988,0.9337650868413306,78.0,0.9873417721518988,57.199999999999996,0.9337650868413306
54,54,terrestrial arthropod predators (2),1,6,2,4.7936507936507935,3.0,4.458054026208184,0.8210526315789474,1.294400568025904,26.0,0.8210526315789474,32.5,1.294400568025904
55,55,terrestrial arthropod predators (2),1,1,2,4.833333333333334,4.0,4.458054026208184,0.5693430656934306,1.294400568025904,39.0,0.5693430656934306,32.5,1.294400568025904
56,56,terrestrial arthropod predators (2),1,1,1,3.666666666666667,3.0,4.458054026208184,3.12,1.294400568025904,78.0,3.12,32.5,1.294400568025904
57,57,terrestrial arthropod predators (2),1,12,1,4.64367816091954,3.0,4.458054026208184,0.7428571428571429,1.294400568025904,0.0,0.7428571428571429,32.5,1.294400568025904
58,58,terrestrial arthropod predators (2),1,2,2,4.352941176470589,4.0,4.458054026208184,1.21875,1.294400568025904,19.5,1.21875,32.5,1.294400568025904
59,59,aquatic detritus,1,0,2,1.0,0.0,1.0,0.0,0.0,13.0,0.0,13.0,0.0
60,60,aquatic heterotroph microbes,1,1,2,2.0,1.0,2.6666666666666665,78.0,32.696969696969695,19.5,78.0,32.5,32.696969696969695
61,61,aquatic heterotroph microbes,1,1,2,3.0,2.0,2.6666666666666665,7.090909090909091,32.696969696969695,39.0,7.090909090909091,32.5,32.696969696969695
62,62,aquatic heterotroph microbes,1,7,3,3.0,1.0,2.6666666666666665,13.0,32.696969696969695,39.0,13.0,32.5,32.696969696969695
63,63;64,aquatic unicellular/small algae,2,0,4,1.0,0.0,1.0,0.0,0.0,13.0,0.0,13.247619047619049,0.0
65,65;67,aquatic unicellular/small algae,2,0,3,1.0,0.0,1.0,0.0,0.0,15.6,0.0,13.247619047619049,0.0
66,66,aquatic unicellular/small algae,1,0,5,1.0,0.0,1.0,0.0,0.0,11.142857142857142,0.0,13.247619047619049,0.0
68,68;70;71;73;74;78,planktic large colonial algae,6,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,benthic filamentous algae,1,0,1,1.0,0.0,1.0,0.0,0.0,78.0,0.0,78.0,0.0
72,72,benthic filamentous algae,1,0,1,1.0,0.0,1.0,0.0,0.0,78.0,0.0,78.0,0.0
75,75,other benthic/epiphytic algae,1,0,2,1.0,0.0,1.0,0.0,0.0,9.75,0.0,13.216666666666667,0.0
76,76,other benthic/epiphytic algae,1,0,1,1.0,0.0,1.0,0.0,0.0,26.0,0.0,13.216666666666667,0.0
77,77,other benthic/epiphytic algae,1,0,3,1.0,0.0,1.0,0.0,0.0,3.9,0.0,13.216666666666667,0.0
79,79,partially terrestrial epilithic/epiphytic algae,1,0,4,1.0,0.0,1.0,0.0,0.0,3.7142857142857144,0.0,5.7519841269841265,0.0
80,80,partially terrestrial epilithic/epiphytic algae,1,0,1,1.0,0.0,1.0,0.0,0.0,4.875,0.0,5.7519841269841265,0.0
81,81,partially terrestrial epilithic/epiphytic algae,1,0,3,1.0,0.0,1.0,0.0,0.0,8.666666666666666,0.0,5.7519841269841265,0.0
82,82;83;84;85;86,aquatic saprotrophs,5,1,0,2.0,1.0,2.0,78.0,78.0,0.0,78.0,0.0,78.0
87,87,small algae parasites,1,6,1,2.0,1.0,2.0,13.0,13.0,78.0,13.0,78.0,13.0
88,88,aquatic macrophyte parasites,1,1,0,2.0,1.0,2.0,78.0,78.0,0.0,78.0,0.0,78.0
89,89,nematodes,1,9,1,2.869565217391304,2.0,2.869565217391304,3.12,3.12,7.8,3.12,7.8,3.12
90,90,swimming filter feeders,1,7,0,3.0555555555555554,2.0,2.5277777777777777,5.2,22.1,0.0,5.2,0.0,22.1
91,91,swimming filter feeders,1,2,0,2.0,1.0,2.5277777777777777,39.0,22.1,0.0,39.0,0.0,22.1
92,92,swimming scrapers,1,3,2,2.0,1.0,2.0,26.0,26.0,39.0,26.0,39.0,26.0
93,93,arthropod  omnivores,1,2,0,2.75,2.0,2.375,9.75,43.875,0.0,9.75,0.0,43.875
94,94,arthropod  omnivores,1,1,0,2.0,1.0,2.375,78.0,43.875,0.0,78.0,0.0,43.875
95,95,benthic predators,1,1,0,3.0,2.0,3.0,11.142857142857142,11.142857142857142,0.0,11.142857142857142,0.0,11.142857142857142
