trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,23,1.0,0.0,1.0,0.0,0.0,1.1944444444444444,0.0,1.1944444444444444,0.0
2,2,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.72,0.0,1.7618144678820147,0.0
3,3,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.72,0.0,1.7618144678820147,0.0
4,4,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,1.5636363636363637,0.0,1.7618144678820147,0.0
5,5,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,1.9545454545454546,0.0,1.7618144678820147,0.0
6,6,land plants,1,0,5,1.0,0.0,1.0,0.0,0.0,1.7916666666666667,0.0,1.7618144678820147,0.0
7,7,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,1.8695652173913044,0.0,1.7618144678820147,0.0
8,8,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,1.7551020408163265,0.0,1.7618144678820147,0.0
9,9,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.72,0.0,1.7618144678820147,0.0
10,10,terrestrial heterotroph microbes,1,1,6,2.0,1.0,2.0,0.0,43.0,5.0588235294117645,0.0,6.829411764705882,43.0
11,11,terrestrial heterotroph microbes,1,2,2,2.0,1.0,2.0,86.0,43.0,8.6,86.0,6.829411764705882,43.0
12,12,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,86.0,86.0,3.739130434782609,86.0,4.444491447321984,86.0
13,13,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,86.0,86.0,3.185185185185185,86.0,4.444491447321984,86.0
14,14,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,86.0,86.0,2.774193548387097,86.0,4.444491447321984,86.0
15,15,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,86.0,86.0,2.8666666666666667,86.0,4.444491447321984,86.0
16,16,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,86.0,86.0,6.142857142857143,86.0,4.444491447321984,86.0
17,17,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,86.0,86.0,2.774193548387097,86.0,4.444491447321984,86.0
18,18,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,86.0,86.0,5.0588235294117645,86.0,4.444491447321984,86.0
19,19,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,86.0,86.0,7.166666666666667,86.0,4.444491447321984,86.0
20,20,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,86.0,86.0,6.142857142857143,86.0,4.444491447321984,86.0
21,21,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,86.0,86.0,3.185185185185185,86.0,4.444491447321984,86.0
22,22;25,terrestrial saprotrophs,2,1,2,2.0,1.0,2.0,86.0,86.0,5.375,86.0,4.444491447321984,86.0
23,23,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,86.0,86.0,2.606060606060606,86.0,4.444491447321984,86.0
24,24,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,86.0,86.0,8.6,86.0,4.444491447321984,86.0
26,26,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,86.0,86.0,2.606060606060606,86.0,4.444491447321984,86.0
27,27,mycorrhizae,1,4,4,2.0,1.0,2.0,21.5,31.772222222222222,6.142857142857143,21.5,4.931982254300262,31.772222222222222
28,28,mycorrhizae,1,6,3,2.0,1.0,2.0,14.333333333333334,31.772222222222222,3.185185185185185,14.333333333333334,4.931982254300262,31.772222222222222
29,29,mycorrhizae,1,2,4,2.0,1.0,2.0,43.0,31.772222222222222,3.0714285714285716,43.0,4.931982254300262,31.772222222222222
30,30,mycorrhizae,1,3,5,2.0,1.0,2.0,28.666666666666668,31.772222222222222,2.9655172413793105,28.666666666666668,4.931982254300262,31.772222222222222
31,31,mycorrhizae,1,4,3,2.0,1.0,2.0,21.5,31.772222222222222,7.818181818181818,21.5,4.931982254300262,31.772222222222222
32,32,mycorrhizae,1,8,2,2.0,1.0,2.0,10.75,31.772222222222222,5.375,10.75,4.931982254300262,31.772222222222222
33,33,mycorrhizae,1,1,2,2.0,1.0,2.0,86.0,31.772222222222222,6.615384615384615,86.0,4.931982254300262,31.772222222222222
34,34,mycorrhizae,1,5,4,2.0,1.0,2.0,17.2,31.772222222222222,3.0714285714285716,17.2,4.931982254300262,31.772222222222222
35,35,mycorrhizae,1,2,3,2.0,1.0,2.0,43.0,31.772222222222222,6.142857142857143,43.0,4.931982254300262,31.772222222222222
36,36,plant parasites,1,9,4,2.0,1.0,2.0,9.555555555555555,41.885185185185186,3.0714285714285716,9.555555555555555,5.8248556998557,41.885185185185186
37,37,plant parasites,1,5,2,2.0,1.0,2.0,17.2,41.885185185185186,5.375,17.2,5.8248556998557,41.885185185185186
38,38,plant parasites,1,1,3,2.0,1.0,2.0,86.0,41.885185185185186,7.818181818181818,86.0,5.8248556998557,41.885185185185186
39,39;40,plant parasites,2,1,2,2.0,1.0,2.0,86.0,41.885185185185186,5.375,86.0,5.8248556998557,41.885185185185186
41,41,plant parasites,1,2,4,2.0,1.0,2.0,43.0,41.885185185185186,7.166666666666667,43.0,5.8248556998557,41.885185185185186
42,42,plant parasites,1,9,3,2.0,1.0,2.0,9.555555555555555,41.885185185185186,6.142857142857143,9.555555555555555,5.8248556998557,41.885185185185186
43,43,fungal parasites,1,23,1,3.0,2.0,3.0,2.097560975609756,2.321409214092141,9.555555555555555,2.097560975609756,7.564814814814814,2.321409214092141
44,44,fungal parasites,1,25,1,3.0,2.0,3.0,2.0,2.321409214092141,9.555555555555555,2.0,7.564814814814814,2.321409214092141
45,45,fungal parasites,1,12,1,3.0,2.0,3.0,2.8666666666666667,2.321409214092141,3.5833333333333335,2.8666666666666667,7.564814814814814,2.321409214092141
46,46,terrestrial microbivores,1,13,3,3.0,2.0,3.0,2.774193548387097,2.774193548387097,17.2,2.774193548387097,17.2,2.774193548387097
47,47,terrestrial detritivores,1,2,2,3.0,2.0,3.0,21.5,19.35,21.5,21.5,25.083333333333336,19.35
48,48,terrestrial detritivores,1,3,3,3.0,2.0,3.0,17.2,19.35,28.666666666666668,17.2,25.083333333333336,19.35
49,49,mites,1,6,4,2.875,2.0,3.125811688311688,5.375,3.359375,14.333333333333334,5.375,17.916666666666668,3.359375
50,50,mites,1,26,4,3.3766233766233764,2.0,3.125811688311688,1.34375,3.359375,21.5,1.34375,17.916666666666668,3.359375
51,51,terrestrial arthropod predators (1),1,5,4,4.297872340425532,3.0,4.616937838965374,0.7962962962962963,0.9033937178591267,28.666666666666668,0.7962962962962963,29.622222222222224,0.9033937178591267
52,52,terrestrial arthropod predators (1),1,7,3,4.352941176470589,3.0,4.616937838965374,0.8113207547169812,0.9033937178591267,43.0,0.8113207547169812,29.622222222222224,0.9033937178591267
53,53,terrestrial arthropod predators (1),1,2,6,5.2,4.0,4.616937838965374,1.1025641025641026,0.9033937178591267,17.2,1.1025641025641026,29.622222222222224,0.9033937178591267
54,54,terrestrial arthropod predators (2),1,7,1,4.7384615384615385,3.0,4.5406216006216,0.671875,2.7915379072681703,86.0,0.671875,54.46666666666666,2.7915379072681703
55,55,terrestrial arthropod predators (2),1,13,2,4.5858585858585865,3.0,4.5406216006216,0.7543859649122807,2.7915379072681703,86.0,0.7543859649122807,54.46666666666666,2.7915379072681703
56,56,terrestrial arthropod predators (2),1,2,2,5.545454545454545,5.0,4.5406216006216,0.86,2.7915379072681703,43.0,0.86,54.46666666666666,2.7915379072681703
57,57,terrestrial arthropod predators (2),1,1,1,3.833333333333333,3.0,4.5406216006216,3.0714285714285716,2.7915379072681703,28.666666666666668,3.0714285714285716,54.46666666666666,2.7915379072681703
58,58,terrestrial arthropod predators (2),1,1,1,4.0,3.0,4.5406216006216,8.6,2.7915379072681703,28.666666666666668,8.6,54.46666666666666,2.7915379072681703
59,59,aquatic detritus,1,0,4,1.0,0.0,1.0,0.0,0.0,5.0588235294117645,0.0,5.0588235294117645,0.0
60,60,aquatic heterotroph microbes,1,9,5,2.9583333333333335,1.0,2.8845238095238095,10.75,8.795454545454547,9.555555555555555,10.75,8.657912457912458,8.795454545454547
61,61,aquatic heterotroph microbes,1,6,3,3.0952380952380953,2.0,2.8845238095238095,7.818181818181818,8.795454545454547,7.818181818181818,7.818181818181818,8.657912457912458,8.795454545454547
62,62,aquatic heterotroph microbes,1,5,3,2.6,2.0,2.8845238095238095,7.818181818181818,8.795454545454547,8.6,7.818181818181818,8.657912457912458,8.795454545454547
63,63,aquatic unicellular/small algae,1,0,3,1.0,0.0,1.0,0.0,0.0,6.142857142857143,0.0,6.741391941391941,0.0
64,64,aquatic unicellular/small algae,1,0,4,1.0,0.0,1.0,0.0,0.0,6.615384615384615,0.0,6.741391941391941,0.0
