"Metric","RhynieModernDiff","normalizedDiff","PVal"
"C","0.02851939559","0.218668378826366","0"
"L_D","-0.529758642368","-4.06184847537533","0"
"Mean_NTP","0.180546541348","1.38431473327288","0"
"Mean_NTP_norm","0.066386434875","0.509008476156784","0"
"Max_NTP","-0.313177848374","-2.40124627368627","0"
"TrOmniv","0.30612947728","2.34720389836216","0"
"q_inCoherence","0.137337289142","1.05301398391554","0"
"Mean_longest_chain","0.165803702916","1.27127613226007","0"
"Mean_path_len","-0.156573189239","-1.20050249138418","0"
"Std_path_len","-0.133106450626","-1.0205746358778","0"
"MeanInDegree","-0.458423466105","-3.514896233786","0"
"StdInDegree","-1.454432456546","-11.1516524388364","0"
"Basal","0.038998854065","0.299018124965796","0"
"Herbiv","-0.393514918858","-3.01721924923402","0"
"Carniv","0.246519621438","1.89015387084986","0"
"Top","-0.00734297461700001","-0.0563012056197138","0.0042"
