Analysis,SLN_ID,habitat,vertebrates,resource_type,Detritus,S,Interactions,L_D,C,Basal,Top,Herbiv,Carniv,MeanInDegree,StdInDegree,Mean_longest_chain,Mean_NTP,Max_NTP,Mean_NTP_norm,TrOmniv,q_inCoherence,Mean_path_len,Std_path_len
Rhynie_lumped,29,both,no,mixed,2,37,50,1.351351351,0.037537538,0.314285714,0.297297297,0.333333333,0.583333333,2.083333333,1.909169331,1.27027027,2.319237563,5,0.463847513,0.291666667,0.584038175,2.007407407,0.893561516
Rhynie_lumped,3,both,no,mixed,2,37,104,2.810810811,0.078078078,0.314285714,0,0.166666667,0.541666667,4.333333333,3.930556622,1.405405405,2.4153414,4.568181818,0.528731451,0.625,0.78826153,1.917241379,0.771494288
Rhynie_lumped,30,both,no,mixed,2,37,97,2.621621622,0.072822823,0.314285714,0.135135135,0.208333333,0.458333333,4.041666667,3.48261729,1.432432432,2.356520633,4.714285714,0.499868013,0.666666667,0.744056417,1.858447489,0.874228027
Rhynie_lumped,31,both,no,mixed,2,37,68,1.837837838,0.051051051,0.314285714,0.135135135,0.291666667,0.5,2.833333333,3.116110545,1.378378378,2.429449203,6,0.4049082,0.333333333,0.800730353,2.233502538,1.118624527
Rhynie_lumped,32,both,no,mixed,2,37,80,2.162162162,0.06006006,0.314285714,0.162162162,0.25,0.458333333,3.333333333,2.914232939,1.486486486,2.467143682,5.666666667,0.435378297,0.666666667,0.773303888,1.940860215,0.998240242
Rhynie_lumped,33,both,no,mixed,2,37,51,1.378378378,0.038288288,0.314285714,0.27027027,0.291666667,0.5,2.125,2.251810865,1.378378378,2.28967429,5,0.457934858,0.458333333,0.630853019,1.747368421,0.933631904
Rhynie_lumped,34,both,no,mixed,2,37,79,2.135135135,0.059309309,0.314285714,0.027027027,0.208333333,0.5,3.291666667,3.155108579,1.432432432,2.402960395,4.84,0.496479421,0.625,0.774151396,2.121495327,1.022840383
Rhynie_lumped,35,both,no,mixed,2,37,72,1.945945946,0.054054054,0.314285714,0.135135135,0.208333333,0.666666667,3,3.050302907,1.162162162,2.242281702,5.523809524,0.405930308,0.375,1.245316344,2.12,1.17071547
Rhynie_lumped,36,both,no,mixed,2,37,97,2.621621622,0.072822823,0.314285714,0,0.166666667,0.458333333,4.041666667,3.605300044,1.297297297,2.31436883,4.6,0.503123659,0.666666667,0.825991584,1.912087912,0.785648173
Rhynie_lumped,37,both,no,mixed,2,37,63,1.702702703,0.047297297,0.314285714,0.189189189,0.291666667,0.541666667,2.625,2.567565248,1.108108108,2.070763133,4.1875,0.494510599,0.291666667,0.496097736,1.741496599,0.741051043
Rhynie_lumped,38,both,no,mixed,2,37,83,2.243243243,0.062312312,0.314285714,0.108108108,0.083333333,0.541666667,3.458333333,3.659165582,1.486486486,2.403008271,4.888888889,0.491524419,0.75,0.700257891,1.991071429,0.873070307
Rhynie_lumped,39,both,no,mixed,2,37,72,1.945945946,0.054054054,0.314285714,0,0.25,0.541666667,3,3.134658986,1.621621622,2.39930129,5.428571429,0.441976553,0.625,0.903934803,2.305825243,1.225208812
Rhynie_lumped,4,both,no,mixed,2,37,73,1.972972973,0.054804805,0.314285714,0.054054054,0.166666667,0.458333333,3.041666667,2.053187695,1.540540541,2.393944887,5.210526316,0.459443968,0.708333333,0.862377771,2.104761905,0.96764707
Rhynie_lumped,40,both,no,mixed,2,37,96,2.594594595,0.072072072,0.314285714,0.027027027,0.25,0.416666667,4,3.526298712,1.351351351,2.256830619,4,0.564207655,0.708333333,0.613118901,1.632352941,0.625510513
Rhynie_lumped,41,both,no,mixed,2,37,80,2.162162162,0.06006006,0.314285714,0.108108108,0.25,0.583333333,3.333333333,3.39650289,1.567567568,2.491379683,4.795918367,0.519479168,0.541666667,0.853098005,2.02293578,0.957351668
Rhynie_lumped,42,both,no,mixed,2,37,78,2.108108108,0.058558559,0.314285714,0.027027027,0.25,0.5,3.25,3.220180929,1.297297297,2.243114274,4.9,0.457778423,0.625,0.694725781,1.856382979,0.843732288
Rhynie_lumped,43,both,no,mixed,2,37,79,2.135135135,0.059309309,0.314285714,0.135135135,0.25,0.541666667,3.291666667,2.866283257,1.324324324,2.367098814,4.612903226,0.513147295,0.583333333,0.734501974,1.924170616,0.801150155
Rhynie_lumped,44,both,no,mixed,2,37,87,2.351351351,0.065315315,0.314285714,0.027027027,0.208333333,0.541666667,3.625,3.633330009,1.459459459,2.340889706,4.6,0.508889066,0.625,0.772723274,1.93697479,0.816637703
Rhynie_lumped,45,both,no,mixed,2,37,97,2.621621622,0.072822823,0.314285714,0,0.208333333,0.5,4.041666667,3.723943289,1.486486486,2.373283825,4.458333333,0.532325344,0.625,0.790551355,1.853982301,0.833150422
Rhynie_lumped,46,both,no,mixed,2,37,85,2.297297297,0.063813814,0.314285714,0.108108108,0.125,0.458333333,3.541666667,3.021361148,1.432432432,2.374456196,4.603448276,0.515799473,0.75,0.713376627,1.894009217,0.823728571
Rhynie_lumped,47,both,no,mixed,2,37,73,1.972972973,0.054804805,0.314285714,0.216216216,0.125,0.458333333,3.041666667,2.312144998,1.432432432,2.353109355,5,0.470621871,0.666666667,0.556213296,2.097345133,0.899032584
Rhynie_lumped,48,both,no,mixed,2,37,98,2.648648649,0.073573574,0.314285714,0.054054054,0.166666667,0.458333333,4.083333333,3.549852008,1.378378378,2.349342074,4.684210526,0.501544937,0.75,0.625476844,1.87732342,0.770131974
