SLN_no,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
65,104,2.810810811,0.078078078,0.297297297,0.027027027,0.125,0.541666667,4.333333333,3.509820591,1.351351351,2.286568797,4.630434783,0.49381298,0.625,0.682022841,1.841509434,0.757146248,0
66,73,1.972972973,0.054804805,0.297297297,0.108108108,0.125,0.416666667,3.041666667,2.293263607,1.432432432,2.330805511,5,0.466161102,0.666666667,0.696656744,1.957317073,0.999083075,0
67,68,1.837837838,0.051051051,0.297297297,0.216216216,0.166666667,0.541666667,2.833333333,3.059790653,1.486486486,2.459142965,5.857142857,0.419853677,0.583333333,0.83456666,2.191860465,1.191265985,0
68,87,2.351351351,0.065315315,0.297297297,0.108108108,0.166666667,0.583333333,3.625,3.372684391,1.378378378,2.318469292,4.24137931,0.546630971,0.458333333,0.739113843,1.835616438,0.742183092,0
69,101,2.72972973,0.075825826,0.297297297,0,0.083333333,0.458333333,4.208333333,3.501293757,1.351351351,2.292732701,4.5,0.509496156,0.666666667,0.692345081,1.848484848,0.744917874,0
70,71,1.918918919,0.053303303,0.297297297,0.108108108,0.208333333,0.625,2.958333333,3.113493308,1.324324324,2.161037641,4.536585366,0.47635776,0.416666667,0.803356936,1.878787879,0.881986939,0
71,70,1.891891892,0.052552553,0.297297297,0.081081081,0.166666667,0.5,2.916666667,2.22469669,1.405405405,2.358924034,5.055555556,0.466600358,0.583333333,0.70215156,1.983425414,0.90354326,0
72,80,2.162162162,0.06006006,0.297297297,0.054054054,0.125,0.5,3.333333333,2.884240035,1.243243243,2.225678601,4.909090909,0.453378974,0.583333333,0.802598554,1.917098446,0.874027957,0
73,89,2.405405405,0.066816817,0.297297297,0.027027027,0.25,0.458333333,3.708333333,3.16885889,1.459459459,2.400564534,4.787234043,0.501451258,0.666666667,0.787385793,1.967741935,0.833853392,0
74,72,1.945945946,0.054054054,0.297297297,0.135135135,0.166666667,0.541666667,3,2.813013238,1.297297297,2.221399541,4.681818182,0.474473688,0.541666667,0.625176967,1.765432099,0.735465458,0
75,87,2.351351351,0.065315315,0.297297297,0.081081081,0.208333333,0.5,3.625,3.831363703,1.351351351,2.273033552,4.551020408,0.499455803,0.541666667,0.861969664,1.757062147,0.792556538,0
76,82,2.216216216,0.061561562,0.297297297,0.108108108,0.041666667,0.541666667,3.416666667,2.263446135,1.486486486,2.403254707,5.3,0.453444284,0.75,0.759222626,2.073059361,1.033456502,0
77,70,1.891891892,0.052552553,0.297297297,0.054054054,0.083333333,0.458333333,2.916666667,2.412227307,1.621621622,2.447125601,4.916666667,0.497720461,0.875,0.744237879,2.12,0.958421321,0
78,99,2.675675676,0.074324324,0.297297297,0.054054054,0.25,0.5,4.125,4.266273193,1.486486486,2.367966282,4.47826087,0.52876917,0.583333333,0.812452936,1.879844961,0.787240647,0
79,115,3.108108108,0.086336336,0.297297297,0,0.166666667,0.416666667,4.791666667,4.252663275,1.459459459,2.313833477,4.216216216,0.548793837,0.75,0.765516394,1.746153846,0.727947752,0
80,79,2.135135135,0.059309309,0.297297297,0.054054054,0.25,0.541666667,3.291666667,3.432316579,1.243243243,2.144089861,4.090909091,0.524110855,0.458333333,0.652159066,1.766169154,0.692856227,0
81,66,1.783783784,0.04954955,0.297297297,0.135135135,0.125,0.625,2.75,2.908009928,1.27027027,2.294052494,5,0.458810499,0.458333333,0.81679115,2.011904762,0.915522136,0
82,88,2.378378378,0.066066066,0.297297297,0.081081081,0.125,0.541666667,3.666666667,3.13003218,1.513513514,2.480006551,4.75,0.522106642,0.625,0.812162597,2.08778626,0.911780953,0
83,59,1.594594595,0.044294294,0.297297297,0.162162162,0.25,0.5,2.458333333,2.042572263,1.405405405,2.396656668,5.666666667,0.422939412,0.583333333,0.735068663,2.260273973,1.03197589,0
84,99,2.675675676,0.074324324,0.297297297,0.081081081,0.208333333,0.416666667,4.125,3.274572657,1.405405405,2.278085778,4.352941176,0.52334403,0.708333333,0.649032987,1.825910931,0.795092085,0
85,76,2.054054054,0.057057057,0.297297297,0.162162162,0.166666667,0.583333333,3.166666667,3.073967365,1.351351351,2.398900815,5.7,0.420859792,0.458333333,0.675986295,2.154929577,1.111448409,0
86,106,2.864864865,0.07957958,0.297297297,0.027027027,0.125,0.5,4.416666667,4.20058657,1.189189189,2.257171204,4.818181818,0.468469495,0.625,0.841356533,1.813278008,0.818019739,0
87,70,1.891891892,0.052552553,0.297297297,0.108108108,0.375,0.541666667,2.916666667,2.733315659,1.162162162,2.153254021,4.534883721,0.474820117,0.333333333,0.626044402,1.833333333,0.745571382,0
88,109,2.945945946,0.081831832,0.297297297,0,0.291666667,0.5,4.541666667,4.128155359,1.297297297,2.191558539,4.416666667,0.496201933,0.5,0.733515524,1.718487395,0.717880893,0
89,114,3.081081081,0.085585586,0.297297297,0,0.125,0.458333333,4.75,3.662382214,1.351351351,2.36323067,4.323076923,0.546654781,0.791666667,0.729279281,1.730337079,0.684369722,0
90,69,1.864864865,0.051801802,0.297297297,0.189189189,0.291666667,0.458333333,2.875,2.524876235,1.297297297,2.153172014,4.413793103,0.487828035,0.416666667,0.77496053,1.763513514,0.79420937,0
91,79,2.135135135,0.059309309,0.297297297,0.081081081,0.125,0.583333333,3.291666667,2.694263902,1.540540541,2.481578564,5,0.496315713,0.583333333,0.774150889,1.966183575,0.87789268,0
92,88,2.378378378,0.066066066,0.297297297,0.135135135,0.291666667,0.416666667,3.666666667,3.39650289,1.324324324,2.2326942,4.461538462,0.500431459,0.666666667,0.704492352,1.790243902,0.779581612,0
93,73,1.972972973,0.054804805,0.297297297,0.054054054,0.25,0.458333333,3.041666667,3.071314216,1.351351351,2.250820573,5,0.450164115,0.458333333,0.834433076,2.170616114,1.032467732,0
94,114,3.081081081,0.085585586,0.297297297,0,0.125,0.5,4.75,3.858925284,1.27027027,2.270759208,4.647058824,0.488644387,0.583333333,0.782772612,1.821428571,0.764516453,0
95,119,3.216216216,0.089339339,0.297297297,0,0.208333333,0.458333333,4.958333333,3.961545226,1.324324324,2.359444845,4.705882353,0.501382029,0.625,0.821677007,1.884735202,0.767982752,0
96,90,2.432432432,0.067567568,0.297297297,0.108108108,0.125,0.541666667,3.75,2.952522871,1.27027027,2.24239493,4.3125,0.519975636,0.666666667,0.665297336,1.732057416,0.682878577,0
97,98,2.648648649,0.073573574,0.297297297,0.108108108,0.125,0.458333333,4.083333333,3.693904105,1.351351351,2.270220726,5,0.454044145,0.708333333,0.577857678,1.820512821,0.829865128,0
98,90,2.432432432,0.067567568,0.297297297,0.162162162,0.166666667,0.5,3.75,3.300197623,1.540540541,2.449723011,5.090909091,0.481195592,0.666666667,0.663103284,2.066420664,0.967632521,0
99,67,1.810810811,0.0503003,0.297297297,0.189189189,0.208333333,0.583333333,2.791666667,2.858688764,1.351351351,2.234568373,4.5,0.49657075,0.5,0.612302144,1.971153846,0.785825278,0
100,95,2.567567568,0.071321321,0.297297297,0.027027027,0,0.541666667,3.958333333,3.419625795,1.432432432,2.429648658,4.210526316,0.577041556,0.75,0.789246123,1.856557377,0.769745584,0
AVERAGE,83.72,2.262702703,0.062852853,0.297297297,0.092162162,0.190833333,0.51,3.488333333,3.144392699,1.37,2.318789121,4.789843524,0.487210957,0.585416667,0.737735936,1.90731284,0.85553517,0
STANDARD DEV,14.92681135,0.403427334,0.011206315,5.02117E-16,0.071154582,0.069867399,0.058663089,0.621950473,0.585286886,0.106989504,0.094073853,0.446874784,0.037892962,0.117011126,0.099614408,0.148453799,0.127323102,0
