Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,1,1.0,0.0
2,2,2,0,1,1.0,0.0
3,3,3,0,1,1.0,0.0
4,4,4,0,3,1.0,0.0
5,5,5,0,1,1.0,0.0
6,6,6,0,2,1.0,0.0
7,7,7,0,1,1.0,0.0
8,8,8,0,1,1.0,0.0
9,9,9,0,3,1.0,0.0
10,10,10,0,1,1.0,0.0
11,11,11,0,3,1.0,0.0
12,12,12,0,1,1.0,0.0
13,13,13,0,1,1.0,0.0
14,14,14,2,0,2.0,1.0
15,15,15,1,1,2.0,1.0
16,16,16,3,3,3.0,2.0
17,17,17,3,1,2.0,1.0
18,18,18,1,1,2.0,1.0
19,19,19,1,2,2.0,1.0
20,20,20,5,2,2.875,3.0
21,21,21,2,3,3.0,3.0
22,22,22,5,3,4.5,4.0
23,23,23,3,5,4.375,4.0
24,24,24,2,4,5.166666666666666,5.0
25,25,25,3,1,4.714285714285714,5.0
26,26,26,2,0,3.7142857142857144,4.0
27,27,27,3,0,2.0,1.0
28,28,28,4,0,3.916666666666667,4.0
29,29,29,3,0,3.8,6.0
30,30,30,3,0,4.714285714285714,5.0
