Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,1,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,4,1.0,0.0
4,4,4,0,4,1.0,0.0
5,5,5,0,2,1.0,0.0
6,6,6,0,1,1.0,0.0
7,7,7,1,2,2.0,1.0
8,8,8,3,4,2.5,1.0
9,9,9,1,7,2.0,1.0
10,10,10,1,8,3.0,2.0
11,11,11,1,7,3.0,2.0
12,12,12,1,3,3.0,2.0
13,13,13,3,2,4.0,3.0
14,14,14,2,2,4.0,3.0
15,15,15,2,1,4.0,3.0
16,16,16,6,3,2.571428571428571,1.0
17,17,17,5,2,4.4,3.0
18,18,18,2,2,4.0,3.0
19,19,19,3,4,2.75,2.0
20,20,20,1,2,4.0,3.0
21,21,21,3,3,3.5,3.0
22,22,22,1,3,3.5,3.0
23,23,23,2,3,3.5,2.0
24,24,24,1,2,3.0,2.0
25,25,25,1,2,3.5,3.0
26,26,26,1,1,5.0,4.0
27,27,27,16,1,4.0,2.0
28,28,28,9,0,2.8,1.0
29,29,29,8,0,4.052631578947368,3.0
30,30,30,5,0,4.153846153846153,3.0
