Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,2,1.0,0.0
2,2,2,0,4,1.0,0.0
3,3,3,0,5,1.0,0.0
4,4,4,0,6,1.0,0.0
5,5,5,0,6,1.0,0.0
6,6,6,0,4,1.0,0.0
7,7,7,0,4,1.0,0.0
8,8,8,1,2,2.0,1.0
9,9,9,1,2,3.0,2.0
10,10,10,1,4,4.0,3.0
11,11,11,2,2,3.5,4.0
12,12,12,1,6,2.0,1.0
13,13,13,3,6,3.0,1.0
14,14,14,1,7,3.0,2.0
15,15,15,1,5,2.0,1.0
16,16,16,15,5,3.4324324324324325,2.0
17,17,17,9,4,3.2,2.0
18,18,18,5,4,2.8,2.0
19,19,19,2,3,3.0,3.0
20,20,20,5,3,3.5555555555555554,3.0
21,21,21,1,2,4.0,3.0
22,22,22,6,2,3.2857142857142856,4.0
23,23,23,11,1,3.125,2.0
24,24,24,1,1,2.0,1.0
25,25,25,2,1,3.375,3.0
26,26,26,8,1,3.4444444444444446,3.0
27,27,27,5,0,2.8,2.0
28,28,28,2,0,3.5,4.0
29,29,29,3,0,3.2222222222222223,3.0
30,30,30,6,0,3.851851851851852,3.0
