sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
"        1 lichens, mosses","        1 lichens, mosses",0,0,4,1,0
        2 detritus,        2 detritus,0,0,1,1,0
        3 scarlet mite,        3 scarlet mite,1,1,0,2,1
        4 reindeer,        4 reindeer,1,1,0,2,1
"        5 landflies, adult chironomids, Achorutes","        5 landflies, adult chironomids, Achorutes",1,1,3,2,1
        6 worm (Lumbricillus),        6 worm (Lumbricillus),1,1,1,2,1
        7 spider,        7 spider,1,1,2,3,2
        8 snow bunting,        8 snow bunting,1,3,0,3,1
        9 purple sandpiper,        9 purple sandpiper,1,3,0,3.333333333,2
