sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Entomobrya ligate,      1 Entomobrya ligate,1,1,1,3,2
      2 Lepidocyrtus cyaneus,      2 Lepidocyrtus cyaneus,1,1,2,3,2
      3 Isotoma sensibilis,      3 Isotoma sensibilis,1,1,1,3,2
      4 Pseudistoma sensibilis,      4 Pseudistoma sensibilis,1,1,2,3,2
      5 Parcoblatta sp.,      5 Parcoblatta sp.,1,1,0,3,2
      6 Tachyta nana,      6 Tachyta nana,1,9,0,3.666666667,3
      7 Canosoma crassus,      7 Canosoma crassus,1,1,0,3,2
      8 Thoracophorus costalis,      8 Thoracophorus costalis,1,1,0,3,2
      9 Acritus exiguus,      9 Acritus exiguus,1,1,0,3,2
     10 Chariessa pilosa,     10 Chariessa pilosa,1,8,0,4.25,3
     11 Alaus oculatus larvae,     11 Alaus oculatus larvae,1,1,0,4,3
     12 Melanopus sp. larvae,     12 Melanopus sp. larvae,1,1,0,3,2
     13 Chrysobothris femorata larvae,     13 Chrysobothris femorata larvae,1,1,2,3,2
     14 Agrilus sp. larvae,     14 Agrilus sp. larvae,1,1,0,3,2
     15 Silvanus embellis,     15 Silvanus embellis,1,1,1,3,2
     16 S. planatus,     16 S. planatus,1,1,1,3,2
     17 Brontes dubius larvae,     17 Brontes dubius larvae,1,1,1,3,2
     18 Megalodacne fasciata,     18 Megalodacne fasciata,1,1,0,3,2
     19 Xylotrechus colonus larvae,     19 Xylotrechus colonus larvae,1,1,0,3,2
     20 Romaleum atomarium larvae,     20 Romaleum atomarium larvae,1,1,2,3,2
     21 Neoclytus scutellaris larvae,     21 Neoclytus scutellaris larvae,1,1,0,3,2
     22 Graphisurus fasciatus larvae,     22 Graphisurus fasciatus larvae,1,1,0,3,2
     23 Orthotomicus coelatus,     23 Orthotomicus coelatus,1,1,0,3,2
     24 Megaselia sp. larvae,     24 Megaselia sp. larvae,1,2,1,4.5,3
     25 Lonchaea sp. larvae,     25 Lonchaea sp. larvae,1,1,2,3,2
     26 tachinid larvae,     26 tachinid larvae,1,1,2,4,3
     27 Tremex columba larvae,     27 Tremex columba larvae,1,1,0,2,1
     28 Atanycolus simplex,     28 Atanycolus simplex,1,1,0,4,3
     29 Sparhius floridanus,     29 Sparhius floridanus,1,1,0,4,3
     30 Camponotus herculeanus,     30 Camponotus herculeanus,1,1,0,2,1
     31 Crematogaster lineolata,     31 Crematogaster lineolata,1,1,0,2,1
     32 Leptothorax curvispinosus,     32 Leptothorax curvispinosus,1,1,0,2,1
     33 Ponera coarcta,     33 Ponera coarcta,1,1,0,2,1
     34 Proceratium croceum,     34 Proceratium croceum,1,1,0,2,1
     35 Linotaenia bidens,     35 Linotaenia bidens,1,1,0,2,1
     36 Geophilus varians,     36 Geophilus varians,1,1,0,2,1
     37 Chthonius spinosus,     37 Chthonius spinosus,1,1,0,2,1
     38 C. longipalpus,     38 C. longipalpus,1,1,0,2,1
     39 Uropoda sp.,     39 Uropoda sp.,1,1,1,3,2
     40 Discopoma sp.,     40 Discopoma sp.,1,1,1,3,2
     41 Pergamasus sp.,     41 Pergamasus sp.,1,1,1,2,1
     42 Megisthanus sp.,     42 Megisthanus sp.,1,1,1,2,1
     43 Dendrolaelops sp.,     43 Dendrolaelops sp.,1,1,1,2,1
     44 various larvae (unspecified),     44 various larvae (unspecified),1,0,12,1,0
     45 phloem (Quercus spp.),     45 phloem (Quercus spp.),0,3,9,2.666666667,1
     46 fungi,     46 fungi,0,2,17,2.5,2
     47 sapwood detritus,     47 sapwood detritus,0,0,3,1,0
