SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv_true,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,max_chain_len,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,diameter,mean_path_len,std_path_len,loop,Modularity
1,0,30.0,81.0,2.7,0.09310344827586207,0.3,0.1,0.09523809523809523,0.09523809523809523,0.2857142857142857,3.857142857142857,2.7979584393931636,1.3333333333333333,3.0,2.324693036810684,3.8484848484848486,0.6040540961791542,0.8095238095238095,0.6687583021023443,3.0,1.6025641025641026,0.6393493383976494,0.0,0.0
10,0,30.0,62.0,2.066666666666667,0.07126436781609195,0.4666666666666667,0.06666666666666667,0.375,0.375,0.125,3.875,3.3241540277189325,1.0,3.0,1.9025684181718667,3.833333333333333,0.49632219604483485,0.5625,0.7822163046929341,3.0,1.6153846153846154,0.6395809600141655,0.0,0.0
100,0,30.0,97.0,3.2333333333333334,0.11149425287356322,0.3333333333333333,0.1,0.25,0.25,0.15,4.85,3.483419372730735,1.2,3.0,2.246193831556735,3.6818181818181817,0.6100773369660268,0.65,0.8670389992491714,3.0,1.5473684210526315,0.5684550873192015,0.06666666666666667,0.0
1000,0,30.0,64.0,2.1333333333333333,0.0735632183908046,0.3333333333333333,0.03333333333333333,0.45,0.45,0.15,3.2,2.50473236305325,1.2333333333333334,4.0,2.1223748473748474,4.0,0.5305937118437118,0.3,0.6728745615844588,4.0,1.7659574468085106,0.8249527940809742,0.0,0.0
101,0,30.0,124.0,4.133333333333334,0.1425287356321839,0.16666666666666666,0.06666666666666667,0.08,0.08,0.28,4.96,4.305810028322197,1.7,4.0,2.830774809213014,4.0,0.7076937023032535,0.68,0.8948476616625828,4.0,1.616,0.6559459278332046,0.13333333333333333,0.0
102,0,30.0,60.0,2.0,0.06896551724137931,0.36666666666666664,0.23333333333333334,0.47368421052631576,0.47368421052631576,0.10526315789473684,3.1578947368421053,3.0416216050495324,1.1,4.0,1.960773208273208,4.111111111111111,0.4769448344448344,0.42105263157894735,0.6910733264594121,4.0,1.6407766990291262,0.8728404042071195,0.0,0.0
103,0,30.0,118.0,3.933333333333333,0.135632183908046,0.3333333333333333,0.0,0.2,0.2,0.25,5.9,5.848076606885379,1.0333333333333334,3.0,2.255099024037622,3.9230769230769234,0.5748291629899821,0.8,0.823774877178921,3.0,1.4322916666666667,0.5273652363359164,0.06666666666666667,0.0
104,0,30.0,125.0,4.166666666666667,0.14367816091954022,0.16666666666666666,0.03333333333333333,0.08,0.08,0.32,5.0,3.0,1.9,3.0,2.9077360259454084,4.1,0.7092039087671729,0.88,0.8012450935450944,3.0,1.6546762589928057,0.6325951387853335,0.13333333333333333,0.0
105,0,30.0,89.0,2.966666666666667,0.10229885057471265,0.23333333333333334,0.23333333333333334,0.21739130434782608,0.21739130434782608,0.30434782608695654,3.869565217391304,4.213661200365123,1.6666666666666667,4.0,2.5744512421208747,4.666666666666666,0.5516681233116161,0.5652173913043478,0.9225650226808904,4.0,1.6335403726708075,0.8115528401911735,0.06666666666666667,0.0
106,0,30.0,87.0,2.9,0.1,0.3,0.13333333333333333,0.14285714285714285,0.14285714285714285,0.2857142857142857,4.142857142857143,2.613153540948451,1.8333333333333333,4.0,2.492774916654227,4.25,0.5865352745068769,0.8095238095238095,0.8665437657312592,4.0,1.8076923076923077,0.7934139902601557,0.0,0.0
107,0,29.0,52.0,1.793103448275862,0.06403940886699508,0.41379310344827586,0.10344827586206896,0.35294117647058826,0.35294117647058826,0.29411764705882354,3.0588235294117645,2.511737153726832,0.9655172413793104,3.0,1.9856432360742706,3.8461538461538463,0.5162672413793103,0.5882352941176471,0.5161327092174883,3.0,1.5148514851485149,0.5588177052695916,0.0,0.0
108,0,28.0,83.0,2.9642857142857144,0.10978835978835978,0.35714285714285715,0.10714285714285714,0.2222222222222222,0.2222222222222222,0.16666666666666666,4.611111111111111,3.3631023648321903,1.5357142857142858,4.0,2.3085987858787433,4.5,0.5130219524174985,0.7222222222222222,1.0289856934197321,4.0,1.7218934911242603,0.794059019647515,0.10714285714285714,0.0
109,0,30.0,55.0,1.8333333333333333,0.06321839080459771,0.4666666666666667,0.13333333333333333,0.3125,0.3125,0.25,3.4375,2.25,0.9666666666666667,3.0,1.9181481481481482,3.611111111111111,0.5311794871794872,0.5,0.5827159899370321,3.0,1.5445544554455446,0.6406988758418034,0.0,0.0
11,0,30.0,116.0,3.8666666666666667,0.13333333333333333,0.2,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.375,4.833333333333333,5.197546801484638,1.6333333333333333,3.0,2.673525031929615,4.166666666666666,0.6416460076631078,0.75,0.8015492684542038,3.0,1.4878048780487805,0.5908597598909922,0.0,0.0
110,0,30.0,98.0,3.2666666666666666,0.11264367816091954,0.23333333333333334,0.03333333333333333,0.13043478260869565,0.13043478260869565,0.30434782608695654,4.260869565217392,3.414106981659104,1.8666666666666667,4.0,2.7512502949754003,4.2,0.655059594041762,0.6521739130434783,0.865556237476257,4.0,1.782258064516129,0.7205540363969232,0.0,0.0
111,0,30.0,112.0,3.7333333333333334,0.12873563218390804,0.16666666666666666,0.06666666666666667,0.36,0.36,0.44,4.48,3.8310137909783966,1.5666666666666667,3.0,2.62258640352417,4.375,0.5994483208055246,0.44,0.5922993318803857,3.0,1.5954545454545455,0.6374730885015614,0.1,0.0
112,0,30.0,80.0,2.6666666666666665,0.09195402298850575,0.16666666666666666,0.06666666666666667,0.12,0.12,0.48,3.2,1.8257418583505538,1.9,4.0,3.0152861952861953,4.75,0.6347970937444621,0.68,0.8258839309661795,4.0,2.0233463035019454,0.8335258370390644,0.0,0.0
113,0,30.0,88.0,2.933333333333333,0.10114942528735632,0.23333333333333334,0.06666666666666667,0.043478260869565216,0.043478260869565216,0.4782608695652174,3.8260869565217392,2.9022275757055596,2.2,4.0,3.04484126984127,4.666666666666666,0.652465986394558,0.8260869565217391,0.807999429357152,4.0,1.8672566371681416,0.8380339402170726,0.0,0.0
114,0,30.0,135.0,4.5,0.15517241379310345,0.16666666666666666,0.1,0.12,0.12,0.36,5.4,4.481443219916251,1.7333333333333334,4.0,2.9384010825187294,4.0625,0.7232987280046104,0.64,0.7871539092583629,4.0,1.510548523206751,0.6418446294515991,0.0,0.0
115,0,29.0,87.0,3.0,0.10714285714285714,0.3103448275862069,0.0,0.15,0.15,0.15,4.35,3.74552364408784,1.4482758620689655,4.0,2.407642309797482,4.333333333333334,0.5556097637994188,0.75,0.9444039000467724,4.0,1.743455497382199,0.7760538484156061,0.06896551724137931,0.0
116,0,30.0,82.0,2.7333333333333334,0.09425287356321839,0.5,0.0,0.26666666666666666,0.26666666666666666,0.0,5.466666666666667,4.389381125701739,0.7666666666666667,2.0,1.7152363699102828,3.3428571428571425,0.5131048969817086,0.7333333333333333,0.6167486987868572,2.0,1.3189655172413792,0.4680976845476386,0.0,0.0
117,0,30.0,105.0,3.5,0.1206896551724138,0.2,0.0,0.08333333333333333,0.08333333333333333,0.4166666666666667,4.375,3.398369174100757,2.6333333333333333,5.0,3.106264858491869,4.525,0.6864673720424019,0.8333333333333334,0.8577394215198652,5.0,2.0775862068965516,0.8900752362944009,0.23333333333333334,0.0
118,0,29.0,115.0,3.9655172413793105,0.1416256157635468,0.3103448275862069,0.10344827586206896,0.45,0.45,0.0,5.75,4.037651740671472,1.1724137931034482,3.0,2.0673840971316255,3.6585365853658534,0.565084986549311,0.55,0.6064038814327141,3.0,1.4331550802139037,0.5675567258972001,0.06896551724137931,0.0
119,0,29.0,89.0,3.0689655172413794,0.10960591133004927,0.3448275862068966,0.06896551724137931,0.05263157894736842,0.05263157894736842,0.15789473684210525,4.684210526315789,3.902316001484067,1.0344827586206897,3.0,2.1857022788758953,3.6511627906976747,0.5986318343418057,0.8947368421052632,0.779448351613779,3.0,1.519736842105263,0.6507295420616893,0.0,0.0
12,0,28.0,78.0,2.7857142857142856,0.10317460317460317,0.32142857142857145,0.25,0.42105263157894735,0.42105263157894735,0.10526315789473684,4.105263157894737,3.603928980094815,1.3214285714285714,4.0,2.156930316536228,3.857142857142857,0.5592041561390221,0.5263157894736842,0.7584003959415526,4.0,1.619718309859155,0.7785456013755628,0.0,0.0
120,0,30.0,86.0,2.8666666666666667,0.09885057471264368,0.23333333333333334,0.26666666666666666,0.08695652173913043,0.08695652173913043,0.2608695652173913,3.739130434782609,2.3590712984783537,2.3333333333333335,5.0,3.017963055463055,4.75,0.63536064325538,0.7391304347826086,1.1343953637391897,5.0,2.085972850678733,1.064652132339915,0.0,0.0
121,0,29.0,76.0,2.6206896551724137,0.09359605911330049,0.3793103448275862,0.1724137931034483,0.1111111111111111,0.1111111111111111,0.05555555555555555,4.222222222222222,2.289504327438469,1.3793103448275863,3.0,2.135536792895918,3.8292682926829267,0.5576879522849213,0.8333333333333334,0.6912975870727919,3.0,1.6625766871165644,0.6869224523208841,0.0,0.0
122,0,30.0,80.0,2.6666666666666665,0.09195402298850575,0.23333333333333334,0.2,0.2608695652173913,0.2608695652173913,0.2608695652173913,3.4782608695652173,2.293658554627822,1.6333333333333333,4.0,2.488052087866666,4.25,0.5854240206745097,0.6521739130434783,0.6836518360987047,4.0,1.6611111111111112,0.6698944208391232,0.0,0.0
123,0,30.0,82.0,2.7333333333333334,0.09425287356321839,0.23333333333333334,0.16666666666666666,0.13043478260869565,0.13043478260869565,0.30434782608695654,3.5652173913043477,2.191431391009533,1.9,4.0,2.658032708032708,3.888888888888889,0.6834941249226963,0.782608695652174,0.8087948432495177,4.0,1.7096774193548387,0.729022227982634,0.0,0.0
124,0,30.0,81.0,2.7,0.09310344827586207,0.3,0.06666666666666667,0.19047619047619047,0.19047619047619047,0.19047619047619047,3.857142857142857,4.829965986274792,2.1333333333333333,5.0,2.6862518343757733,4.571428571428571,0.5876175887697005,0.5714285714285714,1.0414818048938534,5.0,1.922279792746114,0.9515179673246448,0.0,0.0
125,0,30.0,84.0,2.8,0.09655172413793103,0.26666666666666666,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.18181818181818182,3.8181818181818183,2.5752737004121777,1.3666666666666667,4.0,2.3736874236874232,4.0,0.5934218559218558,0.6363636363636364,0.7838574522262038,4.0,1.610062893081761,0.7018235712295144,0.06666666666666667,0.0
126,0,29.0,79.0,2.7241379310344827,0.09729064039408868,0.2413793103448276,0.034482758620689655,0.13636363636363635,0.13636363636363635,0.45454545454545453,3.590909090909091,2.6486131305178406,2.8620689655172415,6.0,3.0567239274135827,5.0,0.6113447854827165,0.5909090909090909,1.1532157749366225,6.0,2.138755980861244,1.210880315012086,0.13793103448275862,0.0
127,0,30.0,91.0,3.033333333333333,0.10459770114942529,0.3,0.06666666666666667,0.23809523809523808,0.23809523809523808,0.3333333333333333,4.333333333333333,3.5683796509527035,1.3333333333333333,3.0,2.3018233439724667,3.857142857142857,0.5967690151039728,0.6666666666666666,0.7273318592472617,3.0,1.503030303030303,0.5698121473103822,0.0,0.0
128,0,30.0,86.0,2.8666666666666667,0.09885057471264368,0.3,0.1,0.23809523809523808,0.23809523809523808,0.42857142857142855,4.095238095238095,4.300055370629103,1.4666666666666666,4.0,2.4744841882320663,4.0,0.6186210470580166,0.47619047619047616,0.8025414276392113,4.0,1.6580310880829014,0.6591900483637707,0.06666666666666667,0.0
129,0,30.0,94.0,3.1333333333333333,0.10804597701149425,0.13333333333333333,0.26666666666666666,0.23076923076923078,0.23076923076923078,0.2692307692307692,3.6153846153846154,3.1758705650819348,1.7333333333333334,4.0,2.8322123015873015,5.166666666666666,0.5481701228878649,0.6923076923076923,0.8572603654566369,4.0,1.706806282722513,0.8194386776853014,0.0,0.0
13,0,30.0,78.0,2.6,0.0896551724137931,0.36666666666666664,0.1,0.3684210526315789,0.3684210526315789,0.05263157894736842,4.105263157894737,3.1953914182443244,1.0666666666666667,3.0,2.048390482319054,3.625,0.565073236501808,0.5789473684210527,0.665728810504508,3.0,1.5870967741935484,0.6323230389910502,0.0,0.0
130,0,29.0,61.0,2.103448275862069,0.07512315270935961,0.41379310344827586,0.0,0.29411764705882354,0.29411764705882354,0.47058823529411764,3.588235294117647,4.596993902669055,1.103448275862069,3.0,2.099041124427125,4.0,0.5247602811067813,0.47058823529411764,0.7043677644278407,3.0,1.5277777777777777,0.633316936990578,0.0,0.0
131,0,25.0,79.0,3.16,0.13166666666666665,0.24,0.12,0.10526315789473684,0.10526315789473684,0.3157894736842105,4.157894736842105,4.0036533024329,1.68,4.0,2.650099706744868,4.0,0.662524926686217,0.7894736842105263,0.9625999549189196,4.0,1.6419753086419753,0.6744428015438018,0.0,0.0
132,0,30.0,123.0,4.1,0.1413793103448276,0.26666666666666666,0.1,0.18181818181818182,0.18181818181818182,0.36363636363636365,5.590909090909091,5.712635042972651,1.4333333333333333,3.0,2.5676420244773577,4.142857142857142,0.6197756610807416,0.7272727272727273,0.8693096110210047,3.0,1.4832535885167464,0.6131232604453039,0.0,0.0
133,0,30.0,110.0,3.6666666666666665,0.12643678160919541,0.16666666666666666,0.03333333333333333,0.08,0.08,0.52,4.4,4.618802153517006,2.2333333333333334,4.0,3.0562228459803675,4.375,0.6985652219383697,0.56,0.9435889678449122,4.0,1.8,0.7898976034513737,0.0,0.0
134,0,30.0,95.0,3.1666666666666665,0.10919540229885058,0.3333333333333333,0.03333333333333333,0.15,0.15,0.15,4.75,3.306691779757495,1.5333333333333334,4.0,2.4584511223351675,4.348837209302326,0.5653122901626321,0.8,0.9131137244557416,4.0,1.9282868525896415,0.8454801318697289,0.13333333333333333,0.0
135,0,30.0,128.0,4.266666666666667,0.1471264367816092,0.23333333333333334,0.03333333333333333,0.13043478260869565,0.13043478260869565,0.17391304347826086,5.565217391304348,4.934351637951689,1.2333333333333334,3.0,2.4725873419890108,3.6323529411764706,0.6807123046771366,0.8260869565217391,0.7883044990076059,3.0,1.4666666666666666,0.5715197010952746,0.16666666666666666,0.0
136,0,30.0,61.0,2.033333333333333,0.07011494252873564,0.36666666666666664,0.16666666666666666,0.3157894736842105,0.3157894736842105,0.3684210526315789,3.210526315789474,1.9601288894248496,1.3,4.0,2.0545693195693193,4.466666666666667,0.4599782058737282,0.5789473684210527,0.43236640305168006,4.0,1.7593984962406015,0.8362105717465858,0.0,0.0
137,0,28.0,47.0,1.6785714285714286,0.062169312169312166,0.4642857142857143,0.14285714285714285,0.26666666666666666,0.26666666666666666,0.13333333333333333,3.1333333333333333,2.61497518881064,1.0357142857142858,3.0,1.853680897646415,3.7586206896551726,0.4931811562545507,0.6,0.6495509103112488,3.0,1.5647058823529412,0.6804595580076994,0.0,0.0
138,0,30.0,77.0,2.566666666666667,0.08850574712643679,0.5666666666666667,0.06666666666666667,0.46153846153846156,0.46153846153846156,0.0,5.923076923076923,3.925589944232129,0.8,4.0,1.6497562992128212,3.6756756756756754,0.4488307578740764,0.5384615384615384,0.5927265559578833,4.0,1.565217391304348,0.7143627831660235,0.0,0.0
139,0,30.0,47.0,1.5666666666666667,0.054022988505747126,0.36666666666666664,0.03333333333333333,0.3157894736842105,0.3157894736842105,0.15789473684210525,2.473684210526316,1.8064212949190015,1.6333333333333333,5.0,2.1875135975135978,4.181818181818182,0.5231010776662951,0.631578947368421,0.8080196823234977,5.0,1.9663865546218486,0.9736596446122758,0.0,0.0
14,0,30.0,82.0,2.7333333333333334,0.09425287356321839,0.23333333333333334,0.1,0.13043478260869565,0.13043478260869565,0.34782608695652173,3.5652173913043477,2.9515186685150554,1.5666666666666667,3.0,2.6398378781712113,4.0,0.6599594695428028,0.6086956521739131,0.8910319314837758,3.0,1.6153846153846154,0.6454972243679029,0.06666666666666667,0.0
140,0,30.0,93.0,3.1,0.10689655172413794,0.2,0.1,0.25,0.25,0.25,3.875,4.035844828317966,1.3,3.0,2.360257088590422,3.666666666666667,0.6437064787064787,0.5416666666666666,0.6849584713834985,3.0,1.5146198830409356,0.5876846407845826,0.0,0.0
141,0,30.0,101.0,3.3666666666666667,0.11609195402298851,0.4,0.0,0.3888888888888889,0.3888888888888889,0.16666666666666666,5.611111111111111,5.259600621036777,1.2,4.0,2.1113886327850775,3.9347826086956523,0.5365960061221744,0.5,0.8811587226048682,4.0,1.6504854368932038,0.6943498501627461,0.06666666666666667,0.0
142,0,30.0,96.0,3.2,0.1103448275862069,0.2,0.06666666666666667,0.125,0.125,0.2916666666666667,4.0,3.1622776601683795,1.7666666666666666,4.0,2.550369753265291,4.142857142857142,0.6156064921674841,0.7916666666666666,0.709356797295186,4.0,1.582857142857143,0.69707340363068,0.0,0.0
143,0,29.0,110.0,3.793103448275862,0.1354679802955665,0.13793103448275862,0.06896551724137931,0.2,0.2,0.64,4.4,4.0,1.5862068965517242,3.0,2.837191262006681,4.076923076923077,0.6959148378506954,0.52,0.7134684746989226,3.0,1.577092511013216,0.5852194243099631,0.06896551724137931,0.0
