sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
86,aquatic saprotrophs,21,5,1,1,0,1,1,1,2.0,1.0
87,small algae parasites,22,1,9,2,0,1,5,0,2.0,1.0
88,aquatic macrophyte parasites,23,1,9,1,0,1,1,0,2.0,1.0
89,nematodes,24,1,60,8,1,1,1,2,3.0,2.0
90,swimming filter feeders,25,2,9,2,0,1,6,1,2.7272727272727275,2.0
91,swimming filter feeders,25,2,9,2,0,1,1,1,2.0,1.0
92,swimming scrapers,26,1,18,3,0,1,6,2,2.6666666666666665,2.0
93,arthropod  omnivores,27,2,21,3,0,1,6,2,3.166666666666667,3.0
94,arthropod  omnivores,27,2,21,3,0,1,20,2,3.7411764705882353,3.0
95,benthic predators,28,1,4,2,0,1,2,1,3.8529411764705883,4.0
