sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
59,terrestrial arthropod predators (1),26,3,7,8,1,0,1,1
60,terrestrial arthropod predators (1),26,3,7,8,1,0,1,0
61,terrestrial arthropod predators (2),27,5,13,5,1,0,4,1
62,terrestrial arthropod predators (2),27,5,13,5,1,0,1,0
63,terrestrial arthropod predators (2),27,5,13,5,1,0,1,1
64,terrestrial arthropod predators (2),27,5,13,5,1,0,1,2
65,terrestrial arthropod predators (2),27,5,13,5,1,0,4,1
66,aquatic detritus,28,1,0,9,0,1,0,6
67,aquatic heterotroph bacteria,29,1,8,4,0,1,1,2
68,sulfate-reducing bacteria,30,1,0,4,0,1,0,1
69,aquatic protozoa,31,1,23,5,0,1,1,2
70,Anechosoma,32,1,0,8,0,1,0,3
71,aquatic unicellular/small algae (general),33,5,0,9,0,1,0,2
72,aquatic unicellular/small algae (general),33,5,0,9,0,1,0,3
73,aquatic unicellular/small algae (general),33,5,0,9,0,1,0,3
74,aquatic unicellular/small algae (general),33,5,0,9,0,1,0,3
75,aquatic unicellular/small algae (general),33,5,0,9,0,1,0,3
76,planktic large colonial algae,34,1,0,4,0,1,0,1
77,benthic filamentous algae,35,5,0,4,0,1,0,2
78,benthic filamentous algae,35,5,0,4,0,1,0,0
79,benthic filamentous algae,35,5,0,4,0,1,0,0
80,benthic filamentous algae,35,5,0,4,0,1,0,2
81,benthic filamentous algae,35,5,0,4,0,1,0,1
82,other benthic/epiphytic algae,36,4,0,6,0,1,0,1
83,other benthic/epiphytic algae,36,4,0,6,0,1,0,3
84,other benthic/epiphytic algae,36,4,0,6,0,1,0,1
85,other benthic/epiphytic algae,36,4,0,6,0,1,0,1
86,charophytes,37,1,0,4,0,1,0,1
87,partially terrestrial epilithic/epiphytic algae,38,3,0,14,1,1,0,2
88,partially terrestrial epilithic/epiphytic algae,38,3,0,14,1,1,0,3
89,partially terrestrial epilithic/epiphytic algae,38,3,0,14,1,1,0,3
90,aquatic saprotrophs,39,5,1,5,0,1,1,0
91,aquatic saprotrophs,39,5,1,5,0,1,1,2
92,aquatic saprotrophs,39,5,1,5,0,1,1,1
93,aquatic saprotrophs,39,5,1,5,0,1,1,1
94,aquatic saprotrophs,39,5,1,5,0,1,1,0
95,small algae parasites,40,1,10,4,0,1,1,1
96,aquatic macrophyte parasites,41,1,1,4,0,1,1,1
97,aquatic nematodes,42,1,30,4,0,1,8,1
98,swimming filter feeders,43,2,6,3,0,1,3,1
99,swimming filter feeders,43,2,6,3,0,1,6,0
100,swimming scrapers,44,1,28,3,0,1,15,1
101,arthropod omnivores,45,2,35,3,0,1,1,0
102,arthropod omnivores,45,2,35,3,0,1,7,0
103,benthic predators,46,1,7,0,0,1,4,0
