Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,4,1.0,0.0
2,2,2,0,4,1.0,0.0
3,3,3,0,4,1.0,0.0
4,4,4,0,4,1.0,0.0
5,5,5,0,3,1.0,0.0
6,6,6,0,3,1.0,0.0
7,7,7,0,4,1.0,0.0
8,8,8,0,5,1.0,0.0
9,9,9,0,3,1.0,0.0
10,10,10,0,3,1.0,0.0
11,11,11,0,3,1.0,0.0
12,12,12,0,2,1.0,0.0
13,13,13,0,6,1.0,0.0
14,14,14,0,5,1.0,0.0
15,15,15,0,1,1.0,0.0
16,16,16,0,2,1.0,0.0
17,17,17,0,3,1.0,0.0
18,18,18,0,1,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,3,1.0,0.0
21,21,21,0,2,1.0,0.0
22,22,22,0,1,1.0,0.0
23,23,23,0,1,1.0,0.0
24,24,24,0,1,1.0,0.0
25,25,25,1,2,2.0,1.0
26,26,26,1,3,3.0,2.0
27,27,27,2,4,2.0,1.0
28,28,28,1,4,2.0,1.0
29,29,29,3,3,2.75,2.0
30,30,30,2,4,2.0,1.0
31,31,31,1,3,3.0,2.0
32,32,32,2,3,2.0,1.0
33,33,33,2,2,2.5,1.0
34,34,34,3,7,3.0,2.0
35,35,35,1,7,2.0,1.0
36,36,36,2,2,3.333333333333333,2.0
37,37,37,4,2,3.333333333333333,2.0
38,38,38,1,2,2.0,1.0
39,39,39,1,2,2.0,1.0
40,40,40,2,5,2.0,1.0
41,41,41,2,4,2.0,1.0
42,42,42,1,5,2.0,1.0
43,43,43,3,5,3.2857142857142856,3.0
44,44,44,3,5,2.5,2.0
45,45,45,7,5,2.625,2.0
46,46,46,2,5,2.6666666666666665,2.0
47,47,47,3,6,2.5,2.0
48,48,48,2,5,3.333333333333333,2.0
49,49,49,3,3,2.8,2.0
50,50,50,3,3,3.0,2.0
51,51,51,2,3,3.666666666666667,3.0
52,52,52,12,4,3.4242424242424243,3.0
53,53,53,4,1,3.5625,3.0
54,54,54,4,2,3.6315789473684212,3.0
55,55,55,1,5,2.0,1.0
56,56,56,9,5,4.0588235294117645,4.0
57,57,57,5,5,4.533333333333333,4.0
58,58,58,2,3,3.7142857142857144,3.0
59,59,59,8,3,3.8529411764705883,4.0
60,60,60,3,3,3.666666666666667,3.0
61,61,61,2,3,3.7777777777777777,4.0
62,62,62,4,2,3.5882352941176467,3.0
63,63,63,9,2,4.549295774647888,5.0
64,64,64,10,2,3.125,2.0
65,65,65,2,1,4.090909090909091,4.0
66,66,66,8,1,4.585714285714285,5.0
67,67,67,4,1,2.8333333333333335,2.0
68,68,68,1,1,3.0,2.0
69,69,69,12,1,4.523809523809524,5.0
70,70,70,1,1,4.0,3.0
71,71,71,7,1,4.605504587155963,4.0
72,72,72,3,1,4.05,4.0
73,73,73,2,1,4.538461538461538,5.0
74,74,74,13,1,3.0,2.0
75,75,75,8,1,4.53125,5.0
76,76,76,17,0,3.4390243902439024,3.0
77,77,77,2,0,2.0,1.0
78,78,78,4,0,4.6,5.0
79,79,79,8,0,2.7,2.0
80,80,80,2,0,3.7857142857142856,4.0
