Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,4,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,4,1.0,0.0
4,4,4,0,5,1.0,0.0
5,5,5,0,7,1.0,0.0
6,6,6,0,6,1.0,0.0
7,7,7,0,5,1.0,0.0
8,8,8,0,5,1.0,0.0
9,9,9,0,5,1.0,0.0
10,10,10,0,5,1.0,0.0
11,11,11,0,6,1.0,0.0
12,12,12,0,4,1.0,0.0
13,13,13,0,5,1.0,0.0
14,14,14,0,5,1.0,0.0
15,15,15,0,5,1.0,0.0
16,16,16,0,3,1.0,0.0
17,17,17,0,4,1.0,0.0
18,18,18,0,2,1.0,0.0
19,19,19,0,2,1.0,0.0
20,20,20,0,1,1.0,0.0
21,21,21,0,2,1.0,0.0
22,22,22,0,1,1.0,0.0
23,23,23,0,1,1.0,0.0
24,24,24,0,1,1.0,0.0
25,25,25,0,4,1.0,0.0
26,26,26,0,4,1.0,0.0
27,27,27,0,2,1.0,0.0
28,28,28,0,1,1.0,0.0
29,29,29,1,6,2.0,1.0
30,30,30,1,5,2.0,1.0
31,31,31,1,6,3.0,2.0
32,32,32,2,5,3.0,3.0
33,33,33,1,3,4.0,4.0
34,34,34,2,3,4.0,5.0
35,35,35,1,3,2.0,1.0
36,36,36,3,4,2.6666666666666665,2.0
37,37,37,2,5,2.0,1.0
38,38,38,11,4,2.5,3.0
39,39,39,5,4,2.875,3.0
40,40,40,5,2,2.0,1.0
41,41,41,1,2,4.0,3.0
42,42,42,1,2,2.0,1.0
43,43,43,2,4,3.0,3.0
44,44,44,2,7,3.090909090909091,4.0
45,45,45,1,5,2.0,1.0
46,46,46,5,3,4.0,4.0
47,47,47,9,1,4.0,3.0
48,48,48,5,2,3.75,4.0
49,49,49,1,2,2.0,1.0
50,50,50,14,2,2.533333333333333,2.0
51,51,51,3,2,3.9375,4.0
52,52,52,1,2,4.090909090909091,5.0
53,53,53,3,1,2.3333333333333335,2.0
54,54,54,4,1,3.380952380952381,4.0
55,55,55,1,2,3.0,2.0
56,56,56,4,2,3.666666666666667,5.0
57,57,57,2,2,4.076923076923077,4.0
58,58,58,2,1,4.0,6.0
59,59,59,5,2,2.875,3.0
60,60,60,3,1,3.0,4.0
61,61,61,1,1,4.090909090909091,5.0
62,62,62,5,4,4.075,3.0
63,63,63,4,4,3.9444444444444446,3.0
64,64,64,24,4,4.50990099009901,3.0
65,65,65,1,3,5.090909090909091,6.0
66,66,66,2,3,2.0,1.0
67,67,67,8,3,3.354838709677419,3.0
68,68,68,1,3,2.0,1.0
69,69,69,1,3,4.909090909090909,5.0
70,70,70,5,3,4.189655172413794,3.0
71,71,71,6,2,3.7058823529411766,3.0
72,72,72,6,2,2.3333333333333335,2.0
73,73,73,19,2,4.406542056074766,3.0
74,74,74,5,2,4.256756756756756,4.0
75,75,75,1,2,3.875,4.0
76,76,76,7,2,2.142857142857143,2.0
77,77,77,3,0,3.642857142857143,4.0
78,78,78,11,0,4.556451612903226,3.0
79,79,79,2,0,4.066666666666666,5.0
80,80,80,21,0,3.0740740740740744,2.0
81,81,81,4,0,3.380952380952381,4.0
